Vehicle Driven,Type,Satisfaction with vehicle,Gender,Age,No of hours per week in vehicle,Miles driven per week,Number of Children ,Average number of riders,Miles from work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Domestic,Yes,Female,47,4,300,0,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Domestic,No,Male,46,4,275,0,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Domestic,No,Male,44,6,285,2,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Foreign,No,Female,42,5,400,2,3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Foreign,Yes,Female,41,5,350,2,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Domestic,No,Female,41,10,600,1,2,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Domestic,Yes,Female,39,10,700,1,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Foreign,Yes,Female,34,10,600,1,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Foreign,Yes,Male,33,5,400,1,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Foreign,Yes,Male,30,5,350,1,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Domestic,Yes,Female,29,5,250,0,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Foreign,Yes,Female,27,6,355,0,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Foreign,Yes,Female,26,5,175,0,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Domestic,No,Female,24,5,300,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Domestic,Yes,Female,22,5,350,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Foreign,No,Female,19,5,500,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
