Product,Division,Product Category,Customer,Country,Sales Org,Calendar Year/Month,Calendar Year,Calendar month, Cost of Goods , Discount , Net Sales , Revenue ,Sales Quantity
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,SEP 2009,2009,9, $196.00 , $13.33 , $430.99 , $444.32 ,14 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,SEP 2011,2011,9, $210.00 , $14.70 , $475.69 , $490.40 ,15 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,APR 2008,2008,4, $224.00 , $15.01 , $485.24 , $500.25 ,16 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,MAY 2011,2011,5, $266.00 , $18.64 , $602.53 , $621.17 ,19 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUL 2011,2011,7, $280.00 , $19.61 , $634.26 , $653.86 ,20 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,APR 2010,2010,4, $336.00 , $23.19 , $749.81 , $773.00 ,24 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,APR 2009,2009,4, $350.00 , $23.81 , $769.62 , $793.43 ,25 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUL 2009,2009,7, $364.00 , $24.75 , $800.41 , $825.16 ,26 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,AUG 2010,2010,8, $364.00 , $25.13 , $812.29 , $837.42 ,26 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,AUG 2011,2011,8, $378.00 , $26.49 , $856.23 , $882.71 ,27 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUL 2008,2008,7, $392.00 , $26.27 , $849.17 , $875.44 ,28 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,AUG 2008,2008,8, $392.00 , $26.26 , $849.18 , $875.44 ,28 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,MAY 2008,2008,5, $420.00 , $28.14 , $909.83 , $937.97 ,30 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUN 2008,2008,6, $434.00 , $29.08 , $940.15 , $969.24 ,31 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,MAY 2010,2010,5, $448.00 , $30.92 , $999.75 ," $1,030.66 ",32 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUN 2010,2010,6, $448.00 , $30.92 , $999.75 ," $1,030.66 ",32 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUL 2010,2010,7, $462.00 , $31.90 ," $1,030.97 "," $1,062.87 ",33 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,APR 2007,2007,4, $476.00 , $31.41 ," $1,015.60 "," $1,047.01 ",34 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUN 2009,2009,6, $616.00 , $41.89 ," $1,354.54 "," $1,396.43 ",44 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUN 2007,2007,6, $700.00 , $46.20 ," $1,493.52 "," $1,539.72 ",50 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUN 2011,2011,6, $700.00 , $49.04 ," $1,585.61 "," $1,634.65 ",50 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,MAY 2007,2007,5, $728.00 , $48.04 ," $1,553.27 "," $1,601.31 ",52 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,APR 2007,2007,4, $700.00 , $49.50 ," $1,600.50 "," $1,650.00 ",1 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,MAY 2007,2007,5, $700.00 , $49.50 ," $1,600.50 "," $1,650.00 ",1 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,JUN 2007,2007,6, $700.00 , $49.50 ," $1,600.50 "," $1,650.00 ",1 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,JUN 2008,2008,6, $700.00 , $50.24 ," $1,624.51 "," $1,674.75 ",1 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,MAY 2009,2009,5, $700.00 , $50.99 ," $1,648.88 "," $1,699.88 ",1 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,APR 2010,2010,4, $700.00 , $51.76 ," $1,673.61 "," $1,725.36 ",1 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,MAY 2011,2011,5, $700.00 , $52.54 ," $1,698.70 "," $1,751.24 ",1 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,JUN 2011,2011,6, $700.00 , $52.54 ," $1,698.70 "," $1,751.24 ",1 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,FEB 2007,2007,2," $1,000.00 ", $56.10 ," $1,813.91 "," $1,870.01 ",1 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JAN 2008,2008,1," $1,000.00 ", $56.94 ," $1,841.11 "," $1,898.05 ",1 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,NOV 2009,2009,11," $1,000.00 ", $57.79 ," $1,868.73 "," $1,926.52 ",1 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,DEC 2009,2009,12," $1,000.00 ", $57.79 ," $1,868.73 "," $1,926.52 ",1 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,DEC 2007,2007,12," $2,000.00 ", $112.20 ," $3,627.81 "," $3,740.01 ",2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,FEB 2008,2008,2," $2,000.00 ", $113.89 ," $3,682.22 "," $3,796.11 ",2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,DEC 2008,2008,12," $2,000.00 ", $113.89 ," $3,682.22 "," $3,796.11 ",2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,OCT 2009,2009,10," $2,000.00 ", $115.60 ," $3,737.44 "," $3,853.04 ",2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JAN 2010,2010,1," $2,000.00 ", $117.32 ," $3,793.51 "," $3,910.83 ",2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAR 2010,2010,3," $2,000.00 ", $117.32 ," $3,793.51 "," $3,910.83 ",2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,NOV 2011,2011,11," $2,000.00 ", $119.08 ," $3,850.42 "," $3,969.51 ",2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,DEC 2011,2011,12," $2,000.00 ", $119.08 ," $3,850.42 "," $3,969.51 ",2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,OCT 2008,2008,10," $3,000.00 ", $170.83 ," $5,523.33 "," $5,694.16 ",3 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JAN 2009,2009,1," $3,000.00 ", $173.39 ," $5,606.17 "," $5,779.56 ",3 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,OCT 2010,2010,10," $3,000.00 ", $175.99 ," $5,690.26 "," $5,866.24 ",3 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,DEC 2010,2010,12," $3,000.00 ", $175.99 ," $5,690.26 "," $5,866.24 ",3 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JAN 2011,2011,1," $3,000.00 ", $178.63 ," $5,775.64 "," $5,954.26 ",3 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,AUG 2011,2011,8," $3,000.00 ", $178.63 ," $5,775.64 "," $5,954.26 ",3 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JAN 2007,2007,1," $4,000.00 ", $224.39 ," $7,255.63 "," $7,480.02 ",4 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,NOV 2007,2007,11," $4,000.00 ", $224.39 ," $7,255.63 "," $7,480.02 ",4 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,NOV 2008,2008,11," $4,000.00 ", $227.77 ," $7,364.44 "," $7,592.21 ",4 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,FEB 2009,2009,2," $4,000.00 ", $231.18 ," $7,474.89 "," $7,706.07 ",4 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAR 2009,2009,3," $4,000.00 ", $231.18 ," $7,474.89 "," $7,706.07 ",4 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,AUG 2010,2010,8," $4,000.00 ", $234.65 ," $7,587.00 "," $7,821.66 ",4 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,AUG 2009,2009,8," $5,000.00 ", $288.97 ," $9,343.62 "," $9,632.59 ",5 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,SEP 2008,2008,9," $6,000.00 ", $341.65 ," $11,046.67 "," $11,388.32 ",6 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,SEP 2009,2009,9," $6,000.00 ", $346.76 ," $11,212.35 "," $11,559.11 ",6 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAR 2011,2011,3," $6,000.00 ", $357.25 ," $11,551.27 "," $11,908.53 ",6 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,APR 2011,2011,4," $6,000.00 ", $357.25 ," $11,551.27 "," $11,908.53 ",6 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAR 2007,2007,3," $7,000.00 ", $392.69 ," $12,697.35 "," $13,090.04 ",7 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,OCT 2007,2007,10," $7,000.00 ", $392.69 ," $12,697.35 "," $13,090.04 ",7 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,FEB 2010,2010,2," $7,000.00 ", $410.64 ," $13,277.26 "," $13,687.90 ",7 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,FEB 2011,2011,2," $7,000.00 ", $416.80 ," $13,476.49 "," $13,893.28 ",7 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,OCT 2011,2011,10," $7,000.00 ", $416.80 ," $13,476.49 "," $13,893.28 ",7 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAR 2008,2008,3," $8,000.00 ", $455.53 ," $14,728.89 "," $15,184.43 ",8 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAY 2007,2007,5," $10,000.00 ", $560.99 ," $18,139.07 "," $18,700.06 ",10 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,SEP 2007,2007,9," $10,000.00 ", $560.99 ," $18,139.07 "," $18,700.06 ",10 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUN 2009,2009,6," $10,000.00 ", $577.96 ," $18,687.23 "," $19,265.18 ",10 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,AUG 2007,2007,8," $11,000.00 ", $617.10 ," $19,952.96 "," $20,570.06 ",11 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUL 2010,2010,7," $11,000.00 ", $645.28 ," $20,864.27 "," $21,509.56 ",11 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUL 2008,2008,7," $12,000.00 ", $683.31 ," $22,093.33 "," $22,776.64 ",12 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,SEP 2010,2010,9," $12,000.00 ", $703.95 ," $22,761.02 "," $23,464.97 ",12 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,SEP 2011,2011,9," $13,000.00 ", $774.05 ," $25,027.76 "," $25,801.81 ",13 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUL 2007,2007,7," $14,000.00 ", $785.40 ," $25,394.68 "," $26,180.08 ",14 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,APR 2010,2010,4," $15,000.00 ", $879.94 ," $28,451.28 "," $29,331.21 ",15 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUL 2011,2011,7," $15,000.00 ", $893.13 ," $28,878.18 "," $29,771.32 ",15 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAY 2008,2008,5," $16,000.00 ", $911.07 ," $29,457.78 "," $30,368.85 ",16 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUL 2009,2009,7," $16,000.00 ", $924.72 ," $29,899.57 "," $30,824.29 ",16 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,AUG 2008,2008,8," $17,000.00 ", $968.01 ," $31,298.89 "," $32,266.91 ",17 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAY 2011,2011,5," $17,000.00 "," $1,012.22 "," $32,728.61 "," $33,740.83 ",17 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,APR 2007,2007,4," $19,000.00 "," $1,065.90 "," $34,464.21 "," $35,530.11 ",19 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,APR 2009,2009,4," $21,000.00 "," $1,213.71 "," $39,243.18 "," $40,456.89 ",21 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,APR 2008,2008,4," $23,000.00 "," $1,309.66 "," $42,345.57 "," $43,655.23 ",23 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUN 2007,2007,6," $27,000.00 "," $1,514.70 "," $48,975.45 "," $50,490.15 ",27 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAY 2010,2010,5," $30,000.00 "," $1,759.86 "," $56,902.56 "," $58,662.43 ",30 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAY 2009,2009,5," $31,000.00 "," $1,791.65 "," $57,930.42 "," $59,722.07 ",31 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUN 2008,2008,6," $32,000.00 "," $1,822.14 "," $58,915.57 "," $60,737.71 ",32 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUN 2010,2010,6," $33,000.00 "," $1,935.88 "," $62,592.79 "," $64,528.67 ",33 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUN 2011,2011,6," $35,000.00 "," $2,083.99 "," $67,382.41 "," $69,466.41 ",35 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JAN 2007,2007,1, $950.00 , $54.45 ," $1,760.55 "," $1,815.00 ",1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,NOV 2007,2007,11, $950.00 , $54.45 ," $1,760.55 "," $1,815.00 ",1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,FEB 2008,2008,2, $950.00 , $55.26 ," $1,786.97 "," $1,842.23 ",1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAR 2008,2008,3, $950.00 , $55.26 ," $1,786.97 "," $1,842.23 ",1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,SEP 2008,2008,9, $950.00 , $55.26 ," $1,786.97 "," $1,842.23 ",1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,OCT 2008,2008,10, $950.00 , $55.26 ," $1,786.97 "," $1,842.23 ",1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,AUG 2009,2009,8, $950.00 , $56.10 ," $1,813.76 "," $1,869.86 ",1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,DEC 2009,2009,12, $950.00 , $56.10 ," $1,813.76 "," $1,869.86 ",1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JAN 2010,2010,1, $950.00 , $56.94 ," $1,840.96 "," $1,897.91 ",1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,SEP 2010,2010,9, $950.00 , $56.94 ," $1,840.96 "," $1,897.91 ",1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,NOV 2010,2010,11, $950.00 , $56.94 ," $1,840.96 "," $1,897.91 ",1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JAN 2011,2011,1, $950.00 , $57.79 ," $1,868.58 "," $1,926.37 ",1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,FEB 2011,2011,2, $950.00 , $57.79 ," $1,868.58 "," $1,926.37 ",1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,SEP 2011,2011,9, $950.00 , $57.79 ," $1,868.58 "," $1,926.37 ",1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,DEC 2011,2011,12, $950.00 , $57.79 ," $1,868.58 "," $1,926.37 ",1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,APR 2008,2008,4," $1,900.00 ", $110.53 ," $3,573.92 "," $3,684.45 ",2 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAR 2010,2010,3," $1,900.00 ", $113.89 ," $3,681.92 "," $3,795.81 ",2 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,OCT 2010,2010,10," $1,900.00 ", $113.89 ," $3,681.92 "," $3,795.81 ",2 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUL 2011,2011,7," $1,900.00 ", $115.58 ," $3,737.16 "," $3,852.74 ",2 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,OCT 2011,2011,10," $1,900.00 ", $115.58 ," $3,737.16 "," $3,852.74 ",2 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAR 2007,2007,3," $2,850.00 ", $163.36 ," $5,281.65 "," $5,445.00 ",3 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,OCT 2007,2007,10," $2,850.00 ", $163.36 ," $5,281.65 "," $5,445.00 ",3 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,AUG 2008,2008,8," $2,850.00 ", $165.79 ," $5,360.89 "," $5,526.68 ",3 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAR 2009,2009,3," $2,850.00 ", $168.29 ," $5,441.29 "," $5,609.57 ",3 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,OCT 2009,2009,10," $2,850.00 ", $168.29 ," $5,441.29 "," $5,609.57 ",3 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAR 2011,2011,3," $2,850.00 ", $173.38 ," $5,605.74 "," $5,779.11 ",3 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,APR 2007,2007,4," $3,800.00 ", $217.80 ," $7,042.21 "," $7,260.00 ",4 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,AUG 2007,2007,8," $3,800.00 ", $217.80 ," $7,042.21 "," $7,260.00 ",4 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,SEP 2007,2007,9," $3,800.00 ", $217.80 ," $7,042.21 "," $7,260.00 ",4 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,SEP 2009,2009,9," $3,800.00 ", $224.38 ," $7,255.05 "," $7,479.43 ",4 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,APR 2010,2010,4," $3,800.00 ", $227.75 ," $7,363.87 "," $7,591.62 ",4 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,AUG 2010,2010,8," $3,800.00 ", $227.75 ," $7,363.87 "," $7,591.62 ",4 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,AUG 2011,2011,8," $3,800.00 ", $231.17 ," $7,474.31 "," $7,705.48 ",4 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUL 2008,2008,7," $4,750.00 ", $276.32 ," $8,934.82 "," $9,211.14 ",5 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUL 2009,2009,7," $4,750.00 ", $280.48 ," $9,068.81 "," $9,349.29 ",5 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUN 2010,2010,6," $4,750.00 ", $284.70 ," $9,204.82 "," $9,489.53 ",5 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUL 2010,2010,7," $4,750.00 ", $284.70 ," $9,204.82 "," $9,489.53 ",5 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,APR 2011,2011,4," $4,750.00 ", $288.96 ," $9,342.89 "," $9,631.85 ",5 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAY 2007,2007,5," $5,700.00 ", $326.70 ," $10,563.31 "," $10,890.01 ",6 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUL 2007,2007,7," $5,700.00 ", $326.70 ," $10,563.31 "," $10,890.01 ",6 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAY 2008,2008,5," $5,700.00 ", $331.60 ," $10,721.76 "," $11,053.36 ",6 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUN 2008,2008,6," $6,650.00 ", $386.86 ," $12,508.73 "," $12,895.59 ",7 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,APR 2009,2009,4," $6,650.00 ", $392.67 ," $12,696.34 "," $13,089.00 ",7 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAY 2009,2009,5," $7,600.00 ", $448.76 ," $14,510.10 "," $14,958.86 ",8 
