alternate,bar,weekend,hungry,price,raining,reservation,type,wait_estimate,will_wait,average_spending
No,No,Yes,No,$,Yes,Yes,Italian,0-10,Yes,272
No,Yes,Yes,Yes,$$,No,No,Burger,>60,No,0
No,Yes,Yes,No,$$,Yes,No,Burger,>60,No,0
No,Yes,Yes,Yes,$,No,No,Italian,30-60,Yes,75
Yes,Yes,No,No,$$$,No,Yes,Italian,0-10,Yes,505
No,Yes,Yes,No,$,No,Yes,Italian,>60,No,0
No,Yes,Yes,No,$,No,No,Italian,>60,No,0
No,No,Yes,Yes,$$$,No,No,Italian,30-60,No,0
No,Yes,No,No,$,Yes,No,Italian,10-30,Yes,100
No,No,Yes,Yes,$,Yes,No,Italian,30-60,No,0
Yes,No,Yes,Yes,$$,Yes,Yes,Burger,0-10,Yes,298
No,Yes,No,Yes,$$,Yes,Yes,Italian,30-60,Yes,24
Yes,No,Yes,No,$,No,No,French,0-10,Yes,91
No,Yes,No,No,$,Yes,No,Thai,10-30,Yes,203
Yes,No,Yes,Yes,$,Yes,No,Burger,0-10,Yes,26
No,Yes,Yes,No,$,No,No,Italian,0-10,Yes,26
No,No,Yes,Yes,$$$,No,Yes,Thai,0-10,Yes,694
Yes,No,Yes,Yes,$,No,No,Burger,0-10,Yes,26
Yes,Yes,Yes,No,$,Yes,No,Burger,30-60,Yes,253
Yes,No,No,Yes,$$,No,Yes,Burger,0-10,Yes,276
No,No,No,Yes,$$,Yes,Yes,Burger,10-30,Yes,24
Yes,No,No,Yes,$$,Yes,No,French,>60,No,0
No,No,No,Yes,$,No,Yes,French,30-60,No,0
No,No,Yes,Yes,$$,Yes,No,Italian,0-10,Yes,31
Yes,Yes,Yes,No,$,Yes,No,French,10-30,Yes,169
Yes,No,No,Yes,$,Yes,No,Italian,30-60,No,0
No,No,No,Yes,$$,Yes,Yes,Burger,30-60,Yes,120
No,Yes,Yes,Yes,$,Yes,No,Burger,0-10,Yes,81
Yes,Yes,Yes,No,$$,No,Yes,Italian,10-30,Yes,243
Yes,Yes,Yes,Yes,$,Yes,No,Burger,30-60,Yes,323
Yes,No,Yes,No,$$$,Yes,Yes,Italian,0-10,Yes,517
No,No,Yes,No,$,Yes,No,Italian,>60,Yes,143
No,No,No,Yes,$$$,No,Yes,Thai,0-10,Yes,30
No,No,Yes,Yes,$$,Yes,No,Italian,10-30,Yes,68
No,Yes,No,Yes,$$,No,No,French,>60,No,0
No,Yes,No,No,$,No,No,Burger,0-10,Yes,234
No,No,No,Yes,$$$,Yes,Yes,Italian,10-30,Yes,344
Yes,No,Yes,No,$,No,No,Thai,30-60,Yes,56
No,No,Yes,No,$,No,No,Burger,>60,Yes,134
No,No,No,Yes,$$,No,Yes,Burger,30-60,No,0
No,Yes,Yes,No,$,No,Yes,Italian,0-10,No,0
Yes,Yes,Yes,No,$,Yes,No,French,10-30,Yes,26
No,No,Yes,No,$$,No,Yes,Italian,30-60,Yes,216
No,Yes,No,Yes,$,No,No,Italian,10-30,Yes,20
Yes,No,Yes,Yes,$$,Yes,No,Burger,30-60,Yes,382
No,No,Yes,No,$$,No,No,Burger,10-30,Yes,101
No,Yes,No,No,$,No,No,French,30-60,Yes,105
No,No,No,Yes,$,No,Yes,Burger,10-30,Yes,20
No,Yes,No,Yes,$$,No,No,Italian,30-60,Yes,24
No,No,No,Yes,$$,No,Yes,Burger,0-10,Yes,441
Yes,Yes,Yes,Yes,$,Yes,No,Italian,10-30,Yes,210
Yes,No,Yes,Yes,$,Yes,Yes,Italian,0-10,Yes,127
Yes,Yes,Yes,Yes,$,No,No,Italian,30-60,Yes,358
No,No,No,Yes,$$,No,No,Burger,10-30,Yes,355
No,No,Yes,Yes,$$,Yes,No,Italian,30-60,No,0
No,Yes,Yes,Yes,$,Yes,No,Burger,30-60,Yes,26
Yes,No,Yes,Yes,$$,No,Yes,Burger,0-10,Yes,73
No,Yes,Yes,Yes,$$,Yes,No,Italian,0-10,Yes,31
No,Yes,No,Yes,$,Yes,No,Burger,0-10,Yes,85
Yes,No,Yes,Yes,$$,Yes,Yes,Italian,30-60,Yes,172
No,No,Yes,No,$$,No,No,Italian,0-10,Yes,699
Yes,No,Yes,Yes,$$$,No,Yes,Burger,0-10,No,0
Yes,No,Yes,Yes,$,No,No,Italian,10-30,No,0
Yes,Yes,No,No,$,Yes,No,Burger,10-30,Yes,20
No,No,No,Yes,$$$,No,Yes,Italian,0-10,Yes,30
No,No,Yes,Yes,$,Yes,No,Italian,>60,No,0
No,No,Yes,No,$,No,No,Burger,0-10,Yes,26
No,Yes,Yes,Yes,$,No,Yes,Italian,0-10,No,0
No,No,No,Yes,$$,Yes,Yes,Burger,0-10,Yes,24
No,Yes,Yes,Yes,$,No,No,Italian,>60,No,0
No,No,Yes,No,$$$,Yes,Yes,Italian,30-60,No,0
Yes,Yes,Yes,No,$,No,No,Italian,30-60,Yes,168
No,No,No,No,$$,No,Yes,French,>60,No,0
Yes,No,No,No,$,Yes,No,Burger,10-30,Yes,20
No,Yes,Yes,No,$,Yes,No,Italian,>60,No,0
No,No,Yes,Yes,$,No,No,Italian,0-10,No,0
No,No,Yes,Yes,$$$,Yes,No,Burger,>60,Yes,39
Yes,No,Yes,Yes,$,No,Yes,Burger,10-30,No,0
Yes,Yes,Yes,No,$$,No,Yes,Burger,30-60,Yes,257
Yes,No,No,Yes,$$,No,No,Italian,0-10,Yes,24
Yes,Yes,No,No,$,Yes,No,Burger,0-10,Yes,223
No,Yes,No,Yes,$$,Yes,Yes,Italian,30-60,Yes,207
Yes,Yes,Yes,Yes,$,No,Yes,Italian,>60,No,0
No,No,Yes,Yes,$$,No,Yes,Thai,10-30,Yes,199
No,Yes,Yes,No,$,Yes,No,Thai,30-60,Yes,101
Yes,Yes,No,Yes,$$,No,No,Burger,10-30,No,0
Yes,No,Yes,Yes,$$,No,Yes,Burger,0-10,Yes,31
Yes,Yes,Yes,Yes,$,Yes,No,Burger,30-60,Yes,218
Yes,Yes,Yes,Yes,$,No,No,Italian,>60,No,0
Yes,No,No,Yes,$,Yes,No,Italian,30-60,No,0
Yes,No,Yes,No,$$$,Yes,Yes,French,30-60,Yes,519
Yes,Yes,Yes,Yes,$,Yes,No,Italian,0-10,Yes,26
Yes,No,Yes,No,$,No,Yes,Italian,0-10,Yes,182
No,No,Yes,No,$,Yes,No,Burger,10-30,Yes,47
Yes,No,No,No,$$$,No,Yes,Burger,0-10,Yes,61
Yes,Yes,Yes,Yes,$,Yes,No,Italian,0-10,Yes,26
No,Yes,Yes,No,$,Yes,No,Italian,10-30,Yes,26
Yes,No,Yes,Yes,$$,No,No,Italian,30-60,Yes,214
No,Yes,Yes,Yes,$$$,Yes,Yes,Italian,30-60,Yes,551
No,No,No,Yes,$$,Yes,No,Thai,0-10,Yes,24
Yes,No,No,Yes,$,Yes,No,Italian,>60,No,0
No,No,Yes,Yes,$,No,No,Burger,>60,No,0
No,No,No,No,$,No,No,Italian,30-60,No,0
No,No,Yes,No,$,No,No,Italian,10-30,Yes,188
No,Yes,No,Yes,$,Yes,No,Italian,30-60,Yes,244
Yes,Yes,No,Yes,$$,Yes,Yes,Burger,0-10,Yes,24
No,Yes,Yes,No,$$,No,No,Italian,10-30,Yes,31
Yes,Yes,No,Yes,$$,Yes,Yes,Italian,30-60,No,0
No,No,Yes,Yes,$,Yes,No,Italian,30-60,No,0
No,No,Yes,Yes,$$,No,No,Italian,30-60,Yes,31
No,Yes,Yes,Yes,$,Yes,No,Burger,>60,No,0
No,Yes,Yes,Yes,$,Yes,Yes,Thai,>60,Yes,88
Yes,No,No,Yes,$,No,No,Italian,10-30,Yes,20
Yes,No,Yes,Yes,$,Yes,Yes,Burger,10-30,Yes,511
No,No,Yes,Yes,$,Yes,No,Italian,10-30,Yes,60
No,Yes,Yes,No,$,Yes,No,Italian,>60,No,0
Yes,No,Yes,Yes,$,Yes,Yes,French,10-30,Yes,334
No,No,Yes,Yes,$,Yes,No,Burger,30-60,No,0
No,Yes,Yes,Yes,$,Yes,No,Burger,0-10,Yes,242
No,Yes,Yes,No,$$$,Yes,No,Burger,0-10,Yes,687
Yes,Yes,No,No,$$$,Yes,Yes,Italian,30-60,Yes,437
Yes,No,No,No,$$$,Yes,Yes,Burger,30-60,Yes,188
Yes,No,Yes,No,$$,Yes,Yes,Italian,10-30,Yes,279
No,Yes,No,Yes,$$$,Yes,Yes,Burger,0-10,Yes,408
No,No,No,Yes,$$,No,No,Italian,10-30,Yes,24
Yes,No,No,No,$$$,Yes,Yes,French,10-30,Yes,30
Yes,No,Yes,No,$$,No,Yes,Burger,>60,No,0
Yes,Yes,Yes,No,$$,Yes,Yes,Italian,30-60,Yes,31
Yes,Yes,Yes,Yes,$,Yes,No,Italian,10-30,Yes,533
No,No,Yes,Yes,$$,Yes,No,Italian,30-60,Yes,31
Yes,No,Yes,Yes,$$$,No,Yes,Burger,0-10,Yes,39
No,No,Yes,No,$,Yes,No,Burger,0-10,Yes,245
Yes,No,Yes,Yes,$,No,No,Burger,10-30,No,0
No,Yes,Yes,No,$,Yes,Yes,French,>60,No,0
Yes,Yes,Yes,No,$$,No,Yes,Burger,10-30,Yes,559
Yes,No,Yes,No,$$,Yes,No,Italian,0-10,Yes,469
Yes,No,Yes,Yes,$,No,No,Italian,0-10,Yes,26
Yes,Yes,Yes,No,$,No,Yes,Italian,>60,No,0
No,No,Yes,Yes,$$$,No,Yes,Burger,0-10,Yes,484
Yes,Yes,Yes,Yes,$$,Yes,No,French,>60,No,0
No,No,Yes,No,$,Yes,No,Burger,30-60,No,0
No,Yes,Yes,No,$$,No,Yes,Burger,>60,No,0
No,No,Yes,Yes,$,No,No,Italian,>60,No,0
No,No,Yes,Yes,$,No,No,Burger,>60,No,0
Yes,Yes,Yes,Yes,$$,No,No,Italian,30-60,Yes,38
No,Yes,Yes,No,$$,Yes,Yes,French,>60,No,0
No,No,Yes,No,$,Yes,No,Thai,10-30,Yes,237
No,No,Yes,No,$,Yes,Yes,Thai,10-30,Yes,311
Yes,Yes,Yes,Yes,$,Yes,No,Italian,10-30,Yes,179
Yes,Yes,Yes,Yes,$$$,No,Yes,Italian,10-30,Yes,684
Yes,No,Yes,Yes,$$,Yes,Yes,Italian,>60,No,0
Yes,No,Yes,Yes,$,Yes,No,French,0-10,Yes,95
No,Yes,No,Yes,$,No,No,Italian,>60,No,0
No,Yes,Yes,Yes,$,No,No,Italian,10-30,Yes,144
Yes,Yes,Yes,Yes,$$,Yes,Yes,Italian,>60,No,0
No,Yes,Yes,Yes,$,No,No,Burger,>60,No,0
No,Yes,Yes,No,$,Yes,Yes,French,10-30,Yes,167
No,No,No,No,$$,Yes,Yes,Italian,>60,No,0
Yes,No,Yes,No,$,No,No,Italian,10-30,Yes,314
Yes,Yes,Yes,Yes,$,Yes,No,Italian,0-10,Yes,234
No,No,No,No,$,No,No,Burger,10-30,Yes,20
Yes,No,Yes,No,$$,Yes,No,Thai,10-30,Yes,31
Yes,Yes,Yes,Yes,$$,No,Yes,Italian,0-10,Yes,620
Yes,No,Yes,No,$,No,No,Burger,30-60,Yes,94
Yes,No,No,No,$,No,No,Italian,10-30,Yes,20
Yes,No,Yes,Yes,$,No,No,Italian,10-30,No,0
No,Yes,Yes,Yes,$,No,Yes,Italian,30-60,Yes,26
Yes,Yes,No,No,$,No,No,Italian,30-60,Yes,67
No,No,No,Yes,$,Yes,No,Burger,10-30,Yes,58
No,No,No,No,$$$,No,No,Italian,10-30,Yes,131
Yes,No,Yes,Yes,$$,Yes,No,Italian,30-60,Yes,52
No,No,No,No,$$,No,No,Italian,10-30,Yes,243
No,No,No,No,$$,No,No,Burger,10-30,Yes,214
No,No,Yes,Yes,$$,No,Yes,Burger,30-60,No,0
Yes,Yes,Yes,Yes,$$,Yes,No,Burger,0-10,Yes,154
Yes,No,Yes,Yes,$$,No,No,Italian,30-60,Yes,31
No,No,Yes,Yes,$,Yes,No,Burger,30-60,Yes,212
Yes,Yes,No,Yes,$,Yes,Yes,Italian,0-10,Yes,323
Yes,No,Yes,No,$,No,No,French,>60,No,0
Yes,No,No,No,$$$,No,Yes,Italian,10-30,Yes,86
Yes,No,Yes,Yes,$,Yes,Yes,Thai,10-30,Yes,26
No,No,Yes,Yes,$,No,No,Italian,10-30,Yes,224
No,Yes,No,Yes,$$,Yes,No,Thai,0-10,Yes,24
Yes,No,Yes,No,$,No,No,Burger,30-60,Yes,96
Yes,Yes,Yes,No,$$$,Yes,Yes,Italian,>60,Yes,360
No,No,No,No,$,Yes,Yes,Italian,0-10,Yes,20
No,No,Yes,No,$$,Yes,Yes,Italian,>60,No,0
Yes,Yes,Yes,No,$$,No,Yes,Burger,0-10,Yes,31
No,No,Yes,Yes,$$$,Yes,Yes,Burger,30-60,Yes,41
Yes,Yes,Yes,Yes,$,Yes,No,Burger,>60,No,0
Yes,Yes,Yes,No,$$,Yes,Yes,Thai,30-60,Yes,396
No,Yes,No,No,$,No,No,Thai,30-60,No,0
No,No,No,Yes,$,No,No,Italian,0-10,Yes,20
Yes,No,Yes,Yes,$,Yes,No,Italian,>60,No,0
Yes,No,No,Yes,$$,Yes,No,Italian,>60,No,0
No,No,Yes,Yes,$,Yes,No,Burger,>60,No,0
Yes,Yes,Yes,Yes,$,No,No,Italian,30-60,Yes,26
No,No,No,Yes,$,Yes,No,Burger,>60,No,0
Yes,No,No,Yes,$,Yes,No,Italian,10-30,Yes,96
No,Yes,Yes,Yes,$,No,No,Italian,30-60,Yes,117
No,Yes,Yes,No,$,No,Yes,Italian,0-10,Yes,63
No,No,Yes,No,$$$,Yes,Yes,Italian,30-60,No,0
Yes,Yes,Yes,Yes,$,Yes,Yes,Burger,10-30,Yes,26
Yes,Yes,No,Yes,$,No,No,Burger,0-10,Yes,20
No,Yes,Yes,Yes,$$,Yes,No,French,30-60,Yes,247
Yes,Yes,No,No,$,No,No,Burger,30-60,No,0
No,Yes,Yes,Yes,$,No,No,Burger,30-60,Yes,40
No,No,Yes,Yes,$,No,Yes,Burger,10-30,Yes,279
Yes,No,Yes,Yes,$$,Yes,No,Italian,30-60,Yes,160
Yes,No,Yes,Yes,$$$,Yes,No,Italian,30-60,Yes,39
No,No,Yes,Yes,$,Yes,Yes,Italian,0-10,Yes,232
Yes,No,Yes,Yes,$,No,No,Italian,10-30,No,0
Yes,No,Yes,No,$,Yes,No,Italian,30-60,Yes,102
No,No,Yes,Yes,$,No,No,Burger,0-10,Yes,26
No,Yes,Yes,No,$,Yes,Yes,Italian,10-30,Yes,26
Yes,No,Yes,Yes,$$,Yes,Yes,Italian,0-10,Yes,82
No,No,No,No,$,No,Yes,Burger,10-30,Yes,252
No,No,No,No,$$,Yes,No,French,0-10,Yes,290
Yes,Yes,No,No,$,No,No,Burger,0-10,Yes,180
No,No,Yes,No,$$$,No,Yes,Italian,30-60,Yes,347
No,No,No,No,$,No,No,Burger,0-10,No,0
Yes,Yes,Yes,No,$$,Yes,Yes,Thai,10-30,Yes,62
Yes,No,Yes,Yes,$$,No,Yes,Burger,10-30,No,0
No,No,No,Yes,$$,Yes,Yes,Italian,10-30,Yes,114
No,Yes,Yes,Yes,$,No,No,Italian,>60,No,0
Yes,No,No,Yes,$,No,No,Italian,30-60,No,0
Yes,Yes,Yes,Yes,$$,No,No,Burger,30-60,Yes,164
Yes,No,Yes,Yes,$$,No,Yes,Italian,>60,No,0
Yes,No,Yes,Yes,$,Yes,No,Burger,10-30,Yes,26
No,No,No,Yes,$,No,No,Burger,0-10,Yes,304
Yes,Yes,Yes,Yes,$,No,Yes,Thai,10-30,No,0
Yes,Yes,Yes,No,$$,Yes,No,Burger,0-10,Yes,31
No,Yes,Yes,Yes,$$,No,No,Italian,0-10,Yes,77
Yes,No,Yes,Yes,$$,No,No,Burger,0-10,Yes,127
No,No,No,No,$,No,No,Burger,0-10,Yes,150
Yes,Yes,Yes,No,$,Yes,No,French,0-10,No,0
Yes,Yes,Yes,No,$$,Yes,No,Burger,>60,No,0
Yes,No,No,Yes,$,Yes,No,Italian,10-30,Yes,20
No,No,Yes,Yes,$,Yes,No,Burger,10-30,Yes,91
No,No,Yes,No,$,Yes,No,Burger,30-60,Yes,55
Yes,No,Yes,No,$,Yes,Yes,Burger,10-30,Yes,479
No,Yes,No,No,$$,No,Yes,Italian,0-10,Yes,25
No,No,No,Yes,$,No,Yes,Italian,10-30,Yes,20
No,No,Yes,No,$,Yes,No,Italian,>60,No,0
No,No,Yes,Yes,$,Yes,No,Italian,0-10,Yes,91
No,No,No,Yes,$$,No,Yes,Thai,>60,No,0
No,No,Yes,Yes,$,Yes,No,Burger,30-60,Yes,73
Yes,No,No,Yes,$$,Yes,No,Burger,10-30,Yes,213
Yes,No,Yes,Yes,$,No,Yes,French,10-30,No,0
No,Yes,Yes,Yes,$,Yes,No,Italian,>60,No,0
Yes,Yes,Yes,Yes,$,No,No,Italian,10-30,No,0
Yes,Yes,Yes,Yes,$$$,No,Yes,French,0-10,Yes,39
Yes,No,Yes,Yes,$,No,No,Italian,30-60,Yes,26
Yes,Yes,Yes,Yes,$$,Yes,Yes,Italian,>60,No,0
No,No,Yes,Yes,$$$,No,Yes,Italian,0-10,Yes,39
Yes,No,Yes,Yes,$,Yes,Yes,Italian,>60,No,0
Yes,No,No,Yes,$$,Yes,Yes,Italian,10-30,Yes,245
No,No,Yes,No,$,Yes,No,Italian,30-60,No,0
No,Yes,No,No,$,Yes,No,Burger,0-10,Yes,20
Yes,No,Yes,Yes,$,Yes,No,Burger,>60,No,0
Yes,No,No,No,$$,Yes,No,Italian,30-60,No,0
Yes,Yes,Yes,No,$,Yes,No,Italian,0-10,Yes,337
Yes,Yes,No,No,$,No,No,French,30-60,No,0
Yes,Yes,Yes,Yes,$,No,No,French,0-10,Yes,257
Yes,No,Yes,Yes,$,No,Yes,Burger,30-60,Yes,398
No,Yes,Yes,No,$$,No,No,Burger,10-30,Yes,31
Yes,No,Yes,No,$,Yes,No,French,>60,No,0
