ID,ProductLine,ProductNumber,Amount,Purchase Date
47,E-500,590,209,2/24/2017
694,B-200,272,41,2/25/2017
595,B-200,293,50,2/25/2017
80,B-200,221,54,2/25/2017
885,C-300,316,91,2/26/2017
762,E-500,595,215,2/26/2017
991,B-200,229,41,2/27/2017
792,B-200,245,69,2/27/2017
785,E-500,579,199,2/27/2017
281,C-300,354,107,2/27/2017
258,E-500,541,207,2/27/2017
26,C-300,369,109,2/27/2017
994,A-100,117,21,2/28/2017
957,D-400,495,132,2/28/2017
738,D-400,412,136,2/28/2017
641,A-100,151,40,2/28/2017
386,C-300,373,71,2/28/2017
914,D-400,413,114,3/1/2017
486,A-100,139,26,3/1/2017
462,C-300,392,84,3/1/2017
411,E-500,565,196,3/1/2017
90,A-100,113,21,3/1/2017
66,E-500,543,210,3/1/2017
872,B-200,289,68,3/1/2017
452,C-300,371,87,3/1/2017
925,E-500,575,190,3/2/2017
818,C-300,339,68,3/2/2017
386,C-300,314,60,3/2/2017
314,E-500,519,212,3/2/2017
988,B-200,224,78,3/3/2017
771,C-300,358,89,3/3/2017
389,D-400,461,138,3/4/2017
227,E-500,507,192,3/4/2017
681,D-400,438,111,3/5/2017
665,B-200,226,63,3/5/2017
464,A-100,125,11,3/5/2017
35,E-500,561,195,3/5/2017
873,C-300,307,88,3/6/2017
631,E-500,540,185,3/6/2017
468,B-200,210,31,3/6/2017
258,C-300,348,104,3/6/2017
178,A-100,198,17,3/6/2017
38,D-400,471,116,3/6/2017
997,A-100,116,14,3/7/2017
780,E-500,567,171,3/7/2017
732,B-200,266,47,3/7/2017
643,D-400,426,147,3/7/2017
423,D-400,497,127,3/7/2017
176,A-100,147,26,3/7/2017
130,C-300,310,90,3/7/2017
792,C-300,339,73,3/8/2017
531,C-300,315,119,3/8/2017
514,A-100,118,44,3/8/2017
286,D-400,436,144,3/8/2017
179,E-500,539,178,3/8/2017
95,E-500,569,168,3/8/2017
908,B-200,260,30,3/9/2017
429,D-400,461,105,3/9/2017
165,D-400,483,109,3/9/2017
425,B-200,297,75,3/10/2017
282,E-500,548,175,3/10/2017
243,A-100,151,46,3/10/2017
105,C-300,387,62,3/10/2017
874,E-500,560,183,3/11/2017
702,C-300,396,62,3/11/2017
570,E-500,513,178,3/11/2017
496,B-200,210,46,3/11/2017
867,D-400,462,108,3/12/2017
656,B-200,250,68,3/12/2017
500,A-100,174,17,3/12/2017
192,E-500,536,186,3/12/2017
165,A-100,170,18,3/12/2017
733,E-500,589,161,3/13/2017
894,E-500,567,196,3/14/2017
407,C-300,337,67,3/14/2017
123,E-500,542,206,3/14/2017
78,E-500,581,164,3/14/2017
887,B-200,238,54,3/15/2017
839,E-500,521,219,3/15/2017
821,E-500,533,204,3/15/2017
724,D-400,417,128,3/15/2017
323,D-400,417,127,3/15/2017
181,E-500,587,160,3/15/2017
911,D-400,434,101,3/17/2017
602,C-300,358,110,3/17/2017
437,B-200,291,71,3/18/2017
187,B-200,278,73,3/18/2017
861,A-100,193,38,3/19/2017
719,B-200,215,56,3/19/2017
703,C-300,315,73,3/19/2017
304,A-100,116,44,3/19/2017
888,D-400,455,148,3/20/2017
518,B-200,232,73,3/20/2017
452,A-100,168,15,3/20/2017
433,A-100,198,21,3/20/2017
424,A-100,126,46,3/20/2017
417,B-200,225,48,3/21/2017
41,A-100,188,29,3/21/2017
984,A-100,129,20,3/22/2017
979,B-200,237,36,3/22/2017
624,D-400,441,144,3/22/2017
601,D-400,421,119,3/22/2017
474,C-300,319,97,3/22/2017
169,A-100,169,19,3/22/2017
26,E-500,532,200,3/22/2017
891,D-400,488,127,3/23/2017
447,C-300,368,119,3/23/2017
870,E-500,508,191,3/24/2017
526,D-400,413,143,3/24/2017
524,D-400,413,103,3/24/2017
86,A-100,187,34,3/24/2017
51,D-400,484,116,3/24/2017
18,C-300,304,91,3/24/2017
669,C-300,307,73,3/25/2017
892,B-200,227,60,3/26/2017
640,A-100,114,38,3/26/2017
273,D-400,457,141,3/26/2017
43,B-200,259,58,3/27/2017
651,C-300,322,56,3/28/2017
597,E-500,553,204,3/28/2017
542,D-400,498,118,3/28/2017
399,B-200,271,39,3/28/2017
90,A-100,143,17,3/28/2017
928,C-300,364,116,3/29/2017
765,E-500,537,203,3/29/2017
518,E-500,578,204,3/29/2017
457,A-100,131,37,3/29/2017
828,E-500,556,154,3/30/2017
589,C-300,342,60,3/30/2017
245,C-300,345,110,3/30/2017
354,A-100,192,36,3/31/2017
280,A-100,111,42,3/31/2017
169,D-400,497,126,3/31/2017
800,B-200,277,69,4/1/2017
729,A-100,172,26,4/1/2017
681,E-500,528,165,4/1/2017
638,D-400,433,111,4/1/2017
418,B-200,292,63,4/1/2017
31,D-400,422,113,4/1/2017
370,D-400,434,125,4/2/2017
338,C-300,315,82,4/2/2017
222,E-500,549,167,4/2/2017
700,B-200,280,30,4/3/2017
759,B-200,285,64,4/4/2017
696,B-200,281,78,4/4/2017
486,D-400,430,106,4/4/2017
57,E-500,505,214,4/4/2017
793,A-100,135,24,4/5/2017
225,A-100,128,16,4/5/2017
33,D-400,481,134,4/5/2017
777,B-200,220,51,4/6/2017
764,A-100,131,19,4/6/2017
697,D-400,480,123,4/6/2017
85,B-200,262,74,4/6/2017
847,A-100,118,36,4/7/2017
544,E-500,570,173,4/7/2017
395,C-300,349,77,4/7/2017
374,A-100,115,20,4/7/2017
161,A-100,188,16,4/7/2017
94,E-500,559,174,4/7/2017
88,A-100,112,41,4/7/2017
771,D-400,454,103,4/8/2017
673,A-100,196,29,4/8/2017
582,A-100,197,38,4/8/2017
501,A-100,118,40,4/8/2017
468,E-500,555,182,4/8/2017
433,D-400,415,133,4/8/2017
274,D-400,418,124,4/8/2017
136,B-200,209,78,4/8/2017
134,C-300,326,92,4/8/2017
716,C-300,338,60,4/9/2017
714,D-400,479,140,4/9/2017
502,C-300,369,110,4/9/2017
500,B-200,287,48,4/9/2017
25,C-300,397,52,4/9/2017
728,A-100,190,33,4/10/2017
659,E-500,534,176,4/10/2017
646,A-100,103,27,4/10/2017
586,D-400,422,122,4/10/2017
298,D-400,404,131,4/10/2017
90,D-400,427,133,4/10/2017
892,A-100,112,28,4/11/2017
578,A-100,101,26,4/11/2017
442,C-300,330,107,4/11/2017
302,E-500,577,196,4/11/2017
113,A-100,104,36,4/11/2017
963,E-500,517,180,4/12/2017
401,E-500,583,162,4/12/2017
329,E-500,548,157,4/12/2017
274,A-100,110,15,4/12/2017
259,B-200,224,56,4/12/2017
16,C-300,382,74,4/12/2017
452,D-400,447,121,4/13/2017
97,A-100,190,27,4/13/2017
827,C-300,336,72,4/14/2017
817,E-500,593,173,4/14/2017
712,E-500,581,214,4/14/2017
520,A-100,193,48,4/14/2017
204,C-300,362,83,4/14/2017
546,B-200,265,50,4/15/2017
534,A-100,117,39,4/15/2017
309,A-100,101,47,4/15/2017
104,A-100,125,19,4/15/2017
947,E-500,573,175,4/16/2017
799,D-400,498,136,4/16/2017
726,E-500,559,218,4/16/2017
311,E-500,567,170,4/16/2017
221,C-300,328,92,4/16/2017
193,C-300,356,101,4/16/2017
94,A-100,155,31,4/16/2017
20,E-500,573,189,4/16/2017
780,D-400,463,122,4/17/2017
705,C-300,320,57,4/17/2017
417,B-200,282,44,4/17/2017
140,E-500,566,207,4/17/2017
820,C-300,336,81,4/18/2017
809,A-100,117,21,4/18/2017
756,E-500,551,173,4/18/2017
703,A-100,121,41,4/18/2017
202,A-100,113,35,4/18/2017
76,A-100,151,44,4/18/2017
47,D-400,443,143,4/18/2017
688,D-400,407,106,4/19/2017
289,D-400,472,132,4/19/2017
167,E-500,548,219,4/19/2017
11,B-200,285,49,4/20/2017
848,E-500,526,195,4/21/2017
738,C-300,351,109,4/21/2017
611,D-400,436,114,4/21/2017
504,B-200,274,50,4/21/2017
138,A-100,150,30,4/21/2017
955,B-200,279,79,4/22/2017
872,B-200,248,46,4/22/2017
682,C-300,342,74,4/22/2017
495,D-400,402,143,4/22/2017
292,C-300,324,93,4/22/2017
275,A-100,179,36,4/22/2017
217,E-500,555,192,4/22/2017
107,C-300,303,112,4/22/2017
997,D-400,487,122,4/23/2017
687,D-400,496,122,4/23/2017
606,D-400,466,135,4/23/2017
167,B-200,213,67,4/23/2017
48,E-500,591,202,4/23/2017
692,E-500,547,163,4/24/2017
573,A-100,145,23,4/24/2017
526,A-100,156,45,4/24/2017
373,D-400,489,146,4/24/2017
57,D-400,498,116,4/24/2017
18,D-400,495,133,4/24/2017
13,E-500,577,211,4/24/2017
775,B-200,215,33,4/25/2017
595,A-100,112,18,4/25/2017
73,C-300,363,109,4/25/2017
898,A-100,195,28,4/26/2017
732,B-200,212,52,4/26/2017
603,A-100,111,42,4/26/2017
75,A-100,145,19,4/26/2017
16,B-200,262,48,4/26/2017
833,E-500,563,182,4/27/2017
765,D-400,463,144,4/27/2017
982,E-500,588,159,4/28/2017
818,B-200,269,49,4/28/2017
415,A-100,171,26,4/28/2017
330,A-100,180,46,4/28/2017
961,A-100,131,10,4/29/2017
628,E-500,566,186,4/29/2017
427,D-400,420,133,4/29/2017
257,A-100,159,22,4/29/2017
30,D-400,498,145,4/29/2017
813,B-200,225,65,4/30/2017
437,B-200,223,42,4/30/2017
131,B-200,236,51,4/30/2017
131,D-400,463,143,4/30/2017
74,A-100,136,11,4/30/2017
858,D-400,485,118,5/1/2017
657,C-300,310,82,5/1/2017
514,A-100,182,14,5/1/2017
401,C-300,384,100,5/1/2017
104,C-300,341,52,5/1/2017
21,E-500,542,173,5/1/2017
708,A-100,144,15,5/2/2017
991,A-100,179,20,5/3/2017
593,E-500,597,187,5/3/2017
288,C-300,393,70,5/3/2017
124,A-100,142,35,5/3/2017
938,C-300,324,116,5/4/2017
803,D-400,434,142,5/4/2017
411,E-500,579,208,5/4/2017
347,E-500,539,188,5/4/2017
315,B-200,207,46,5/4/2017
360,B-200,278,55,5/5/2017
922,D-400,451,113,5/6/2017
861,B-200,296,70,5/6/2017
794,E-500,563,165,5/6/2017
391,B-200,264,62,5/6/2017
374,B-200,264,49,5/6/2017
339,C-300,328,86,5/6/2017
861,B-200,240,55,5/7/2017
848,C-300,302,87,5/7/2017
306,B-200,290,77,5/7/2017
34,D-400,453,123,5/7/2017
4,D-400,433,128,5/7/2017
940,D-400,409,119,5/8/2017
853,C-300,350,103,5/8/2017
810,D-400,411,147,5/8/2017
750,A-100,114,39,5/8/2017
552,A-100,197,28,5/8/2017
549,C-300,369,81,5/8/2017
425,C-300,393,91,5/8/2017
222,D-400,438,132,5/8/2017
216,C-300,376,97,5/8/2017
49,A-100,190,43,5/8/2017
906,E-500,507,169,5/9/2017
564,E-500,588,184,5/9/2017
503,E-500,530,173,5/9/2017
327,A-100,148,43,5/9/2017
194,C-300,327,50,5/9/2017
884,B-200,257,30,5/10/2017
883,C-300,396,98,5/10/2017
703,D-400,458,110,5/10/2017
448,B-200,294,55,5/10/2017
329,C-300,334,92,5/10/2017
144,E-500,523,211,5/10/2017
936,A-100,113,17,5/11/2017
587,D-400,434,118,5/11/2017
399,B-200,270,46,5/11/2017
900,B-200,228,46,5/12/2017
467,E-500,514,187,5/12/2017
141,A-100,143,35,5/12/2017
132,C-300,350,62,5/12/2017
104,D-400,459,125,5/12/2017
686,B-200,248,72,5/13/2017
580,D-400,417,121,5/13/2017
507,A-100,171,49,5/13/2017
497,D-400,415,140,5/13/2017
259,A-100,171,45,5/13/2017
222,E-500,504,181,5/13/2017
378,B-200,253,61,5/14/2017
142,D-400,490,145,5/14/2017
839,B-200,249,61,5/15/2017
808,E-500,580,219,5/15/2017
442,E-500,549,204,5/15/2017
398,C-300,314,71,5/15/2017
241,E-500,513,164,5/15/2017
214,A-100,160,14,5/15/2017
836,E-500,531,215,5/16/2017
664,C-300,370,105,5/16/2017
549,E-500,526,177,5/16/2017
526,C-300,397,78,5/16/2017
509,B-200,282,64,5/16/2017
65,D-400,464,117,5/16/2017
824,D-400,441,127,5/17/2017
693,A-100,179,20,5/17/2017
636,B-200,274,34,5/17/2017
399,D-400,402,116,5/17/2017
145,B-200,242,48,5/17/2017
5,B-200,218,75,5/17/2017
825,B-200,292,42,5/18/2017
748,B-200,244,66,5/18/2017
223,A-100,147,46,5/18/2017
204,D-400,445,144,5/18/2017
187,D-400,430,113,5/18/2017
916,D-400,440,136,5/19/2017
823,D-400,437,122,5/19/2017
745,B-200,276,48,5/19/2017
732,B-200,211,31,5/19/2017
726,A-100,134,38,5/19/2017
534,D-400,463,122,5/19/2017
524,D-400,407,113,5/19/2017
501,E-500,596,210,5/19/2017
442,A-100,122,16,5/19/2017
142,B-200,214,41,5/19/2017
921,D-400,469,112,5/20/2017
790,A-100,186,25,5/20/2017
747,D-400,447,103,5/20/2017
701,D-400,421,130,5/20/2017
508,B-200,248,61,5/20/2017
278,B-200,224,47,5/20/2017
107,D-400,463,114,5/20/2017
841,D-400,484,136,5/21/2017
399,C-300,374,52,5/21/2017
177,B-200,268,53,5/21/2017
45,C-300,362,110,5/21/2017
923,E-500,572,184,5/22/2017
801,C-300,308,101,5/22/2017
796,B-200,210,61,5/22/2017
714,D-400,431,126,5/22/2017
652,C-300,388,110,5/22/2017
424,B-200,241,56,5/22/2017
404,D-400,445,138,5/22/2017
334,B-200,221,79,5/22/2017
185,B-200,281,55,5/22/2017
138,A-100,166,33,5/22/2017
716,D-400,477,110,5/23/2017
702,B-200,227,55,5/23/2017
652,E-500,566,201,5/23/2017
240,E-500,535,190,5/23/2017
744,B-200,284,58,5/24/2017
739,C-300,370,75,5/24/2017
727,B-200,287,30,5/24/2017
633,A-100,188,35,5/24/2017
497,A-100,113,17,5/24/2017
490,A-100,194,18,5/24/2017
206,D-400,448,131,5/24/2017
995,A-100,164,28,5/25/2017
950,B-200,212,67,5/25/2017
392,E-500,553,159,5/25/2017
262,A-100,151,43,5/25/2017
156,A-100,106,20,5/25/2017
96,A-100,134,18,5/25/2017
918,E-500,581,208,5/26/2017
822,E-500,518,198,5/26/2017
734,A-100,123,23,5/26/2017
724,D-400,434,124,5/26/2017
597,A-100,110,22,5/26/2017
146,E-500,590,155,5/26/2017
145,B-200,225,62,5/26/2017
821,C-300,302,83,5/27/2017
807,D-400,470,146,5/27/2017
764,E-500,543,165,5/27/2017
542,E-500,570,186,5/27/2017
379,C-300,321,51,5/27/2017
299,E-500,557,177,5/27/2017
221,A-100,188,14,5/27/2017
63,B-200,218,68,5/27/2017
22,E-500,589,185,5/27/2017
737,C-300,355,100,5/28/2017
52,A-100,109,24,5/28/2017
949,E-500,539,191,5/29/2017
684,C-300,320,67,5/29/2017
560,D-400,487,109,5/29/2017
173,C-300,336,70,5/29/2017
96,A-100,103,25,5/29/2017
58,C-300,327,65,5/29/2017
956,B-200,217,53,5/30/2017
943,D-400,425,149,5/30/2017
861,D-400,430,123,5/30/2017
806,D-400,467,114,5/30/2017
689,A-100,180,22,5/30/2017
612,D-400,430,146,5/30/2017
542,C-300,328,73,5/30/2017
519,E-500,517,150,5/30/2017
342,B-200,236,48,5/30/2017
101,B-200,231,64,5/30/2017
934,E-500,552,208,5/31/2017
809,E-500,535,213,6/1/2017
672,C-300,322,115,6/1/2017
250,B-200,297,31,6/1/2017
65,A-100,130,31,6/1/2017
995,D-400,496,142,6/2/2017
988,E-500,577,158,6/2/2017
710,C-300,301,79,6/2/2017
586,E-500,558,173,6/2/2017
525,E-500,505,196,6/2/2017
253,B-200,242,79,6/2/2017
179,E-500,547,167,6/2/2017
675,E-500,567,207,6/3/2017
361,B-200,229,76,6/3/2017
135,A-100,139,20,6/3/2017
70,E-500,563,194,6/3/2017
772,B-200,229,53,6/4/2017
772,C-300,385,64,6/4/2017
549,B-200,298,51,6/4/2017
529,A-100,150,25,6/4/2017
178,C-300,358,89,6/4/2017
65,C-300,320,115,6/4/2017
10,D-400,419,119,6/4/2017
979,C-300,382,88,6/5/2017
760,A-100,145,33,6/5/2017
719,E-500,578,162,6/5/2017
542,D-400,429,103,6/5/2017
475,C-300,322,111,6/5/2017
217,A-100,122,32,6/5/2017
68,A-100,117,38,6/5/2017
987,C-300,345,119,6/6/2017
941,B-200,284,59,6/6/2017
621,E-500,537,187,6/6/2017
608,C-300,378,97,6/6/2017
166,D-400,428,101,6/6/2017
135,A-100,117,18,6/6/2017
135,B-200,208,51,6/6/2017
57,D-400,457,142,6/6/2017
34,C-300,372,60,6/6/2017
929,D-400,493,137,6/7/2017
864,C-300,332,86,6/7/2017
618,D-400,449,116,6/7/2017
235,D-400,478,138,6/7/2017
896,C-300,371,55,6/8/2017
734,D-400,461,127,6/8/2017
365,E-500,553,201,6/8/2017
880,A-100,161,39,6/9/2017
756,B-200,275,53,6/9/2017
710,B-200,267,46,6/9/2017
452,B-200,209,78,6/9/2017
77,B-200,246,43,6/9/2017
922,D-400,416,144,6/10/2017
458,A-100,188,31,6/10/2017
438,B-200,263,64,6/10/2017
142,D-400,497,120,6/10/2017
88,C-300,393,95,6/10/2017
18,D-400,426,121,6/10/2017
936,C-300,356,57,6/11/2017
751,C-300,311,62,6/11/2017
643,E-500,548,190,6/11/2017
619,D-400,475,119,6/11/2017
540,A-100,182,21,6/11/2017
487,A-100,161,12,6/11/2017
72,D-400,413,107,6/11/2017
127,E-500,547,190,6/12/2017
56,A-100,155,29,6/12/2017
528,C-300,364,114,6/13/2017
239,E-500,553,195,6/13/2017
162,D-400,411,100,6/13/2017
118,C-300,347,75,6/13/2017
822,D-400,436,138,6/14/2017
676,E-500,586,175,6/14/2017
562,C-300,310,102,6/14/2017
417,E-500,597,156,6/14/2017
8,B-200,262,48,6/14/2017
669,E-500,551,201,6/15/2017
643,C-300,365,87,6/15/2017
583,E-500,535,176,6/15/2017
571,B-200,238,64,6/15/2017
373,B-200,249,72,6/15/2017
362,A-100,177,10,6/15/2017
184,B-200,297,40,6/15/2017
95,A-100,144,39,6/15/2017
823,A-100,139,23,6/16/2017
692,E-500,501,204,6/16/2017
321,B-200,222,57,6/16/2017
295,D-400,442,132,6/16/2017
173,D-400,455,111,6/16/2017
153,E-500,586,193,6/16/2017
49,D-400,434,107,6/16/2017
891,A-100,172,46,6/17/2017
791,E-500,568,194,6/17/2017
535,A-100,127,25,6/17/2017
530,D-400,401,115,6/17/2017
493,A-100,195,28,6/17/2017
334,E-500,572,193,6/17/2017
265,E-500,559,169,6/17/2017
815,D-400,445,133,6/18/2017
490,A-100,143,24,6/18/2017
465,A-100,162,11,6/18/2017
409,C-300,332,69,6/18/2017
217,A-100,113,39,6/18/2017
168,C-300,337,95,6/18/2017
88,B-200,247,37,6/18/2017
867,B-200,213,30,6/19/2017
814,E-500,533,177,6/19/2017
489,A-100,117,33,6/20/2017
403,B-200,289,50,6/20/2017
254,D-400,402,137,6/20/2017
184,D-400,427,127,6/20/2017
969,B-200,262,79,6/22/2017
897,A-100,177,27,6/22/2017
818,C-300,372,65,6/22/2017
791,C-300,382,104,6/22/2017
665,B-200,287,56,6/22/2017
462,A-100,183,16,6/22/2017
341,B-200,249,38,6/22/2017
286,A-100,118,32,6/22/2017
441,B-200,235,32,6/23/2017
297,A-100,108,45,6/23/2017
104,B-200,275,38,6/23/2017
549,B-200,202,46,6/24/2017
348,E-500,572,213,6/24/2017
28,C-300,320,63,6/24/2017
972,C-300,315,98,6/25/2017
918,C-300,387,83,6/25/2017
721,C-300,341,114,6/25/2017
476,A-100,162,36,6/25/2017
78,B-200,247,63,6/25/2017
23,A-100,154,17,6/25/2017
892,E-500,539,205,6/26/2017
768,C-300,364,75,6/26/2017
759,D-400,426,104,6/26/2017
599,E-500,502,152,6/26/2017
419,C-300,393,57,6/26/2017
263,B-200,205,58,6/26/2017
259,A-100,148,26,6/26/2017
178,B-200,278,54,6/26/2017
812,E-500,571,151,6/27/2017
394,B-200,212,65,6/27/2017
387,B-200,259,32,6/27/2017
271,A-100,163,39,6/27/2017
179,B-200,257,74,6/27/2017
7,E-500,543,212,6/27/2017
966,D-400,457,117,6/28/2017
918,B-200,237,58,6/28/2017
688,A-100,115,47,6/28/2017
668,D-400,482,128,6/28/2017
639,E-500,570,195,6/28/2017
602,E-500,520,184,6/28/2017
564,E-500,560,201,6/28/2017
124,C-300,313,77,6/28/2017
120,B-200,221,33,6/28/2017
74,B-200,228,53,6/28/2017
54,C-300,392,70,6/28/2017
950,E-500,541,157,6/29/2017
826,A-100,118,35,6/29/2017
738,B-200,235,50,6/29/2017
527,C-300,376,82,6/29/2017
512,D-400,404,112,6/29/2017
300,B-200,282,58,6/29/2017
972,D-400,481,107,6/30/2017
614,A-100,188,13,6/30/2017
587,E-500,506,203,6/30/2017
463,D-400,490,118,6/30/2017
257,B-200,231,74,6/30/2017
201,E-500,552,197,6/30/2017
62,B-200,293,50,6/30/2017
871,B-200,219,79,7/1/2017
865,B-200,249,56,7/1/2017
795,D-400,485,114,7/1/2017
763,D-400,472,141,7/1/2017
736,E-500,513,210,7/1/2017
674,E-500,512,180,7/1/2017
378,D-400,485,149,7/1/2017
314,B-200,208,48,7/1/2017
247,B-200,228,35,7/1/2017
225,C-300,307,81,7/1/2017
198,E-500,528,158,7/1/2017
136,E-500,553,210,7/1/2017
75,A-100,172,40,7/1/2017
599,C-300,327,90,7/2/2017
573,A-100,164,28,7/2/2017
565,E-500,513,157,7/2/2017
528,E-500,557,203,7/2/2017
953,B-200,270,78,7/3/2017
763,B-200,241,69,7/3/2017
535,A-100,108,24,7/3/2017
525,C-300,316,71,7/3/2017
519,C-300,335,90,7/3/2017
499,B-200,279,40,7/3/2017
473,C-300,344,67,7/3/2017
345,D-400,430,108,7/3/2017
85,E-500,523,168,7/3/2017
970,D-400,491,148,7/4/2017
888,D-400,431,144,7/4/2017
802,E-500,528,206,7/4/2017
556,C-300,372,82,7/4/2017
446,B-200,269,78,7/4/2017
336,E-500,548,210,7/4/2017
193,D-400,411,109,7/4/2017
972,C-300,374,97,7/5/2017
799,A-100,162,31,7/5/2017
738,B-200,261,61,7/5/2017
724,D-400,409,101,7/5/2017
334,C-300,323,115,7/5/2017
195,B-200,282,39,7/5/2017
95,D-400,443,138,7/5/2017
937,E-500,584,185,7/6/2017
846,B-200,244,57,7/6/2017
500,D-400,455,138,7/6/2017
336,A-100,135,18,7/6/2017
855,C-300,364,56,7/7/2017
796,B-200,280,54,7/7/2017
792,E-500,593,155,7/7/2017
483,B-200,229,47,7/7/2017
321,A-100,159,40,7/7/2017
286,E-500,507,152,7/7/2017
172,E-500,572,177,7/7/2017
857,E-500,502,164,7/8/2017
787,C-300,327,68,7/8/2017
354,A-100,157,29,7/8/2017
121,B-200,288,44,7/8/2017
43,C-300,315,97,7/8/2017
607,A-100,183,40,7/9/2017
471,B-200,266,69,7/9/2017
215,D-400,458,103,7/9/2017
138,C-300,375,84,7/9/2017
33,D-400,463,117,7/9/2017
944,C-300,303,116,7/10/2017
774,A-100,174,31,7/10/2017
406,A-100,146,10,7/10/2017
326,D-400,451,103,7/10/2017
253,A-100,132,22,7/10/2017
201,E-500,590,156,7/10/2017
16,D-400,415,100,7/10/2017
753,B-200,235,75,7/11/2017
474,B-200,281,77,7/11/2017
201,D-400,452,114,7/11/2017
126,B-200,272,40,7/11/2017
842,E-500,570,175,7/12/2017
840,B-200,210,78,7/12/2017
710,A-100,146,17,7/12/2017
494,A-100,138,32,7/12/2017
485,C-300,365,63,7/12/2017
371,A-100,103,22,7/12/2017
261,D-400,462,115,7/12/2017
32,B-200,232,41,7/12/2017
856,C-300,305,97,7/13/2017
729,E-500,523,174,7/13/2017
681,E-500,524,175,7/13/2017
619,E-500,501,176,7/13/2017
444,B-200,298,42,7/13/2017
194,C-300,302,114,7/13/2017
946,E-500,585,163,7/14/2017
890,D-400,453,118,7/14/2017
848,B-200,290,30,7/14/2017
801,A-100,140,38,7/14/2017
767,E-500,555,186,7/14/2017
528,E-500,507,191,7/14/2017
271,D-400,411,134,7/14/2017
153,B-200,266,41,7/14/2017
985,A-100,144,19,7/15/2017
935,B-200,285,59,7/15/2017
820,B-200,230,51,7/15/2017
819,C-300,349,98,7/15/2017
784,E-500,549,176,7/15/2017
682,C-300,315,102,7/15/2017
203,E-500,549,198,7/15/2017
193,D-400,411,122,7/15/2017
931,D-400,487,143,7/16/2017
399,A-100,135,19,7/16/2017
399,E-500,527,172,7/16/2017
389,A-100,137,34,7/16/2017
376,B-200,215,40,7/16/2017
157,D-400,408,147,7/16/2017
154,A-100,138,42,7/16/2017
751,C-300,316,54,7/17/2017
748,E-500,589,193,7/17/2017
643,A-100,182,46,7/17/2017
490,D-400,416,142,7/17/2017
421,D-400,426,103,7/17/2017
323,B-200,238,68,7/17/2017
156,A-100,193,23,7/17/2017
775,A-100,176,43,7/18/2017
561,E-500,521,197,7/18/2017
461,D-400,484,102,7/18/2017
404,E-500,547,188,7/18/2017
312,E-500,517,199,7/18/2017
287,A-100,138,25,7/18/2017
923,C-300,332,63,7/19/2017
