ID,Responded,Previous,ControlPackage,PostalCode,Age,Income,Education,Reside,Gender,Married,Children,Region,Sequence
93, ,No, ,61560,49,75+,Post-graduate,11,Male,Yes,2,North,6586
94, ,No, ,74450,35,<25,Some college,11,Female,No,0,South,1809
95, ,No, ,95890,46,75+,Some college,7,Female,Yes,0,West,1282
96, ,No, ,96090,33,<25,High school,9,Female,Yes,1,West,1335
97, ,No, ,95090,45,75+,College,8,Male,Yes,2,West,255
98, ,No, ,75670,37,50-74,Some high school or less,9,Female,Yes,0,South,2621
99,No,No,Control,75320,47,75+,Some high school or less,8,Male,Yes,0,South,3136
100,No,No,Control,09980,34,75+,High school,9,Male,Yes,2,East,7716
101, ,No, ,75960,60,25-49,High school,10,Female,Yes,0,South,2151
102, ,No, ,76030,52,25-49,Some college,11,Male,Yes,0,South,3320
103, ,No, ,62120,64,25-49,Post-graduate,10,Female,Yes,2,North,6141
104, ,Yes, ,76010,48,75+,Some college,8,Female,Yes,2,South,2709
105, ,No, ,09040,39,50-74,Some high school or less,8,Female,No,1,East,8040
106, ,No, ,60820,47,75+,Some college,8,Female,No,1,North,5194
107, ,No, ,95900,36,75+,High school,8,Male,Yes,1,West,345
108, ,No, ,75810,63,75+,High school,6,Male,Yes,3,South,3262
109, ,No, ,60900,58,75+,Some college,7,Female,Yes,2,North,5846
110,No,No,Test,96490,37,25-49,High school,11,Female,No,0,West,1429
111, ,No, ,95540,18,25-49,High school,7,Male,No,0,West,4479
112, ,No, ,61840,55,50-74,High school,5,Female,No,1,North,5419
113, ,No, ,60170,45,25-49,College,5,Female,Yes,0,North,5677
114, ,No, ,62330,27,25-49,Post-graduate,8,Male,No,0,North,7428
115, ,No, ,61870,51,<25,Some high school or less,1,Female,No,0,North,5433
116, ,No, ,94290,35,<25,College,10,Male,No,0,West,4640
117, ,No, ,11460,41,<25,Some high school or less,9,Female,No,0,East,8938
118,No,No,Control,11770,39,25-49,High school,9,Female,No,1,East,9052
119, ,No, ,11840,56,25-49,College,11,Female,Yes,0,East,9072
120,No,No,Control,74530,50,50-74,Some high school or less,5,Male,No,2,South,3598
121,No,No,Control,92930,53,75+,Some college,13,Female,No,0,West,577
122, ,No, ,09530,57,50-74,Some college,5,Male,Yes,3,East,7648
123, ,No, ,61940,31,25-49,College,7,Female,No,0,North,5447
124, ,No, ,62100,51,25-49,Some college,5,Female,No,1,North,5490
125, ,No, ,10570,41,75+,Some high school or less,9,Male,No,0,East,9670
126, ,No, ,94490,50,25-49,High school,10,Female,Yes,2,West,945
127, ,No, ,92920,42,25-49,Post-graduate,9,Male,No,1,West,4662
128, ,No, ,93020,56,75+,Some high school or less,12,Female,Yes,2,West,596
129, ,No, ,74640,47,25-49,Some college,6,Female,Yes,0,South,2375
130, ,No, ,93060,32,<25,Some high school or less,12,Female,No,0,West,610
131, ,No, ,74650,62,75+,College,11,Female,Yes,0,South,2378
132, ,No, ,61260,53,50-74,High school,11,Male,Yes,3,North,6524
133, ,No, ,74260,20,75+,Post-graduate,12,Female,No,3,South,1763
134, ,No, ,76180,17,25-49,Post-graduate,11,Male,No,0,South,4075
135, ,No, ,11810,56,75+,College,8,Female,Yes,2,East,9061
136, ,No, ,75730,35,50-74,Post-graduate,6,Female,No,0,South,2100
137, ,No, ,60870,53,25-49,Some high school or less,8,Female,Yes,2,North,5843
138, ,No, ,60360,27,<25,Some high school or less,7,Female,No,0,North,5086
139, ,No, ,97230,47,75+,College,13,Male,Yes,2,West,437
140,No,No,Control,60910,45,75+,Some high school or less,7,Female,No,2,North,5209
141, ,No, ,92650,54,75+,College,8,Female,Yes,2,West,525
142, ,No, ,94480,31,75+,Post-graduate,9,Female,No,0,West,941
143,No,No,Control,74310,52,50-74,Some college,2,Male,Yes,2,South,2866
144, ,No, ,09580,24,25-49,Post-graduate,7,Male,No,0,East,9486
145, ,No, ,74300,35,25-49,College,12,Female,No,0,South,1767
146,No,No,Test,60390,51,75+,High school,12,Female,Yes,2,North,5734
147, ,No, ,11080,34,75+,Some college,9,Female,No,0,East,9319
148, ,No, ,92480,42,<25,Some college,9,Female,No,0,West,489
149, ,No, ,62140,40,75+,Post-graduate,11,Male,No,0,North,7381
150, ,No, ,11730,32,<25,High school,9,Female,No,0,East,9037
151, ,No, ,09190,46,25-49,Some high school or less,9,Female,Yes,2,East,8087
152, ,No, ,10760,50,75+,College,11,Male,Yes,2,East,7812
153, ,No, ,93180,44,25-49,High school,5,Male,Yes,2,West,91
154, ,No, ,11640,47,75+,Post-graduate,6,Female,No,4,East,9000
155, ,No, ,75560,52,25-49,College,10,Male,Yes,2,South,3191
156,Yes,No,Test,74400,48,75+,High school,8,Female,No,1,South,1792
157, ,No, ,62110,54,75+,Some high school or less,11,Female,Yes,2,North,6139
158,No,No,Control,97240,40,25-49,High school,9,Female,Yes,1,West,1604
159, ,No, ,59900,51,50-74,High school,8,Female,No,1,North,4966
160, ,No, ,11900,46,25-49,Some high school or less,8,Male,Yes,3,East,7555
161,No,No,Control,97360,35,<25,Some high school or less,4,Male,No,0,West,4623
162,No,No,Control,09310,37,25-49,College,7,Male,No,0,East,9427
163, ,No, ,75350,51,75+,Post-graduate,7,Female,Yes,2,South,2549
164, ,No, ,74560,62,75+,College,10,Male,Yes,2,South,2931
165, ,No, ,74980,23,50-74,High school,17,Female,No,1,South,1925
166,No,No,Test,97090,20,25-49,High school,15,Female,No,0,West,1575
167, ,No, ,95160,39,75+,College,9,Female,Yes,0,West,1108
168, ,No, ,61880,45,75+,College,9,Female,No,3,North,5436
169, ,No, ,10360,50,75+,Post-graduate,8,Female,Yes,0,East,8526
170,No,No,Control,11410,42,25-49,Post-graduate,14,Female,No,0,East,8912
171, ,No, ,92460,53,75+,Some high school or less,5,Female,Yes,2,West,484
172, ,No, ,94050,48,50-74,Some high school or less,6,Female,Yes,2,West,839
173, ,No, ,60440,25,25-49,Post-graduate,7,Female,No,0,North,5105
174, ,No, ,92870,38,25-49,Some college,13,Male,Yes,1,West,4737
175, ,No, ,10620,45,25-49,High school,8,Female,Yes,2,East,8613
176,No,No,Test,94200,28,25-49,Post-graduate,9,Male,No,1,West,4364
177, ,No, ,74360,38,75+,Post-graduate,7,Male,Yes,0,South,2877
178, ,No, ,74090,34,25-49,Some college,11,Male,No,0,South,3464
179, ,No, ,74430,43,50-74,Some college,15,Male,Yes,2,South,2896
180, ,No, ,75350,37,75+,Some high school or less,11,Male,No,0,South,3839
181,No,No,Test,10020,46,75+,Post-graduate,11,Female,No,1,East,8391
182, ,No, ,61470,44,75+,Some college,12,Female,Yes,2,North,5992
183,No,No,Control,94140,35,<25,College,10,Male,No,0,West,4138
184, ,No, ,95370,56,75+,High school,6,Male,Yes,3,West,278
185, ,No, ,75730,15,<25,Some college,10,Male,No,0,South,3937
186, ,No, ,94790,58,50-74,Post-graduate,17,Male,Yes,3,West,4818
187, ,No, ,60170,36,25-49,High school,15,Male,No,1,North,6881
188,No,No,Test,74050,33,<25,High school,6,Female,Yes,1,South,2241
189, ,No, ,09720,47,75+,Post-graduate,12,Female,No,2,East,8288
190, ,No, ,61950,43,75+,Some high school or less,7,Female,Yes,2,North,6111
191, ,No, ,11220,48,25-49,College,4,Male,Yes,3,East,7852
192, ,No, ,10840,63,50-74,Post-graduate,9,Male,Yes,3,East,7513
193,No,No,Control,93410,16,25-49,Post-graduate,11,Female,No,0,West,700
194, ,No, ,11770,27,<25,Some high school or less,11,Male,No,0,East,9866
195, ,Yes, ,60920,27,25-49,Some high school or less,6,Female,No,0,North,5212
196, ,No, ,61470,50,50-74,Some high school or less,7,Male,Yes,3,North,6567
197, ,No, ,74880,31,<25,Some high school or less,8,Male,Yes,1,South,3020
198, ,No, ,60930,44,50-74,College,10,Female,Yes,3,North,5854
199, ,No, ,95350,35,75+,Post-graduate,6,Male,No,0,West,4462
200, ,No, ,10780,44,75+,Some high school or less,12,Male,Yes,3,East,7813
201,No,No,Test,94270,65,75+,Some college,15,Male,Yes,2,West,4795
202, ,No, ,08940,43,50-74,Some college,10,Female,No,3,East,8009
203, ,No, ,11430,17,<25,Some high school or less,12,Female,No,0,East,9324
204, ,Yes, ,12300,55,25-49,Some high school or less,13,Female,No,1,East,9223
205, ,No, ,11700,39,75+,Some high school or less,7,Female,Yes,2,East,9027
206, ,No, ,74970,21,<25,Post-graduate,8,Female,No,0,South,1923
207,No,No,Control,61490,46,50-74,High school,6,Female,Yes,2,North,5999
208, ,No, ,95760,36,25-49,College,10,Female,No,0,West,1253
209, ,Yes, ,74000,55,50-74,Some college,12,Female,No,1,South,1695
210,No,No,Test,75740,43,75+,Some college,12,Male,Yes,0,South,3245
211, ,No, ,75130,66,75+,High school,13,Female,Yes,2,South,2502
212,No,No,Control,62130,29,75+,Post-graduate,4,Male,No,0,North,7377
213, ,No, ,61760,41,50-74,College,7,Male,No,0,North,7288
214, ,No, ,74930,38,50-74,Some high school or less,6,Male,No,3,South,3715
215,No,No,Test,74110,44,75+,Some high school or less,5,Female,No,1,South,3386
216,No,No,Control,09090,41,75+,Some high school or less,15,Female,No,0,East,9294
217, ,No, ,76030,26,<25,Some college,8,Male,No,0,South,4025
218, ,No, ,94710,21,<25,Some high school or less,7,Male,No,0,West,4411
219, ,No, ,11420,30,<25,High school,13,Female,No,0,East,8921
220, ,No, ,11410,28,<25,Post-graduate,14,Female,No,0,East,8918
221, ,No, ,96500,49,75+,High school,9,Male,No,0,West,4557
222, ,No, ,08960,35,<25,Some college,8,Male,No,0,East,9971
223, ,No, ,10230,37,<25,Post-graduate,13,Male,No,0,East,9598
224, ,No, ,75200,53,50-74,College,8,Male,No,0,South,3795
225,Yes,No,Test,12310,42,50-74,College,13,Female,No,0,East,9228
226, ,No, ,11420,17,<25,Some college,7,Male,No,0,East,9807
227,No,No,Test,94440,52,25-49,Some high school or less,13,Male,Yes,2,West,4800
228, ,No, ,75870,36,<25,High school,7,Male,No,0,South,3981
229, ,No, ,93300,55,75+,Some college,4,Male,Yes,2,West,4110
230, ,No, ,74250,56,50-74,Some high school or less,7,Male,Yes,0,South,2851
231, ,No, ,95330,64,75+,College,7,Male,Yes,2,West,4838
232, ,No, ,74590,41,75+,Some college,7,Male,Yes,2,South,2939
233, ,No, ,61730,43,75+,High school,15,Male,No,0,North,7281
234,No,No,Control,09680,38,75+,Some college,7,Male,No,0,East,9504
235,No,No,Control,61690,28,<25,College,5,Male,No,0,North,7268
236,No,No,Control,11820,42,<25,High school,13,Male,No,0,East,9354
237, ,No, ,75900,55,75+,Some high school or less,4,Male,Yes,0,South,3286
238, ,No, ,60310,50,25-49,Some high school or less,15,Male,Yes,0,North,6296
239, ,No, ,94310,62,50-74,Some high school or less,9,Female,Yes,2,West,905
240, ,No, ,76060,23,<25,High school,5,Female,No,0,South,2174
241, ,No, ,74760,60,75+,Post-graduate,14,Female,Yes,2,South,2409
242, ,No, ,09770,32,<25,College,9,Female,No,0,East,8299
243,No,No,Control,61760,59,75+,Some high school or less,7,Female,Yes,0,North,6051
244, ,No, ,11940,62,50-74,Some college,5,Female,No,1,East,9097
245, ,No, ,95820,38,50-74,Post-graduate,10,Female,No,1,West,1271
246, ,No, ,74460,56,50-74,Post-graduate,11,Male,No,0,South,3578
247, ,No, ,74870,43,75+,Some high school or less,3,Male,Yes,0,South,3017
248,No,No,Control,75210,64,75+,College,15,Female,Yes,2,South,2522
249, ,No, ,76190,26,<25,High school,7,Male,No,0,South,2223
250,No,Yes,Control,10150,71,50-74,Post-graduate,8,Male,No,1,East,9575
251, ,No, ,74240,44,50-74,Some high school or less,12,Male,No,0,South,3515
252, ,No, ,12300,42,25-49,College,9,Male,Yes,3,East,7572
253, ,No, ,61210,26,75+,College,9,Male,No,0,North,7137
254, ,No, ,60170,36,50-74,Some college,13,Male,No,0,North,6882
255, ,No, ,11660,16,<25,Post-graduate,6,Female,No,0,East,9013
256,No,No,Test,10520,47,25-49,High school,7,Female,Yes,0,East,8581
257, ,No, ,75470,29,50-74,College,10,Male,Yes,0,South,3171
258, ,No, ,10260,56,50-74,Some college,7,Female,Yes,3,East,8485
259, ,No, ,92830,39,75+,High school,12,Male,No,0,West,4261
260, ,Yes, ,61030,39,<25,Some high school or less,9,Male,Yes,1,North,6464
261, ,No, ,74430,41,75+,Some college,10,Male,No,0,South,3571
262, ,No, ,75320,39,<25,College,17,Female,No,0,South,1996
263, ,No, ,93240,40,<25,Some high school or less,11,Male,No,0,West,4294
264,No,No,Test,11410,62,75+,College,14,Female,Yes,2,East,8913
265, ,No, ,60180,58,75+,Some college,8,Male,Yes,3,North,6266
266, ,Yes, ,76050,39,25-49,Some college,8,Male,Yes,0,South,3327
267, ,No, ,96810,46,25-49,College,6,Female,Yes,0,West,1508
268, ,No, ,11730,55,75+,Some college,8,Male,Yes,3,East,7906
269, ,No, ,76190,46,50-74,Some college,8,Female,Yes,2,South,2769
270, ,Yes, ,75500,17,<25,Post-graduate,12,Male,No,0,South,3884
271, ,No, ,74460,43,50-74,Some high school or less,8,Female,Yes,2,South,2335
272, ,No, ,61990,46,25-49,Some college,14,Male,Yes,2,North,6689
273,No,No,Control,74800,42,25-49,Some college,13,Male,Yes,2,South,2996
274, ,No, ,75000,19,<25,Some college,12,Female,No,0,South,1932
275, ,No, ,75570,52,75+,Some college,12,Male,Yes,0,South,3199
276,No,No,Control,94470,43,75+,High school,7,Female,Yes,2,West,940
277, ,No, ,75090,70,75+,Post-graduate,11,Female,Yes,2,South,2490
278, ,No, ,59820,28,25-49,Post-graduate,11,Female,No,1,North,4946
279, ,No, ,75240,41,25-49,Some high school or less,10,Female,Yes,0,South,2530
280, ,No, ,60170,61,75+,Post-graduate,12,Female,Yes,0,North,5678
281, ,No, ,93690,42,50-74,College,9,Male,Yes,3,West,4764
282, ,No, ,74790,21,75+,Some college,9,Male,No,0,South,3672
283, ,No, ,62140,39,75+,High school,15,Male,No,0,North,7378
284, ,No, ,09090,55,50-74,College,15,Male,Yes,3,East,7598
285, ,No, ,76030,24,75+,College,12,Female,No,1,South,3431
286,No,No,Test,74830,34,50-74,Some high school or less,10,Male,No,0,South,3688
287, ,No, ,96960,43,50-74,College,7,Male,No,3,West,4691
288, ,No, ,60440,73,50-74,Post-graduate,5,Female,Yes,2,North,5743
289, ,No, ,93450,40,25-49,High school,4,Male,Yes,1,West,115
290, ,No, ,74140,49,50-74,Some college,3,Female,Yes,0,South,2265
291, ,No, ,09980,49,50-74,Some high school or less,8,Female,Yes,2,East,8371
292, ,No, ,75380,18,<25,College,8,Female,No,0,South,1682
293, ,No, ,61460,27,50-74,Some high school or less,8,Female,No,0,North,5346
294, ,No, ,12120,45,75+,High school,10,Male,No,0,East,9935
295, ,No, ,62130,35,50-74,College,4,Female,No,0,North,5501
296, ,No, ,76190,36,25-49,College,15,Female,No,1,South,2209
297, ,No, ,12000,36,50-74,Some college,10,Male,No,0,East,9905
298, ,No, ,60130,25,25-49,Some high school or less,6,Male,No,0,North,6868
299, ,No, ,93590,37,<25,High school,10,Male,Yes,2,West,4120
300, ,No, ,75930,33,25-49,Some college,7,Male,Yes,1,South,3295
301, ,No, ,09800,62,75+,Post-graduate,11,Female,Yes,2,East,8312
302, ,No, ,94630,52,75+,College,12,Male,Yes,3,West,209
303, ,Yes, ,94210,58,75+,College,8,Female,Yes,2,West,873
304, ,No, ,60200,44,50-74,Some college,8,Female,Yes,2,North,5687
305, ,No, ,94810,61,75+,Post-graduate,3,Male,Yes,3,West,4819
306, ,No, ,95890,23,<25,College,8,Female,No,0,West,1284
307,No,No,Control,75210,30,50-74,High school,11,Male,No,0,South,3798
308,No,No,Test,76090,53,50-74,Post-graduate,10,Male,Yes,2,South,3334
309, ,No, ,95110,68,75+,College,12,Male,Yes,2,West,4441
310, ,No, ,94190,41,75+,Some high school or less,9,Male,Yes,0,West,4792
311, ,No, ,09430,51,50-74,High school,12,Male,Yes,3,East,9455
312, ,Yes, ,61530,39,75+,College,6,Male,No,0,North,7219
313,Yes,No,Control,09920,49,50-74,Post-graduate,13,Female,No,2,East,8352
314,No,No,Test,60390,38,75+,High school,5,Male,No,0,North,6941
315,No,No,Test,12310,34,<25,Some high school or less,7,Male,Yes,1,East,7575
316, ,No, ,95300,48,50-74,Some high school or less,7,Female,Yes,0,West,1143
317, ,No, ,92880,47,50-74,Some high school or less,10,Male,No,2,West,4266
318, ,No, ,97390,53,50-74,High school,6,Female,No,3,West,1645
319,No,No,Control,75760,21,50-74,High school,10,Male,No,0,South,3950
320, ,No, ,12150,17,<25,High school,8,Male,No,0,East,9357
321, ,No, ,59930,46,<25,Some high school or less,10,Female,No,0,North,4978
322, ,No, ,94020,35,<25,Post-graduate,11,Male,No,0,West,4133
323,No,No,Control,61020,53,<25,High school,16,Female,No,0,North,5245
324, ,No, ,09360,31,50-74,High school,15,Female,No,2,East,9245
325, ,No, ,61400,60,75+,Post-graduate,11,Male,Yes,2,North,6551
326, ,No, ,74080,25,50-74,High school,10,Male,No,0,South,3460
327, ,No, ,76200,53,75+,Some high school or less,12,Male,Yes,2,South,3374
328,No,No,Control,94520,41,75+,Some high school or less,9,Male,No,0,West,4144
329,No,No,Test,95510,37,25-49,Some high school or less,11,Female,Yes,1,West,1200
330, ,No, ,93960,23,75+,College,5,Male,No,0,West,4343
331, ,No, ,97080,50,75+,Some high school or less,6,Female,Yes,0,West,1573
332,No,No,Test,97280,51,75+,Some college,7,Female,Yes,0,West,1619
333, ,No, ,60650,41,75+,College,11,Female,No,3,North,6768
334, ,No, ,97080,32,<25,College,8,Male,No,0,West,4603
335, ,No, ,74920,48,75+,Some college,6,Female,No,1,South,1914
336, ,No, ,11910,36,<25,College,8,Male,No,0,East,7917
337,No,No,Test,94250,43,50-74,Post-graduate,7,Male,Yes,3,West,180
338, ,No, ,75250,37,<25,College,9,Male,Yes,0,South,3118
339,No,No,Control,60720,50,25-49,Some college,12,Male,Yes,2,North,6387
340, ,No, ,10700,52,75+,Post-graduate,12,Female,Yes,2,East,8637
341,No,No,Control,75410,21,<25,College,10,Female,No,0,South,2018
342, ,No, ,11100,41,25-49,Some high school or less,7,Male,No,1,East,9275
343, ,No, ,61920,53,75+,Post-graduate,7,Female,Yes,0,North,6103
344, ,No, ,96710,46,75+,College,6,Male,Yes,2,West,4888
345, ,No, ,09730,57,50-74,Post-graduate,12,Female,Yes,3,East,8291
346, ,No, ,74980,46,75+,Some high school or less,13,Female,Yes,2,South,2460
347, ,No, ,11550,48,25-49,Some high school or less,11,Female,No,0,East,8968
348,No,No,Test,11040,44,75+,Some college,11,Female,Yes,2,East,8755
349, ,No, ,74640,53,75+,Some high school or less,11,Male,Yes,2,South,2955
350, ,No, ,93200,23,<25,High school,13,Female,No,0,West,643
351,No,No,Control,60920,63,75+,Post-graduate,11,Female,Yes,2,North,5849
352, ,No, ,61560,59,50-74,Some high school or less,10,Female,No,2,North,5371
353, ,No, ,74170,25,25-49,Some high school or less,10,Male,No,0,South,3495
354, ,No, ,93750,58,75+,High school,6,Female,Yes,2,West,770
355, ,No, ,94640,53,50-74,Some high school or less,13,Female,No,0,West,977
356, ,No, ,11560,60,75+,High school,9,Female,Yes,0,East,8975
357,No,No,Control,93590,40,<25,Some college,7,Female,No,0,West,739
358, ,No, ,11190,27,75+,High school,8,Female,No,1,East,8815
359, ,No, ,61620,16,<25,College,3,Male,No,0,North,7242
360, ,No, ,76200,62,75+,Post-graduate,12,Female,Yes,2,South,2779
361, ,No, ,60710,52,75+,Post-graduate,12,Male,Yes,2,North,6381
362, ,No, ,09090,52,75+,College,13,Male,No,0,East,9386
363,No,No,Control,95280,58,75+,Some college,8,Male,Yes,0,West,4835
364,No,No,Control,59910,42,<25,Some college,9,Female,No,0,North,4972
365, ,No, ,12180,61,75+,Post-graduate,8,Female,Yes,2,East,9186
366, ,No, ,61410,47,75+,High school,11,Female,No,3,North,5336
367, ,No, ,76200,37,50-74,College,8,Female,Yes,1,South,2774
368, ,No, ,96050,18,25-49,Some high school or less,5,Male,No,0,West,4524
369, ,No, ,74380,56,75+,High school,5,Female,Yes,2,South,2312
370,No,No,Control,61320,58,<25,High school,8,Female,No,0,North,5309
371,No,No,Test,61680,54,25-49,High school,11,Female,No,0,North,5394
372, ,Yes, ,09010,43,50-74,Some high school or less,10,Female,Yes,2,East,8033
373, ,No, ,61400,22,75+,Some college,11,Male,No,0,North,7184
374,No,No,Control,75380,49,75+,Post-graduate,9,Male,Yes,0,South,3151
375, ,No, ,11910,34,<25,High school,5,Female,No,0,East,9090
376, ,No, ,93210,41,25-49,Some high school or less,11,Male,Yes,2,West,4106
377, ,No, ,97310,55,25-49,College,12,Female,Yes,2,West,1625
378, ,No, ,11120,45,<25,High school,6,Male,No,0,East,9761
379,No,No,Control,74970,31,50-74,High school,5,Female,Yes,0,South,2457
380, ,No, ,11770,23,<25,College,8,Female,No,0,East,9329
381, ,No, ,96790,34,<25,Some high school or less,3,Male,No,0,West,4688
382, ,No, ,94860,59,75+,High school,8,Male,Yes,2,West,233
383, ,No, ,09670,44,75+,College,6,Female,Yes,3,East,8276
