,course_code,course_name,course_description
12,ACC 399,The Co-Operative Experience,"This course provides the student with a semester long supervised employment with participating companies. Students are evaluated periodically by senior staff members of the participating firms and required to complete a work journal, self-assessment and reflection paper. Eligible students include junior and senior accounting majors with a minimum GPA of 3.0 in accounting coursework. Co-op credits can be applied toward business or free elective requirements. Grading is on a pass/fail basis."
13,ACC 400,Principles of Auditing,"This course provides an introduction to financial statement audits performed by certified public accountants. Topics include corporate governance, the audit environment, professional standards, audit methodology, and audit report preparation. The course also provides an overview of other types of assurance and non-assurance services provided by CPA firms."
14,ACC 400P,Principles of Auditing,"This course provides an introduction to financial statement audits performed by certified public accountants. Topics include corporate governance, the audit environment, professional standards, audit methodology, and audit report preparation. The course also provides an overview of other types of assurance and non-assurance services provided by CPA firms."
15,ACC 405,Accounting Problems & Practice,"This course provides additional coverage of financial reporting issues and procedures. Topics include business combinations, consolidated financial statements, foreign currency translation, the effects of diversity across countries, disclosure and SEC reporting issues. Governmental and not-for-profit accounting standards are also covered."
16,ACC 405P,Accounting Problems & Practice - PM,"This course provides additional coverage of financial reporting issues and procedures. Topics include business combinations, consolidated financial statements, foreign currency translation, the effects of diversity across countries, disclosure and SEC reporting issues. Governmental and not-for-profit accounting standards are also covered."
17,ACC 406,Integrative Professional Capstone,"This course provides an integrative experience that applies financial statement and data analysis tools to a variety of accounting settings.  Topics include issues of ethics and professionalism and linkages between accounting methods and company policy, equity valuation, bond ratings and other decision areas."
18,ACC 410,Fundamentals of Federal Taxation,"This course provides fundamental federal tax concepts applicable to individuals, partnerships, corporations, estates, and gifts. Topics are considered from a tax compliance and planning perspective. Preparation of individual and corporate tax returns is also included."
19,ACC 410P,Fund of Federal Taxation - PM,"This course provides fundamental federal tax concepts applicable to individuals, partnerships, corporations, estates, and gifts. Topics are considered from a tax compliance and planning perspective. Preparation of individual and corporate tax returns is also included."
20,ACC 450,Business Forensic Application,"This course provides an opportunity to perform complex investigative cases and analyses, thus demonstrating mastery of the knowledge and skills required to be effective forensic professionals. The course covers how to manage and present digital and technical evidence gathered for forensic litigation cases, including the ability to be an expert witness in court."
21,ACC 490,Independent Research and Study,Topic to be approved by professor and department chairperson. Available to juniors and seniors.
22,ACC 491,Accounting Internship,"This course provides the student with approximately two months of supervised employment with participating companies. Students are evaluated periodically by senior staff members of the participating firms and are required to complete a term paper. Eligible students include junior and senior accounting majors with a minimum GPA of 3.0 in accounting coursework. Upon completion of course, a letter grade will be awarded."
23,ADV 315,Media Planning and Strategy,"This course focuses on the essential principles, measurements, procedures and problems encountered in determining appropriate media in which to place specific kinds of advertising messages designed to reach closely defined target audiences. The advantages and disadvantages of all media will be discussed from an advertising perspective. Specific audience and cost calculations and analyses will be used to develop comprehensive media plans."
24,ADV 490,Independent Research and Study,"Topic to be approved by the professor and chairperson. Available for juniors and seniors. No more than 12 credits allowed toward graduation, which may be counted as a business or free elective."
25,ADV 491,Internship-Based Indep Study,"Provides the student an opportunity to supplement and apply classroom work in supervised employment with participating marketing and advertising firms. Requirements include a journal with a log of daily activities, and a project or term paper presented to and evaluated by the internship sponsor. Evaluation will also include a report by the company on the intern’s performance. Credits may be used to satisfy business or free elective requirements."
26,AMS 200,Introduction to American Studies,"An introduction to various historical definitions of the American experience and national identity and the methods of research used by American Studies scholars. Students will explore multiple routes into American Studies (sociocultural, literary, anthropological, and historical) and practice methods that may include historical/archival research, public policy analysis, ethnography, literary analysis, cultural studies/media analysis, and other interdisciplinary approaches."
27,AMS 210,American Memoir and Autobiography,"Studies American memoir and autobiography through analysis of literary and cultural tropes such as the self-made American, the immigrant who achieves the American Dream, bootstraps and rags-to-riches stories, etc. Texts represent the experiences of Americans of different genders, classes, races, ethnicities, and religions."
28,AMS 211,Sports in American Life,"Literary, sociological, and psychological views of sports in 20th-century American life are examined, focusing on sports as a symbol and reflection of our ideals and tensions."
29,AMS 212,Multicultural America,"Focusing primarily on the new century, this course explores the experiences of the remarkably diverse range of ethnic groups who have come to the U.S. in recent years, including Hispanics, Europeans, Asians and Africans. How these groups have impacted the communities where they have settled, how they have interacted with other ethnic groups, and how they have assimilated (or not) and prospered (or not) are among the issues examined and discussed."
30,AMS 213,"American Myth in Literature, Landscape, and Music","A study of the New World and related myths from an interdisciplinary perspective. Students will read essays, fiction, and poetry by Poe, Melville, Emerson, Whitman, James, and others. Paintings and musical works embodying New World concepts will be examined in connection with the above authors."
31,AMS 214,Special Topics in American Studies,"Studies in specialized areas of American culture, including travel courses to New Orleans and Spoleto USA. Topics change each semester and are listed in the course roster."
32,AMS 215,Alfred Hitchcock in America,Explores the influence of American culture on the films of Alfred Hitchcock following his immigration to the United States. Students will study one of the cinema’s greatest auteurs through the lens of American culture and its impact on Hitchcock’s European sensibility. Also explores the reverse dynamic: how Hitchcock transformed American cinema.
33,AMS 225,American Folklore,"An introduction to folk language, custom, and material culture in the United States. Proverbs; myths, legends, and tales; superstitions; music; arts and crafts are treated from both aesthetic and social perspectives. Students will collect and examine folklore within their own cultural contexts."
34,AMS 226,"The New South in Literature, Music and Film","An exploration of Southern culture since World War II and how it has influenced American society as a whole. In literature, music, and film, the Sun Belt has been a significant, innovative region. From the spread of New Orleans jazz through the plays of Tennessee Williams to the fiction of Flannery O’Connor, Southern art has helped shape the larger American culture. This course examines that influence from an interdisciplinary perspective.
This course offers a cross-listed section to those who wish to travel to a great southern city."
35,AMS 227,Martin Luther King Jr's America,"This course studies Martin Luther King Jr’s writings, speeches, and sermons, the context of the America he saw in his lifetime, and the implications of his message for today’s America and its place in the world. King envisioned a wholly democratic America free of racism, poverty, and military aggression. Students will critically assess the political, economic, and religious thought at the root of his call for change."
36,AMS 228,Studies in American Jewish Culture,"Focuses on important fiction, criticism, social/philosophical commentary, history, and films by 20th-century Jewish American intellectuals, including Michael Gold, Anzia Yezierska, Saul Bellow, Bernard Malamud, Philip Roth, Cynthia Ozick, Grace Paley, Rebecca Goldstein, Art Spiegelman, Arthur Hertzberg, Leslie Fiedler, Chaim Potok, Woody Allen, and David Mamet."
37,AMS 229,American Popular Culture,"An exploration of American popular culture and its profound impact on both the United States and the rest of the world. Pop-culture theorists regard American culture as a dominant force; this course examines the development of this trend from historical, political, and artistic perspectives."
38,AMS 250,America and the Future,"Examines the projections of the American future in terms of the past and present. Emphasizes American studies methodologies, drawing upon philosophical, literary, environmental, and other varieties of futuristic speculations."
39,AMS 304,Technology and Science in America,"An overview of the development and impact of technology and science on American institutions. Topics include innovation, economic growth, science and its relation to technology, social theory, and the politics of science."
40,AMS 305,Religion in America,Introduces the changing patterns of American development from the sectarianism of colonial America to the pluralism and growing secularism of the 20th-century American religious scene.
41,AMS 306,Poetry and Poetics in American Culture,"Examines American poetry and poetics in relation to American culture and history of the 18th through the 21st centuries. Students read poems and statements about poetry, view artworks, hear recordings, and examine hypertext versions of poems."
42,AMS 307,"Depictions of Racism in American Literature, Music, and Film","Depictions of Racism in American Literature, Music, and Film will study representations of racism in the American arts in historical context. Students will examine artistic representations of practices that disadvantage and disfranchise non-white Americans, with an eye toward understanding the ways America’s history of racist practices has prompted responses from American writers, musicians, and filmmakers."
43,AMS 308,Kurt Vonnegut’s America,"Kurt Vonnegut’s America will introduce students to Kurt Vonnegut’s novels, short stories, essays, and plays, as well as critical approaches to his work. Students will examine Vonnegut’s career and life as they speak to larger themes in American Studies and examine several aspects of this author’s unique view of America, which challenged the easy embracing of complicated values like freedom and equality as symbols that America has seen disconnected from their meanings and origins."
44,AMS 309,Hip Hop and American Culture,"Explore hip-hop culture via the music, dance, art, and poetry created in some of the poorest and most segregated neighborhoods in America. Students will examine the social conditions that fostered the creation of hip-hop and delve into a range of issues confronted in hip-hop music and culture."
45,AMS 310,American Identity in the Arts,"Studies the place of the arts and the position of the creative artist in contemporary American society, with particular emphasis on the problems of the artist’s search for an American identity in the complex cultural milieu."
46,AMS 311,Radicalism in 20th-Century America,"Discusses a number of radical intellectual, literary, and political movements, organizations, and parties from the points of view of their members and leaders, and their historical genesis and development within the context of 20th-century American political life."
47,AMS 312,American Photography,"An intensive analysis of the documentary, aesthetic, and expressive significance of photography in American culture from 1850 to the present. Particular emphasis on the interrelationships between photography and developments in American history, painting, literature, and the social sciences. This course does not deal with the technical aspects of still photography."
48,AMS 313,Black American Thought,"This course introduces students to the critical and constructive nature of Black social and political thought through a survey of Black American leaders, with a focus on ideology, society and politics. Through readings and discussions, students will assess the complexities of various Black leaders and their ideological positions, often comparing and contrasting the attitudes, values and beliefs of Black thought leaders. Through the study of Black American leaders, students will gain an appreciation for the impact of Black history on the past and present of American public life. As we focus our attention on Black leaders of the 19th and 20th century, we will be mindful of the complex ways in which these leaders have agreed and disagreed on themes such as, but not limited to: achievement of Black liberation, direct action versus armed protests, the role of historical memory in modern political life, the economic and political significance of Black culture, and the tensions between Black segregation versus integration, as well as the defining of such core political concepts as citizenship, freedom, equality, progress, power, and justice."
49,AMS 338,Social Impact of Rock and Roll,"Explores rock and roll music as a communication medium of American popular culture. The focus is on both how rock and roll music has influenced, and is influenced by, society. It addresses the origins, development and impact of rock music in relation to some of the critical cultural dynamics that provided not only its context, but also much of its content."
50,AMS 350,American Gothic,"An introduction to American Gothic literature as a genre, including its historical development, governing conventions, politics, and aesthetics, as well as its emotional and cultural impact."
51,AMS 400,Seminar in American Studies I,A study of arts and letters in America from the Puritan period through the Civil War. Should be taken junior year if possible.
52,AMS 401,Seminar in American Studies II,A study of arts and letters in America from Reconstruction to the present. Should be taken junior year if possible.
53,AMS 490,Independent Study: Research and Creative Expression,"Independent Research and Study allows juniors and seniors in good academic standing to investigate topics of interest under faculty supervision.  Projects must be approved by the faculty member, department chairperson, and academic dean no later than the third week of the semester in which the project is to be conducted.  Only one project can be scheduled in a semester, and for no more than four semester hours; up to 12 semester hours of independent research and study may be counted toward graduation.  Note that individual departments may have additional restrictions."
54,AMS 491,Internship in American Studies,"A supervised work experience in an approved organization to gain knowledge of various manifestations of American society in workplace settings. Placements can be made in business, government, and non-profit organizations and local grassroots movements that draw on the knowledge acquired in the American studies curriculum."
55,AAD 121,Arts Management Foundations,"A survey course that investigates foundations of institutional vision & mission-building, strategic planning, governance, operations, marketing and fund development for institutions which create, produce and present arts & entertainment. Students conceptualize an arts and/or entertainment business and develop summary business plan and pitch. Though the nonprofit lens is prominent for purposes of understanding the role of fundraising, commonalities in governance, management, branding marketing, community engagement and other aspects relative to both nonprofit and for-profit arts sectors are explored."
56,AAD 202,Commun/Marketing in Arts,"Intended for arts or business majors interested in arts management, this course immerses students in the fundamentals of promoting the arts, from grassroots public relations to basic marketing concepts and applications. Students will have opportunities to interact with professionals in the field and explore career options."
57,AAD 203,Arts Fundraising,"Provides students with an understanding of the ethics, strategies and practices of fundraising for non-profit arts agencies. Students gain an understanding of the role of the development office in a non-profit arts agency, prepare for careers in arts management by increasing the skills necessary to function, and learn to plan a multi-faceted fundraising campaign effectively."
58,AAD 204,Arts Outreach & Education,"This course examines essential educational components of arts institutions, how they evolve and are produced, and will assess the importance of educational programming to arts organizations and the communities they serve."
59,AAD 225,Arts Administration Practicum,"Under faculty advisement and project site supervision, students complete a total of three, 1-credit (33-hour) ""mini-internships"" or practicum projects in service to the field, sequentially in the Sophomore Fall, Sophomore Spring, and Junior Fall semesters, simultaneous to Arts Administration Lab. The first practicum project is in connection with Box Office and Patron Service to Rider Performing Arts. The second is in connection with a project of the student's choosing in service to the arts on campus or beyond. The third is in connection with a project of the student's choosing in service to the field in an outside, professional setting."
60,AAD 295,Art & Business of Entertainment,"Students explore traditional and emerging models in entertainment and the impacts which social media, online service and other emerging platforms continue to have on the evolution of the industry. Students will identify and define pivotal functions and functionaries across all sectors who apply innovation, effective leadership and essential skills to produce and distribute various forms of entertainment to the masses. Through the application of a ""wheel of fortune"" research & analysis approach to each commercial entertainment sector, students will come to understand the multiple aspects of each (film, television, media, commercial theatre and entertainment in sports), the people who drive them and the critical functions which they serve."
61,AAD 306,Music Business,"Survey of the music business. Responsibilities of the label and producer, copyrights, royalties, residuals, publishing, contracts and artist development, promotion, distribution, product management, domestic and international licensing, and related technology."
62,AAD 307,Touring and Production Management,"Organizing, marketing and managing tours. Responsibilities of the booking agent, tour manager, and performers. Case studies, relationships, contracts with venues, transportation companies, housing, and unions, budgeting, press kits, and insurance."
63,AAD 308,Legal Aspects of Arts & Entertainment,"A survey of legal issues in the arts and entertainment industries, examining the relationship between arts and the law – from cultural property rights to intellectual property, copyright and beyond."
64,AAD 309,Arts Events & Festivals Mgt,"Students learn to develop, produce, and staff successful arts events while refining planning skills through practice with theoretical and real arts event venues and participating in the production and management of actual events."
65,AAD 310,Acquiring & Managing Talent in Arts & Entertainment Industries,"This course teaches foundations of professional talent management and explores the many ways by which the role of today’s artist manager has evolved and expanded, particularly in an era of “independent” artists seeking managers who can act as CEO’s. The course explores the many facets which an artist manager oversees, from launching an artist’s career to building a successful and enduring business and fan base. Topics of exploration include talent acquisition, the artist/manager partnership, contracts, strategic planning, branding and more relating to managing all key aspects of an artist’s career. Students will gain deep understanding of the dynamic roles which managers and agents play in the entertainment business as the “backbone of our industry” and of the pathways to career success as artist managers & representatives. Aspiring artists will find guidance in self-management and choosing the right partners. Other aspiring entertainment professionals will learn how to effectively engage with artist managers & agents as essential components in the broader ecology of professional arts & entertainment."
66,AAD 312,Deal-Making in Arts & Entertainment,"This course explores all practical aspects of deal-making in commercial entertainment and the art of negotiation as the catalyst for success. Through forensic analysis & discussion of multiple types and structures of short and long-form agreements and the wide variety of provisions to be found therein, students will gain knowledge of key legal, historical, discipline-specific and industry-wide contexts of deal-making. Readings and lectures will focus on the nuts and bolts of negotiation – from essential research processes to finding and exercising bargaining power to knowing when to compromise and when to withdraw. Skills gained will be exercised through role-play, writing and ongoing analysis of peer and professional contracts. Students will gain and exercise deep understanding of agreements across multiple disciplines and the common elements therein including agency, personal management, personal appearance, merchandising, endorsements, creative ownership and union influence will be explored, as well as the unique characteristics which apply to distinct disciplines. For Arts & Entertainment Industries Management majors or minors only except by permission of Dean."
67,AAD 314,"Arts/Entertainment Licensing, Distribution & Commerce","Licensing, distribution and commerce associated with creative output powers nearly every aspect of the arts and entertainment industries as significant brand builders and revenue-generators for intellectual property owners and producers. This course delivers foundational knowledge of the many ways by which music, theater, dance film and other media are licensed for commercial use or otherwise distributed directly to vendors and consumers. Discussion encompasses the various types and purposes of license, key points of negotiation, parties, agreements and business constructs involved in licensing and distribution deals across multiple entertainment sectors, including key elements relating to effective commerce and merchandising of same. Through readings, lectures and case-based analysis students will study the means of directly and indirectly getting works and ancillary content out into the marketplace, as well as the risks and rewards that may result. Through comparative analysis of traditional and contemporary professional agreements, students will come to understand how licensing and distribution contracts, modalities, administration and payments have evolved, and what the future holds for this vital engine of the arts & entertainment industries."
68,AAD 315,Arts & Entertainment Industries Professional Development,"Arts & Entertainment Industries (AEIM) Professional Development is designed to prepare AEIM majors for successful internship and career placement, growth and development. Through this course, AEIM majors will engage in best possible selves vision mission goals and objectives-setting, transferrable skills identification and articulation, resume development, informational and formal interview skills practice and application as well as refine and package their individual portfolios comprised of final projects/portfolios from several prior courses. These and other assets, including personal web-page and social media profile work and editorial bio, will be developed in the creation of a comprehensive professional ""toolkit"" of assets to aid in their pre-professional and professional career pursuits. Over the course of a semester, students will work on professional communication skills including public speaking, writing, and corresponding etiquette, and interviewing techniques for both in-person and virtual meetings. Students will explore their own strengths and weaknesses through industry-leading personality and professional skills and traits analyses and how to apply them to maximal effect. Industry guests from all arts disciplines will afford ""real-world"" perspectives and build networking capacity. Restricted to AEIM Majors, Junior standing or above."
69,AAD 316,Data Analytics in Commercial Entertainment,"Data analytics is a driving force of today’s entertainment industry as companies face new business models for creating, marketing and distributing creative output to consumers who access content anywhere, at any time and on any device. It is transforming businesses, social interactions and how entertainment is marketed and consumed. With the explosion of social media, entertainment streaming platforms and online distribution, the amount of data available has reached unprecedented levels. Hiring skilled people who know how to collect and interpret big data is crucial. This course explores the many ways by which data is used to develop detailed understanding of consumer preferences and behaviors, inform production, advertising and distribution strategies, forecast performance and help increase efficiency. Students will learn how to retrieve, analyze and apply data for successful outcomes in today’s entertainment industry, helping companies seize upon ever-expanding opportunities to utilize data to identify and understand new audiences, increase content exposure and identify new products and services."
70,AAD 318,Music Publishing,"This course teaches foundational concepts, context, tools, and function of music publishing as an essential force in today’s ever-evolving music industry. Students examine the many roles which the music publisher plays in the acquisition, market development and administration of copyrighted musical works. Through case-based analysis of the inner workings of major, independent and self-owned music publishing companies, students will gain understanding of the depth, breadth and scope of this fascinating aspect of the business. Discussion will encompass the fundamentals of copyright, types of publishing deals, income streams, registrations and collection, foreign sub-publishing deals, and the rights and royalties applicable to copyrighted musical work. Students will also learn how music is licensed for use in film, television, advertising, theatrical performance, game and other forms of interactive media, as well as an overview of the administrative aspects of these uses and the ways by which legislative action impacts opportunities and earnings of copyright holders. Lastly, students will explore the creative and administrative responsibilities involved in establishing their own music publishing company."
71,AAD 322,Policy Perspectives on Arts & Entertainment,"This course delivers foundational knowledge of the historical evolution, current state, and anticipated future of legislative actions, general policies and protocols impacting the many diverse components of arts and entertainment.  Students will gain understanding of the several stakeholders, advocates and allies involved in the process of shaping policy and effectuating legislation, from lobbyists and industry leaders to politicians and the constituents whom they represent. Discussion will also encompass the expanding role and reach of the internet and streaming services which have often driven, and too often outpaced legislative agendas, putting the rights and benefits of intellectual property owners at risk through inequitable compensation practices, usurping of rights and expanding of global piracy.  Case-based analysis will afford insight into current and anticipated lobbying agendas, legislative action (or inaction) on Capitol Hill, resolutions in process and recent legislation in action. Students will create an advocacy campaign around a pertinent issue facing arts & entertainment today, and strategize an effective lobbying process in order to gain direct insight and inspiration to become lifelong agents for change."
72,AAD 350,Arts Venue and Patron Services Management,"Integrating workplace with organizational mission: administration, staff, general public, artists. Internal control, artist/employee contracts, collective bargaining, health and safety issues, facilities operation, inventory, cultivation and maintenance of clientele and audience."
73,AAD 351,Crossing Cultural Borders,"Course includes two weeks at an international arts organization, meeting and shadowing administrative staff, studying management styles, finance, and operational procedures, and attending all possible events during the visit. Travel fee required. May be repeated."
74,AAD 375,Special Topics: Arts Admin,Intensive study or activity in a specific area of Arts Administration. The content will vary with social/cultural events and/or interests and qualifications of the professor. May be repeated for credit. Fee may be required.
75,AAD 401,New York Arts Network,"Students learns how arts institutions of varying scope, size and function and how administrators keep them running by spending focused, intensive time with them on their own turf."
76,AAD 490,Independent Research and Study,"This self-motivated, self-directed course culminates in a complete project. The student and the faculty advisor will mutually develop the scope of each project. It will be designed to demonstrate the student’s entrepreneurial skills and provide an opportunity for practical application of the curriculum."
77,AAD 491,Arts Management Internship,"Arts Administration majors are required to spend 13 weeks of on-site participation in a broad range of daily operations at an internship site. In addition, there are group meetings with all students participating in internships and site-analysis assignments given under the direction of Arts and Sciences faculty. Students may enroll for a maximum of 6 credits of internships."
78,AR 111,Survey of Art History I,"A survey of Western art - architecture, sculpture, painting - from prehistoric times, is presented against the background of chronological and intellectual history."
79,AR 112,Survey of Art History II,Crucial artistic tendencies in Western art of the 19th and 20th centuries are introduced and discussed against their historical and intellectual setting. A brief background of art history from previous centuries is presented in order to appreciate these developments.
80,AR 216,Acting I,"This course provides an introduction to basic techniques of realistic acting using exercises, improvisation and scene study. The emphasis is on honesty and commitment to action in order to be able to create real life in an imaginary world."
81,AR 217,Improvisation & Movement,"Using theater games, students explore themselves as individuals and members of a group. The course uses scenes, skits, dances and games to help students overcome their fears and insecurities, enabling them to develop their creativity, spontaneity, honesty, concentration, and commitment to action. The class also explores body movement as a means of heightening dramatic expression."
82,AS 490,Independent Research and Study,"Students may pursue a special topic for which they have prepared through prior course work.  Only one project may be scheduled in a semester.  The project may involve 1-4 credit hours. Students may count up to a maximum of 18 independent study hours toward graduation. Approval of the faculty sponsor, department chair, and dean required prior to the first day of the semester in which the project is to be completed.  Minimum cumulative GPA of 3.0 required."
83,AS 491,Arts & Science Internship,"This course requires 95 hours for each three credits for which the student enrolls. The student is required to spend 13 weeks of on-site participation in a broad range of daily operations at an internship site. In addition, there are group meetings with all students participating in internships and site-analysis assignments given under the direction of Arts and Sciences faculty. Students may enroll for a maximum of 12 credits of internships."
84,BHP 100,Honors Seminar: Great Ideas I,"Traces the impact of great ideas on society, politics, economics, science, and the arts. This writing-intensive course substitutes for CMP 120 Expository Writing. Freshmen only."
85,BHP 150,Honors Seminar: Great Ideas II,"A continuation of Great Ideas I, the introductory Freshman Baccalaureate Honors Seminar. Great ideas are studied in their cultural and historical contexts and from an interdisciplinary perspective. Students are guided in writing an effective research paper. This writing-intensive course substitutes for CMP 125 Research Writing. Freshmen only."
86,BHP 201,Age of Shakespeare: A Study in Cultural History,"Studies the cultural history of Elizabethan and Jacobean England and of its visual and literary arts. More specifically, the course will investigate the peculiarly English synthesis of the old and new, Medieval and Renaissance, Continental and English in the arts and ideas of the Age of Shakespeare."
87,BHP 203,Nineteen Eighty-Four in Context: George Orwell’s Enduring Legacy,"“Big Brother is watching you.” “Some animals are more equal than others.” Contemporary discussions of politics, journalism, and social issues regularly reflect the influence of George Orwell’s classic novels, Animal Farm and Nineteen Eighty-Four. The term “Orwellian” routinely appears in modern speech and writings.  Published in the aftermath of World War II, Orwell’s dystopian projections, along with other provocative writing by this courageous thinker and writer, reflect the turbulent world experienced by Orwell from the waning of British colonialism to the rise of the Cold War. To contextualize the composition and importance of his most influential works, this course will explore a wide range of Orwell’s writings; the historical and cultural contexts that shaped him; and the use of his work and ideas by his contemporaries and by subsequent artists, critics, and social analysts."
88,BHP 205,"Under the Influence: Drugs, Deviance, and Culture","This course explores the powerful influence the varied substances we call drugs have had on our institutions and on our culture. Drawing from the social sciences and the study of literature and media, we ask how drug policies and practices within institutions and social systems intersect with representations of drugs and drug use in literature and other forms of art and media."
89,BHP 206,Honors Seminar:Politics/Literacy,"Students will analyze literary texts in the context of selected political periods and ideologies, going beyond literary content to understand how language, genre, and structure mirror, otherwise represent, or criticize the political order within which the author writes."
90,BHP 208,"The Fantastic in Literature, Art, and Media","This interdisciplinary course explores the varieties of the fantastic in literature, film, painting, and music, featuring alternate realities, monsters, shapeshifters, fairies, vampires, witches, doppelgangers, and mysterious animals. Authors include Poe, Le Fanu, Hoffman, Daphne du Maurier, Stevenson, Ambrose Bierce, T. H. White, Shirley Jackson, Donald Barthelme, Aimee Bender, and Margaret Atwood. Filmmakers include Carl Theodor Dryer, Jean Cocteau, Alfred Hitchcock, David Lynch, Jacques Tourneur, and Luis Buñuel. Opera, piano, and orchestral selections are by Weber, Mussorgsky, Berlioz, Crumb, Debussy, and Arnold Schönberg. We will examine aesthetic and cultural aspects, but also dive into psychological issues involving projection, wish-fulfillment, identity, and gender, supplemented by Freud’s “The Uncanny.”."
91,BHP 212,Children and the Media,"This course examines how children and adolescents use and understand media and analyzes the role of media in their social and cognitive development. After studying the socializing presence of the media, students will analyze how exposure to television programs, movies, magazines and the Internet shapes children’s socio-emotional development and their understanding of cultural norms. This course will also explore the effects that media use has on children’s health, aggressiveness, and academic performance.This course counts towards the fulfillment of the Disciplinary Perspectives element of the CLAS general education curriculum."
92,BHP 213,Honors Seminar: Text and Context,"Studies the major themes of a period of cultural change as they are expressed in important social, scientific, literary, and artistic works. Students will immerse themselves in a single major literary work and will interpret it in light of a number of coordinate texts and works from the social sciences, from contemporary comment, and from the arts."
93,BHP 217,Music and Literature,"Developing music literacy can help us become better readers, and, on the other hand, literary methodologies can help us become better listeners. In this class we will study music and literary terminology in order to recognize and analyze patterns and forms in both sonic and linguistic artworks. We will investigate these works in their social and political context in order to gain an understanding of the art informed by interdisciplinary practice."
94,BHP 222,Honors Seminar: Existentialism in Literature,"Introduces students to Existentialism as a 20th-century movement with roots going back to the 19th century and as a philosophy that has special relevance and importance for understanding today’s world. Reading and discussion are based on topics of special concern to Existentialist philosophers: lying and the nature of reality, faith and reason, revaluation of values, and the meaninglessness of life. Readings will comprise a variety of fiction and non-fiction genres. Authors may include Dostoevsky, Unamuno, Camus, Sartre, Kierkegaard, Nietzsche, Brecht, Kafka, Pirandello, Weil, and Beckett."
95,BHP 227,"Race, Gender, and Sexuality in the Age of Empire","This course examines the history and literature of British and American imperialism from 1890 to the present, focusing on the intersections of race, gender, class, and sexuality. The course will cover themes of national identity, representations of colonized peoples, and imperialism as a cultural project. The history of imperialism as understood through literary and cultural analyses will focus on the functioning of gender, sexuality, and race in the ideologies and strategies of imperialism and anti-imperialism and in the psychological impact of colonial rule. Overall, we will consider how such analyses can inform a (re)defining of the colonial project."
