Duration (in seconds),LocationLatitude,LocationLongitude,AW_1,AW_2,AW_3,AW_4,AW_5,ATT_1,ATT_2,ATT_3,USE_1,USE_2,USE_3,USE_4,USE_5,SE_1,SE_2,SE_3,PENJ_1,PENJ_2,PENJ_3,PENJ_4,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,EE_1,EE_2,EE_3,EE_4,PR_1,PR_2,PR_3,PR_4,SI_1,SI_2,SI_3,SI_4,FC_1,FC_2,FC_3,FC_4,BI_1,BI_2,BI_3,Age,Gender,Education,Field_Teaching,Text_Field,Experience,Open_ended,Q19
426,37.2899,-77.29,4,4,3,4,4,5,5,4,3,3,5,3,4,4,4,5,5,5,5,5,4,4,5,3,5,5,4,3,4,3,3,3,2,2,2,3,3,3,3,2,4,4,5,5,5,3,1,4,3,,5,For the most part but so many people aren't as trusting of it as I am.,1
244,39.9401,-82.8965,5,5,5,5,4,5,5,4,3,5,4,5,4,3,5,2,5,5,5,5,4,5,4,5,5,4,5,5,4,5,5,5,5,1,5,5,4,4,5,5,5,4,5,4,5,1,2,1,5,,2,It helps me and the teachers actually understand what the kids are being taught and what we teach the students is something’s were also learning,1
373,36.3402,-79.6622,2,3,3,5,3,2,3,2,3,4,3,4,4,3,3,2,3,1,2,4,3,1,3,2,4,3,4,5,5,5,1,2,2,2,3,3,3,3,5,5,4,5,5,4,5,1,2,,2,,3,I’m literally using AI to will make the kids were interested in being in class gives him something more to work with more tools and more technology for the new learn it better than the future,3
263,46.0965,-64.8007,4,4,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,4,4,4,4,3,2,2,2,4,4,4,1,2,1,5,,2,Education should evolve with the times. Students now know how to use it so ensuring they are aware of the dangers as well as the uses is important.,4
742,41.2969,-95.9674,5,5,5,5,5,5,5,5,2,1,3,3,2,5,5,5,3,5,5,5,5,3,5,5,5,5,4,3,3,3,5,3,3,4,5,1,3,3,5,2,4,3,2,3,2,1,1,,11,,5,Making it more personal each person should have there own avatar,4
762,37.2555,-80.0531,4,4,4,5,4,3,3,3,3,2,4,3,3,4,3,4,4,3,4,3,3,4,4,3,4,4,3,4,4,4,3,3,3,3,3,4,4,4,3,4,3,4,4,3,4,1,1,1,4,,3,"If done right, it could allow for better collaboration in coding",4
401,40.3172,-74.4304,4,4,4,4,4,3,3,4,2,3,2,3,4,5,5,5,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,2,3,3,3,3,3,4,3,4,4,3,3,3,4,1,2,8,,5,"I TEACH IN AN ONLINE ENVIRONMENT, SO AI TOOLS WOULD ENHANCE.",4
708,50.429,-104.5341,2,1,3,2,3,4,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,,5,It won't ,3
1230,38.5423,-89.9588,4,4,4,3,4,3,4,3,3,3,2,3,2,5,3,4,4,3,4,4,4,3,4,4,3,3,3,4,4,3,4,4,3,4,2,4,3,4,4,3,4,3,4,4,4,1,1,4,6,,5,The possible to generate better pot slide and image ,3
2301,40.793,-74.0247,5,5,5,5,4,5,5,5,3,3,4,3,5,5,5,5,3,5,4,4,3,3,3,3,3,5,5,5,5,1,3,4,4,4,1,1,1,1,5,3,4,5,3,3,3,1,1,1,4,,3,,3
389,43.7489,-79.4422,5,5,4,4,5,1,2,3,2,2,2,2,2,5,5,5,2,2,2,2,2,2,2,2,2,3,3,2,2,1,5,5,5,5,1,2,1,1,4,3,2,2,1,2,2,1,2,4,5,,3,I’m not sure they coul,4
561,51.0406,-114.0764,4,4,4,5,4,2,3,2,3,3,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,2,1,7,,3,They will become more confident and have the ability to succeed in the future.,4
198,46.3978,-63.7825,4,4,2,2,2,3,2,3,2,3,3,3,4,4,3,4,2,3,3,5,2,1,2,4,4,2,4,4,3,3,4,3,3,4,2,4,4,2,4,4,3,2,4,3,3,2,2,2,11,,3,Easily,1
205,43.8189,-71.059,5,5,5,5,5,5,5,5,4,3,3,3,3,4,3,3,5,4,4,4,5,5,5,5,4,4,5,5,5,4,4,5,4,4,3,3,3,3,4,4,4,4,4,4,4,1,2,1,3,,2,students may be more eager to try these things out as its new and exciting,3
212,35.1996,-84.8525,2,3,1,3,3,3,1,3,3,3,1,5,4,1,2,3,2,3,1,4,4,4,3,3,4,2,2,3,4,1,4,3,2,4,3,2,3,4,4,3,1,4,5,3,4,1,1,1,4,,3,I think more hands on learning is ideal for our future.,2
1785,52.1413,-106.6076,4,5,4,5,4,4,5,4,2,3,3,3,2,4,5,4,4,3,3,4,4,3,4,4,3,5,4,3,4,4,4,4,3,5,4,3,3,2,4,3,4,3,4,3,5,1,1,2,2,,2,These days students are interested in technology so using AI is one of the things that attracts them,3
130,39.1094,-84.5718,4,2,3,3,3,2,4,2,4,4,4,4,5,4,4,3,4,4,4,4,5,4,4,4,4,4,4,5,4,3,5,2,4,4,3,4,3,5,4,4,3,4,5,4,2,1,1,1,8,,3,Exceptional service ,2
294,45.5191,-73.462,4,4,4,4,4,4,4,3,3,2,2,3,2,4,4,4,3,3,3,2,3,4,3,3,2,3,3,3,3,4,5,3,4,3,2,3,3,3,4,2,2,3,3,2,2,2,1,2,5,,5,GOOD OR BAD WE ARE NOT YET THERE,2
261,43.2262,-79.8621,4,4,3,4,3,3,3,4,3,3,2,3,3,3,3,3,4,4,3,3,3,4,4,3,4,4,3,3,4,3,3,3,3,3,5,4,4,5,3,3,5,3,4,4,3,1,1,3,7,,3,its the future so i think everyone should learn how to use it and understand it ,3
279,38.9307,-77.1673,4,4,4,5,4,3,3,4,1,1,1,1,1,3,3,3,2,2,2,3,2,3,3,3,4,3,2,2,3,3,5,5,5,5,3,3,4,3,3,2,2,2,2,2,2,3,1,4,5,,5,It may aid in background research,1
402,45.5599,-73.5691,5,5,5,5,5,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,3,5,5,5,5,5,5,5,5,5,5,2,1,2,4,,5,Students always use Generative AI for learning process ,1
340,45.7283,-73.7071,4,4,3,3,4,4,4,4,3,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,3,3,2,3,4,4,3,4,4,4,4,4,4,4,1,2,3,3,,5,More interactive and fun for student,3
204,38.3792,-75.6307,4,5,4,5,4,4,3,5,4,5,4,5,4,4,5,4,4,4,3,5,4,5,4,5,5,4,4,5,4,1,3,2,1,1,5,4,5,4,5,5,5,5,4,5,3,2,1,2,3,,5,It would help them focus on leadership skills in the industry ,1
413,48.7808,-123.7037,4,4,4,4,4,2,4,4,3,3,4,2,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,2,4,4,2,4,3,4,3,3,1,2,1,,5,"Using AI  they can use computers to help put together pieces of history from a great many sources and help formulate a reasonable hypothesis of events , quicker and more efficient than by hand",1
578,43.8018,-79.3581,4,4,3,2,3,3,4,3,2,2,1,2,2,2,2,4,3,4,3,3,4,4,4,3,4,4,3,3,3,3,4,4,3,3,3,3,4,3,2,1,2,2,3,4,4,2,2,3,5,,5,Help generate order in structure of research and search strategies,3
154,32.7368,-96.9068,3,3,3,3,3,2,3,3,1,1,1,1,1,1,3,3,1,1,3,3,1,1,1,3,3,3,1,1,1,1,5,5,5,5,1,1,1,1,1,3,3,3,1,1,3,2,2,1,3,,5,It wont,1
333,32.2871,-90.2306,4,3,2,3,4,2,3,2,2,2,2,1,1,4,4,4,2,2,3,2,3,3,3,3,4,3,4,4,4,4,4,5,3,4,3,3,3,3,4,2,3,4,3,3,3,2,2,3,8,,5,by providing real-time student data on assessments and recommending course of action for remediation,4
262,43.1234,-77.7334,1,1,1,1,1,3,3,3,1,1,1,1,1,4,4,2,3,2,3,2,3,3,3,3,2,3,3,3,3,3,4,4,5,4,3,3,3,3,2,1,2,1,1,1,1,2,1,2,1,,3,I am not very familiar with Generative AI Tools,4
284,42.3465,-85.2185,4,4,4,3,3,4,5,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,5,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,2,3,4,4,4,1,1,1,2,,2,Get students to ask more insightful questions ,3
358,40.7641,-74.1654,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,5,5,4,5,4,4,5,4,4,5,5,4,4,4,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,2,1,2,4,,4,"This tool helps me beyond measure, it helps me throughout the day ",2
587,25.9436,-80.2264,3,3,3,3,5,4,4,4,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,2,4,4,5,5,3,3,4,4,5,5,5,4,2,2,5,,5,It will allow for better use of time as AI takes a majority of contextual work.,4
