reviewID,book,review_date,ratings,review_text,info
8668,The Revolt of Mamie Stover,2022-05-20,5,"Lovely, warmed my heart. Excellent storytelling.","male,36-45,multitasker"
10227,Virgin Soil Upturned (Поднятая целина),2021-03-05,4,"Incredible, an exceptional masterpiece.","male,46-60,oversharer"
18491,Paul et Virginie,2023-03-11,2,"A disappointing venture, not worth revisiting.","male,46-60,oversharer"
3859,"The Secret Diary of Adrian Mole, Aged 13¾",2023-07-11,5,"Terrific, full of surprises. Exceptionally unpredictable.","female,18-35,oversharer"
8996,Harry Potter and the Half-Blood Prince,2023-12-16,3,Promising start but ended up lacking substance.,"female,46-60,cryer"
3754,Valley of the Dolls,2023-08-16,3,"Lacking finesse, the writing felt clumsy.","female,36-45,bragger"
17229,Jonathan Livingston Seagull,2021-02-05,5,"Out of this world, spectacular! Exceptionally done.","male,18-35,oversharer"
16765,Charlotte's Web,2021-09-16,3,"So disappointing, expected so much more.","female,46-60,multitasker"
14949,The Ginger Man,2021-02-02,1,"Lacking coherence, the plot was all over the place.","male,46-60,multitasker"
3631,James and the Giant Peach,2022-10-19,1,Lacking in memorable moments or characters.,"female,36-45,re-reader"
13477,How to Win Friends and Influence People,2021-01-15,5,"Truly captivating, a stellar and excellent read.","male,>60,bragger"
9765,The Name of the Rose (Il Nome della Rosa),2021-11-26,1,Lacking the edge to truly stand out.,"male,36-45,bragger"
7951,Jonathan Livingston Seagull,2021-02-05,5,"Never disappoints, top-notch and excellent!","female,>60,bragger"
2312,Paul et Virginie,2023-03-11,1,"Left feeling disappointed, had higher expectations.","female,36-45,oversharer"
2281,Virgin Soil Upturned (Поднятая целина),2021-03-05,3,"Disappointing and predictable, nothing new here.","male,36-45,multitasker"
11938,The Girl with the Dragon Tattoo (Män som hatar kvinnor),2021-06-07,1,"Disappointing, failed to live up to the hype.","male,46-60,multitasker"
17046,The Ginger Man,2021-02-02,1,"Lacking originality, felt like I've seen it all before.","female,>60,cryer"
9938,The Tale of Peter Rabbit,2022-10-28,5,"Lovely, warmed my heart. Excellent storytelling.","male,>60,oversharer"
12481,Anne of Green Gables,2020-11-03,5,"Everything I hoped for and more, excellent!","male,18-35,multitasker"
9436,A Tale of Two Cities,2023-08-22,4,"Superb, an excellent and very satisfying experience.","male,46-60,oversharer"
5452,The Common Sense Book of Baby and Child Care,2021-12-16,3,Lacking the edge to truly stand out.,"female,>60,cryer"
15231,The Godfather,2022-09-12,1,"Surprisingly disappointing, given the promising premise.","male,36-45,multitasker"
6086,Wolf Totem (狼图腾),2023-08-06,5,"Fantastic, I'm thoroughly impressed. Excellent work!","female,46-60,re-reader"
8560,The Alchemist (O Alquimista),2023-01-10,3,"Lacking coherence, the plot was all over the place.","male,36-45,multitasker"
6878,How the Steel Was Tempered (Как закалялась сталь),2023-02-19,2,"Disappointing read, had high hopes for more.","female,46-60,bragger"
6175,Black Beauty,2022-08-22,1,Disappointing end to what could have been a good story.,"female,18-35,cryer"
2918,Charlie and the Chocolate Factory,2022-11-03,3,"Concept was good, but execution was lacking.","female,46-60,re-reader"
10000,The Women's Room,2020-09-13,2,"Left feeling disappointed, had higher expectations.","female,46-60,cryer"
1728,The Godfather,2022-09-12,1,"Disappointingly shallow, more depth was needed.","female,36-45,oversharer"
7690,Flowers in the Attic,2020-02-26,5,"Never disappoints, top-notch and excellent!","female,>60,bragger"
19863,Alcoholics Anonymous,2021-12-28,5,"Utterly fantastic, a gem. Exceptional in every sense.","male,46-60,multitasker"
11386,Who Moved My Cheese?,2020-02-27,3,"Lacking any real depth, felt superficial.","male,18-35,bragger"
6275,Dune,2022-12-08,3,"Fell short of expectations, quite lacking overall.","female,18-35,multitasker"
4982,How the Steel Was Tempered (Как закалялась сталь),2023-02-19,1,Lacking in memorable moments or characters.,"male,18-35,bragger"
10996,The Secret,2023-12-18,5,"Utterly fantastic, a gem. Exceptional in every sense.","female,36-45,oversharer"
18580,The Happy Hooker: My Own Story,2021-09-09,3,"Lacking the wow factor, felt very mundane.","female,18-35,cryer"
13842,Jaws,2021-02-08,2,"So disappointing, expected so much more.","female,36-45,bragger"
11549,Uncle Styopa (Дядя Стёпа),2021-07-11,3,A disappointing foray into a genre that promised more.,"female,46-60,re-reader"
15282,Harry Potter and the Order of the Phoenix,2021-05-22,3,Lacking the charm and wit I was hoping for.,"female,18-35,multitasker"
15166,Kane and Abel,2021-07-24,5,"Nothing short of amazing, exceptionally crafted!","male,18-35,cryer"
7469,Lolita,2020-01-04,5,"Fabulous, a real treat! Exceptionally delightful.","male,46-60,oversharer"
10879,Wolf Totem (狼图腾),2023-08-06,5,"Remarkable, left me wanting more. Exceptionally good.","male,46-60,multitasker"
13531,Harry Potter and the Half-Blood Prince,2023-12-16,2,"Sadly disappointing, missed the mark completely.","male,>60,bragger"
10087,The Shack,2023-04-23,4,"Great read, exceptionally informative.","female,18-35,oversharer"
4627,Angels & Demons,2022-06-11,2,"A disappointing venture, not worth revisiting.","male,46-60,cryer"
4466,The Fault in Our Stars,2021-04-12,3,"Disappointing read, had high hopes for more.","female,46-60,oversharer"
12445,The Tale of Peter Rabbit,2022-10-28,4,"A+ work, exceptionally commendable.","male,18-35,oversharer"
11678,The Happy Hooker: My Own Story,2021-09-09,5,"Captivating from start to finish, truly exceptional!","male,36-45,multitasker"
9798,The Diary of Anne Frank (Het Achterhuis),2023-04-22,2,A disappointing foray into a genre that promised more.,"female,>60,multitasker"
16884,The Little Prince (Le Petit Prince),2022-10-16,3,"Disappointing, failed to live up to the hype.","female,46-60,cryer"
3475,Virgin Soil Upturned (Поднятая целина),2021-03-05,3,"Lacking in character development, hard to get attached.","female,>60,oversharer"
3812,The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),2021-01-28,3,A plot that's lacking in coherence and excitement.,"female,46-60,multitasker"
17919,Andromeda Nebula (Туманность Андромеды),2020-02-16,4,"Brilliant and excellent, couldn't put it down.","male,>60,bragger"
13737,The Shack,2023-04-23,3,Lacking the polish and finesse needed to shine.,"female,18-35,cryer"
4249,Harry Potter and the Philosopher's Stone,2021-01-19,3,"Sadly disappointing, missed the mark completely.","female,>60,bragger"
16487,The Hunger Games,2022-04-06,1,"A disappointing sequel, lost all the original's magic.","female,>60,oversharer"
15006,Catching Fire,2020-02-09,2,"Disappointing and predictable, nothing new here.","female,18-35,cryer"
16383,Anne of Green Gables,2020-11-03,2,"Lacking any real depth, felt superficial.","male,46-60,multitasker"
13247,The Kite Runner,2023-06-26,1,"Fell short of expectations, quite lacking overall.","female,>60,cryer"
19127,Charlie and the Chocolate Factory,2022-11-03,5,"Superb, an excellent and very satisfying experience.","female,>60,oversharer"
18416,Dune,2022-12-08,2,A disappointing foray into a genre that promised more.,"male,36-45,multitasker"
5960,Things Fall Apart,2023-12-27,3,"Disappointing at every turn, not what I expected.","female,46-60,re-reader"
17327,The Bridges of Madison County,2021-12-19,3,Lacking the excitement I was looking for.,"male,18-35,re-reader"
19105,Where the Wild Things Are,2023-07-25,3,Lacking in both style and substance.,"female,18-35,multitasker"
18341,The Bermuda Triangle,2022-01-23,2,"Failed to deliver, found it very disappointing.","male,18-35,cryer"
12519,Kane and Abel,2021-07-24,3,A disappointing foray into a genre that promised more.,"male,36-45,oversharer"
13945,Love You Forever,2022-07-05,5,"eXcellent in every way, a must-have.","male,>60,bragger"
3174,The Diary of Anne Frank (Het Achterhuis),2023-04-22,2,A disappointing foray into a genre that promised more.,"male,>60,oversharer"
18826,Adventures of Huckleberry Finn,2020-02-28,4,"A+ work, exceptionally commendable.","female,36-45,multitasker"
10736,The Girl on the Train,2023-11-13,1,A plot that's lacking in coherence and excitement.,"female,>60,bragger"
12409,Charlie and the Chocolate Factory,2022-11-03,3,"A disappointing sequel, lost all the original's magic.","male,46-60,cryer"
17255,James and the Giant Peach,2022-10-19,1,An experience that was sorely lacking in depth.,"male,18-35,cryer"
16312,Angels & Demons,2022-06-11,4,"Just what I was looking for, perfectly excellent.","male,36-45,re-reader"
3074,The Great Gatsby,2022-11-05,5,"Zesty and exhilarating, loved the excellent pace.","female,>60,multitasker"
9968,Alcoholics Anonymous,2021-12-28,5,"A+ work, exceptionally commendable.","female,46-60,multitasker"
16726,The Great Gatsby,2022-11-05,1,"Surprisingly disappointing, given the promising premise.","male,46-60,oversharer"
18398,A Brief History of Time,2022-01-18,3,"Disappointingly shallow, more depth was needed.","nonbinary,36-45,multitasker"
14778,Wolf Totem (狼图腾),2023-08-06,5,"Zesty and exhilarating, loved the excellent pace.","female,18-35,re-reader"
16900,The Shack,2023-04-23,1,"Failed to deliver, found it very disappointing.","male,18-35,cryer"
7734,A Message to Garcia,2021-07-28,3,Lacking the edge to truly stand out.,"female,18-35,multitasker"
16611,The Naked Ape,2021-03-02,3,Lacking the intrigue and drama I wanted.,"female,46-60,oversharer"
11464,Charlie and the Chocolate Factory,2022-11-03,2,A plot that's lacking in coherence and excitement.,"female,>60,bragger"
18388,The Tale of Peter Rabbit,2022-10-28,3,"Thoroughly disappointing, wouldn't bother with it again.","male,36-45,re-reader"
5202,Charlie and the Chocolate Factory,2022-11-03,3,"Surprisingly disappointing, given the promising premise.","female,>60,multitasker"
9992,Charlie and the Chocolate Factory,2022-11-03,4,"Terrific, full of surprises. Exceptionally unpredictable.","male,36-45,oversharer"
5388,The Diary of Anne Frank (Het Achterhuis),2023-04-22,1,"Lacking any real intrigue, failed to captivate.","male,46-60,bragger"
17166,Flowers in the Attic,2020-02-26,1,Lacking the intrigue and drama I wanted.,"female,46-60,multitasker"
8581,Heidi,2020-08-04,3,Lacking the polish and finesse needed to shine.,"female,46-60,re-reader"
17716,The Name of the Rose (Il Nome della Rosa),2021-11-26,5,"Heartwarming story, beautifully told. Truly excellent.","male,46-60,oversharer"
14322,The Ginger Man,2021-02-02,2,A plot that's lacking in coherence and excitement.,"nonbinary,46-60,bragger"
7869,War and Peace (Война и мир),2021-11-06,5,"Never disappoints, top-notch and excellent!","female,46-60,bragger"
15160,Kitchen (キッチン),2020-03-21,5,"Inspiring and motivational, exceptionally well-crafted.","female,18-35,cryer"
4110,Harry Potter and the Prisoner of Azkaban,2020-09-08,3,"Disappointing execution, was expecting much better.","female,36-45,re-reader"
6448,To Kill a Mockingbird,2020-10-19,3,"Lacking the wow factor, felt very mundane.","female,18-35,bragger"
1931,Cosmos,2021-04-01,4,"Absolutely excellent, highly recommend!","male,18-35,cryer"
6346,Angels & Demons,2022-06-11,2,"Lacking the wow factor, felt very mundane.","female,46-60,bragger"
18068,Who Moved My Cheese?,2020-02-27,5,"Delightful in every aspect, truly exceptional.","female,18-35,re-reader"
5399,Flowers in the Attic,2020-02-26,1,"Thoroughly disappointing, wouldn't bother with it again.","male,18-35,oversharer"
12560,The Great Gatsby,2022-11-05,1,"Felt like a waste of time, disappointing.","female,46-60,bragger"
8432,The Women's Room,2020-09-13,1,"Lacking coherence, the plot was all over the place.","male,>60,cryer"
5854,Kane and Abel,2021-07-24,3,"Not worth your time, found it quite disappointing.","male,18-35,cryer"
16954,The Da Vinci Code,2020-10-01,2,Lacking the polish and finesse needed to shine.,"female,46-60,multitasker"
11236,The Girl with the Dragon Tattoo (Män som hatar kvinnor),2021-06-07,2,Promising start but ended up lacking substance.,"female,18-35,multitasker"
13132,How the Steel Was Tempered (Как закалялась сталь),2023-02-19,3,Disappointing end to what could have been a good story.,"male,46-60,re-reader"
14469,A Tale of Two Cities,2023-08-22,5,"Joy to read, very engaging and excellent.","male,46-60,cryer"
10584,Harry Potter and the Deathly Hallows,2020-03-23,2,Lacking in both style and substance.,"female,36-45,multitasker"
2571,The Thorn Birds,2020-01-14,1,"Lacking in character development, hard to get attached.","female,36-45,re-reader"
1282,How the Steel Was Tempered (Как закалялась сталь),2023-02-19,3,"Disappointing read, had high hopes for more.","male,36-45,cryer"
11297,Wolf Totem (狼图腾),2023-08-06,1,Lacking the edge to truly stand out.,"nonbinary,36-45,multitasker"
7175,Virgin Soil Upturned (Поднятая целина),2021-03-05,3,Lacking the edge to truly stand out.,"female,>60,cryer"
10390,Wolf Totem (狼图腾),2023-08-06,3,Characters were lacking dimension and relatability.,"nonbinary,18-35,multitasker"
9575,The Diary of Anne Frank (Het Achterhuis),2023-04-22,4,"Couldn't ask for more, perfectly excellent.","female,>60,bragger"
19518,Flowers in the Attic,2020-02-26,5,"Bravo, an exceptional and excellent piece.","female,36-45,cryer"
18538,The Thorn Birds,2020-01-14,1,Lacking the polish and finesse needed to shine.,"female,36-45,bragger"
4799,The Very Hungry Caterpillar,2021-06-13,2,"Lacking finesse, the writing felt clumsy.","female,>60,oversharer"
8615,The 7 Habits of Highly Effective People,2022-06-19,3,"Fell short of expectations, quite lacking overall.","female,36-45,bragger"
18633,Dream of the Red Chamber (紅樓夢),2022-06-22,2,An experience that was sorely lacking in depth.,"male,>60,re-reader"
14846,Anne of Green Gables,2020-11-03,3,Tried to get into it but found it lacking.,"female,36-45,multitasker"
12597,Wolf Totem (狼图腾),2023-08-06,1,Characters were lacking dimension and relatability.,"male,46-60,bragger"
8348,Alcoholics Anonymous,2021-12-28,2,"Lacking the wow factor, felt very mundane.","female,18-35,oversharer"
9856,Harry Potter and the Prisoner of Azkaban,2020-09-08,5,"Kept me engaged till the very end, exceptionally well-done.","male,36-45,cryer"
17926,The Ginger Man,2021-02-02,3,"Sadly disappointing, missed the mark completely.","female,18-35,oversharer"
18261,The Name of the Rose (Il Nome della Rosa),2021-11-26,2,Tried to get into it but found it lacking.,"female,>60,multitasker"
13781,Jonathan Livingston Seagull,2021-02-05,1,Lacking the charm and wit I was hoping for.,"male,18-35,re-reader"
17054,One Hundred Years of Solitude (Cien años de soledad),2021-12-04,2,Lacking the polish and finesse needed to shine.,"male,18-35,cryer"
12016,The Happy Hooker: My Own Story,2021-09-09,1,"Surprisingly disappointing, given the promising premise.","female,46-60,multitasker"
6977,The 7 Habits of Highly Effective People,2022-06-19,2,"Concept was good, but execution was lacking.","male,>60,multitasker"
9748,Love You Forever,2022-07-05,1,"A disappointing venture, not worth revisiting.","male,18-35,bragger"
2504,The Bermuda Triangle,2022-01-23,4,"Wow, completely blown away! Exceptionally impressive.","female,>60,cryer"
17881,The Revolt of Mamie Stover,2022-05-20,2,Tried to get into it but found it lacking.,"female,18-35,multitasker"
3019,The Girl with the Dragon Tattoo (Män som hatar kvinnor),2021-06-07,1,The storyline was disappointingly convoluted.,"male,46-60,multitasker"
2505,Where the Wild Things Are,2023-07-25,2,"Lacking in character development, hard to get attached.","male,46-60,oversharer"
6512,The Happy Hooker: My Own Story,2021-09-09,5,"Truly captivating, a stellar and excellent read.","female,36-45,oversharer"
2826,And Then There Were None,2023-09-19,1,Tried to get into it but found it lacking.,"male,>60,re-reader"
16629,Uncle Styopa (Дядя Стёпа),2021-07-11,1,"Was hoping for more, but found it disappointing.","female,18-35,bragger"
17895,The Fault in Our Stars,2021-04-12,2,Lacking in both style and substance.,"male,18-35,multitasker"
14742,Harry Potter and the Order of the Phoenix,2021-05-22,4,"Pure brilliance, very insightful. Excellent all around.","male,18-35,multitasker"
18162,The Hobbit,2022-08-25,4,"Kept me engaged till the very end, exceptionally well-done.","male,46-60,re-reader"
7417,The Kite Runner,2023-06-26,5,"Phenomenal and exceptional, highly engaging.","male,18-35,multitasker"
17886,Love You Forever,2022-07-05,5,"Riveting, kept me on the edge of my seat. Exceptionally thrilling.","female,18-35,bragger"
19531,Angels & Demons,2022-06-11,1,"Concept was good, but execution was lacking.","male,18-35,oversharer"
15422,Pride and Prejudice,2020-04-25,1,Lacking the edge to truly stand out.,"female,36-45,multitasker"
12008,The Lost Symbol,2021-06-11,4,"Nothing short of amazing, exceptionally crafted!","male,18-35,multitasker"
7837,Rebecca,2022-09-03,1,"Surprisingly disappointing, given the promising premise.","male,36-45,multitasker"
11272,A Brief History of Time,2022-01-18,5,"Remarkable, left me wanting more. Exceptionally good.","female,>60,bragger"
1673,Harry Potter and the Half-Blood Prince,2023-12-16,1,Lacking in memorable moments or characters.,"female,36-45,multitasker"
1465,The Happy Hooker: My Own Story,2021-09-09,3,Lacking the excitement I was looking for.,"female,>60,bragger"
12639,The Eagle Has Landed,2022-05-28,5,"Exceeded all my expectations, simply exceptional!","male,36-45,re-reader"
16791,What to Expect When You're Expecting,2022-02-28,3,"Disappointing execution, was expecting much better.","female,36-45,oversharer"
14502,And Then There Were None,2023-09-19,2,Lacking in memorable moments or characters.,"male,18-35,multitasker"
6162,Kane and Abel,2021-07-24,1,A plot that's lacking in coherence and excitement.,"female,46-60,bragger"
