Credit_rating,Age,Income,Credit_cards,Education,Car_loans
Bad,20.992631031142,Medium,5 or more,College,More than 2
Bad,28.609254663842,Medium,5 or more,College,More than 2
Bad,20.789141429237,Medium,5 or more,High school,More than 2
Bad,20.7059862478619,Medium,5 or more,High school,None or 1
Bad,24.483400778498,Low,5 or more,High school,More than 2
Bad,47.1565705466636,Medium,5 or more,College,More than 2
Bad,24.6766742159246,Medium,5 or more,High school,More than 2
Bad,30.8128525672555,High,5 or more,High school,More than 2
Bad,20.8882710413201,Low,5 or more,High school,More than 2
Bad,21.0501871871164,Medium,5 or more,College,More than 2
Bad,32.4320734043165,Medium,5 or more,High school,More than 2
Bad,31.3509429868332,Medium,5 or more,High school,More than 2
Bad,22.9262007979793,Medium,5 or more,College,More than 2
Bad,35.1464045618997,Medium,5 or more,High school,More than 2
Bad,24.6859877052742,Medium,Less than 5,College,None or 1
Bad,37.3259118227823,Low,5 or more,High school,More than 2
Bad,30.7003826006852,Medium,5 or more,High school,More than 2
Bad,32.9188784527346,Low,5 or more,High school,More than 2
Bad,23.8542932248699,Low,5 or more,College,More than 2
Bad,46.7665440615939,Low,5 or more,High school,More than 2
Bad,27.9103923633592,Medium,5 or more,High school,More than 2
Bad,46.4413845780794,Medium,5 or more,College,None or 1
Bad,20.659897679582,Low,5 or more,High school,More than 2
Bad,20.9644454738587,Low,5 or more,College,None or 1
Bad,24.4541832825257,Medium,5 or more,High school,More than 2
Bad,27.0624422830665,Low,5 or more,High school,More than 2
Bad,38.0588408752129,Low,5 or more,College,More than 2
Bad,22.9924474628393,Medium,5 or more,College,More than 2
Bad,22.3703615701156,Low,5 or more,College,More than 2
Bad,26.2054462837894,Low,5 or more,High school,More than 2
Bad,36.4479347959588,Medium,5 or more,High school,More than 2
Bad,22.7212962015897,Medium,5 or more,College,More than 2
Bad,33.2809046179516,Low,5 or more,College,More than 2
Bad,28.145842696811,Medium,5 or more,High school,More than 2
Bad,44.1311672465532,Medium,5 or more,High school,None or 1
Bad,24.8883322091134,Low,5 or more,College,More than 2
Bad,21.8718354685422,Medium,5 or more,High school,More than 2
Bad,28.2296857706114,Low,5 or more,High school,None or 1
Bad,36.981074736143,Medium,5 or more,College,More than 2
Bad,24.1570209639776,Low,5 or more,College,More than 2
Bad,35.6682891299808,Medium,5 or more,College,More than 2
Bad,24.9736608268475,Low,5 or more,College,More than 2
Bad,30.569168561562,Medium,5 or more,High school,More than 2
Bad,20.3750191381309,Low,5 or more,College,More than 2
Bad,32.6688864202564,Medium,5 or more,College,More than 2
Bad,20.572878236889,Low,5 or more,High school,More than 2
Bad,26.6588421986387,Low,Less than 5,High school,None or 1
Bad,30.8040429956535,Low,5 or more,College,More than 2
Bad,29.8426085573117,Medium,5 or more,College,More than 2
Bad,50.8259306210014,Low,5 or more,High school,More than 2
Bad,29.2553286116179,Low,5 or more,College,More than 2
Bad,35.217775052466,Medium,5 or more,College,More than 2
Bad,35.8179381695313,Low,5 or more,College,None or 1
Bad,24.4379956687771,Medium,5 or more,High school,More than 2
Bad,23.3965978143118,Medium,5 or more,High school,More than 2
Bad,38.6766377107243,Medium,5 or more,High school,More than 2
Bad,21.8608143906376,Medium,5 or more,College,More than 2
Bad,24.0426462902046,Low,5 or more,High school,More than 2
Bad,25.7179111996347,Medium,5 or more,College,More than 2
Bad,26.8074971745426,Medium,5 or more,College,More than 2
Bad,36.6202954590703,Medium,5 or more,High school,More than 2
Bad,29.0504182470589,Low,5 or more,College,More than 2
Bad,30.7722547104839,Low,5 or more,High school,More than 2
Bad,22.1741156443952,Low,5 or more,High school,More than 2
Bad,42.9279116602498,Low,5 or more,College,More than 2
Bad,26.7912141722531,Medium,Less than 5,High school,None or 1
Bad,24.2398446359384,Low,5 or more,College,More than 2
Bad,25.8151667117764,Low,5 or more,College,More than 2
Bad,20.744928361325,Medium,5 or more,High school,More than 2
Bad,40.8749528919178,Medium,5 or more,High school,More than 2
Bad,52.954416592796,Low,5 or more,College,More than 2
Bad,25.3481322062955,Medium,5 or more,College,More than 2
Bad,28.1216094206886,Low,5 or more,College,More than 2
Bad,29.5054539082567,Low,5 or more,High school,More than 2
Bad,35.8960396154667,Low,5 or more,College,More than 2
Bad,20.140081223509,Medium,5 or more,High school,More than 2
Bad,23.2267640693776,Low,5 or more,College,More than 2
Bad,44.8210694648326,Low,5 or more,High school,More than 2
Bad,43.5733138525571,Medium,5 or more,College,More than 2
Bad,20.1577726183548,Medium,Less than 5,College,None or 1
Bad,27.4400247200362,Low,5 or more,College,More than 2
Bad,24.0341753286726,Low,5 or more,High school,More than 2
Bad,37.0787708164245,Medium,5 or more,High school,More than 2
Bad,25.786153596081,High,5 or more,College,None or 1
Bad,24.7985766994417,Low,5 or more,College,More than 2
Bad,31.745383537968,Low,5 or more,High school,More than 2
Bad,38.7199229967469,Medium,5 or more,College,None or 1
Bad,24.1200578751796,Medium,5 or more,College,More than 2
Bad,31.7960234437993,Low,5 or more,High school,More than 2
Bad,43.0320060219216,Low,5 or more,College,More than 2
Bad,22.0994958720396,Medium,5 or more,College,More than 2
Bad,26.7976631978846,High,5 or more,College,More than 2
Bad,39.9798090582081,High,5 or more,College,More than 2
Bad,31.475303105808,Medium,Less than 5,High school,None or 1
Bad,23.6406022947793,Low,5 or more,High school,More than 2
Bad,33.1814402617578,Low,5 or more,High school,More than 2
Bad,40.0001902757812,Low,5 or more,High school,More than 2
Bad,23.4460767343563,High,5 or more,High school,More than 2
Bad,29.8444583781421,Low,Less than 5,High school,None or 1
Bad,29.323568573488,Low,Less than 5,High school,None or 1
Bad,22.5094689693026,Low,5 or more,High school,More than 2
Bad,31.4276443963685,Low,Less than 5,High school,None or 1
Bad,32.9620493787675,Low,5 or more,High school,None or 1
Bad,37.2314938011322,Medium,5 or more,College,More than 2
Bad,39.489115643088,Low,5 or more,College,More than 2
Bad,21.9852917708021,Low,5 or more,High school,More than 2
Bad,31.0103497155125,Low,5 or more,High school,More than 2
Bad,40.3986393387742,Low,5 or more,High school,More than 2
Bad,28.5288758584871,Low,5 or more,High school,More than 2
Bad,21.9254070422438,Medium,5 or more,College,More than 2
Bad,25.5223975435479,Low,5 or more,High school,More than 2
Bad,20.7221900132454,Low,5 or more,College,More than 2
Bad,43.5694389556488,Low,5 or more,High school,None or 1
Bad,33.0903023989461,Low,5 or more,High school,More than 2
Bad,27.8529237278381,Medium,5 or more,High school,More than 2
Bad,28.7402875940246,Low,5 or more,College,More than 2
Bad,44.6145814432399,Low,5 or more,College,None or 1
Bad,22.3164390887254,High,5 or more,College,More than 2
Bad,32.7256667631479,Medium,5 or more,College,More than 2
Bad,32.1968098142846,Low,5 or more,College,More than 2
Bad,22.2180361779202,Medium,Less than 5,College,None or 1
Bad,30.2598506453849,Medium,5 or more,High school,More than 2
Bad,54.6752933332748,Medium,5 or more,High school,More than 2
Bad,29.5136008133173,Medium,Less than 5,High school,None or 1
Bad,20.1420207720257,Low,5 or more,College,More than 2
Bad,29.2483106205299,Low,5 or more,College,More than 2
Bad,38.1418996341859,Low,5 or more,High school,More than 2
Bad,28.7639567726888,Low,5 or more,College,More than 2
Bad,36.4502866401677,Low,5 or more,High school,None or 1
Bad,20.6360910024159,Medium,5 or more,High school,None or 1
Bad,24.5441722789694,Medium,5 or more,High school,More than 2
Bad,31.3859793968831,Low,5 or more,College,More than 2
Bad,39.7978043626272,Low,5 or more,College,More than 2
Bad,28.5635920272227,Medium,5 or more,College,More than 2
Bad,22.6118285960008,Low,5 or more,College,More than 2
Bad,33.1744607793692,Low,5 or more,College,More than 2
Bad,43.3712461463527,Low,5 or more,College,None or 1
Bad,34.3596169097645,Medium,5 or more,High school,None or 1
Bad,40.6744251421392,Medium,Less than 5,College,None or 1
Bad,33.7418733861833,High,5 or more,High school,None or 1
Bad,25.2338964969973,Medium,5 or more,High school,More than 2
Bad,26.0900469051809,Low,5 or more,College,More than 2
Bad,31.6281852604027,Low,5 or more,College,More than 2
Bad,41.6701887330609,Medium,5 or more,College,More than 2
Bad,23.0751372385481,Medium,5 or more,High school,None or 1
Bad,24.8602828496679,Low,5 or more,College,More than 2
Bad,23.6284514155662,Medium,5 or more,High school,More than 2
Bad,25.9634582030627,Medium,5 or more,High school,More than 2
Bad,44.0047795580572,Medium,Less than 5,College,None or 1
Bad,21.9569801507272,Low,5 or more,High school,More than 2
Bad,37.5828814372558,Medium,5 or more,College,More than 2
Bad,53.8633592463894,Low,5 or more,College,More than 2
Bad,29.7971079180962,Medium,5 or more,High school,More than 2
Bad,26.7235054997449,Medium,5 or more,College,More than 2
Bad,24.2024760192626,Medium,5 or more,High school,More than 2
Bad,34.3595617635645,Low,Less than 5,High school,None or 1
Bad,24.8645596062031,Medium,5 or more,High school,More than 2
Bad,33.7434402429103,Medium,5 or more,College,More than 2
Bad,36.2217274351809,Medium,Less than 5,High school,None or 1
Bad,24.2224081997247,Low,5 or more,College,More than 2
Bad,43.8141401637897,Low,5 or more,College,More than 2
Bad,22.5765226236055,High,5 or more,College,More than 2
Bad,47.8934585751075,High,5 or more,College,More than 2
Bad,37.563025976095,Low,5 or more,High school,None or 1
Bad,24.414339559991,Medium,5 or more,College,More than 2
Bad,28.2343153088959,Medium,5 or more,High school,More than 2
Bad,20.5885591996883,Medium,5 or more,High school,None or 1
Bad,27.883461263309,Medium,5 or more,High school,More than 2
Bad,23.603585259817,Low,5 or more,High school,More than 2
Bad,20.8409536886581,Medium,Less than 5,College,More than 2
Bad,34.5106453351388,Low,5 or more,College,More than 2
Bad,32.7473522495395,Low,5 or more,College,More than 2
Bad,30.1509181152066,Low,5 or more,College,More than 2
Bad,22.4279521734877,Medium,5 or more,High school,More than 2
Bad,23.4541685739922,Low,5 or more,High school,More than 2
Bad,31.8019945259269,Medium,5 or more,High school,None or 1
Bad,22.9643315569764,Low,5 or more,College,More than 2
Bad,37.3181942031167,Low,5 or more,College,More than 2
Bad,29.353057199554,Medium,5 or more,College,More than 2
Bad,51.909121429805,Medium,5 or more,High school,None or 1
Bad,26.8245245488946,Medium,5 or more,College,More than 2
Bad,40.7576406039382,Low,5 or more,College,More than 2
Bad,40.5149732334475,Medium,5 or more,High school,More than 2
Bad,25.1497702907253,Medium,5 or more,High school,More than 2
Bad,30.290568288535,Medium,5 or more,High school,More than 2
Bad,20.57246134029,Low,5 or more,College,More than 2
Bad,29.5991204074621,Medium,5 or more,College,None or 1
Bad,21.3921236686365,Low,5 or more,High school,More than 2
Bad,26.5235111064731,Medium,Less than 5,High school,None or 1
Bad,23.6380095275337,Low,5 or more,High school,More than 2
Bad,24.8742583840909,Medium,5 or more,College,More than 2
Bad,26.4193029181288,Low,5 or more,High school,More than 2
Bad,31.8947167215069,Medium,5 or more,College,More than 2
Bad,32.9169179005534,Low,5 or more,College,More than 2
Bad,37.4248536918005,Medium,5 or more,High school,More than 2
Bad,28.1355325401816,Low,5 or more,High school,More than 2
Bad,24.7145222771592,Medium,5 or more,High school,More than 2
Bad,35.1171275186341,Medium,5 or more,High school,More than 2
Bad,32.5631873536523,Medium,5 or more,College,More than 2
Bad,35.0325729797642,Medium,5 or more,High school,More than 2
Bad,43.2737021010012,Medium,5 or more,College,More than 2
Bad,23.5342672475422,Low,5 or more,College,More than 2
Bad,25.0109713630687,Medium,5 or more,High school,More than 2
Bad,26.6069225137941,Low,5 or more,College,More than 2
Bad,41.4107334432618,Medium,5 or more,High school,More than 2
Bad,20.3480430942048,Low,Less than 5,College,None or 1
Bad,35.2409192708316,Low,5 or more,High school,More than 2
Bad,44.299235916344,Low,5 or more,College,More than 2
Bad,38.6124861614408,Medium,5 or more,High school,More than 2
Bad,33.5311094002042,Medium,5 or more,High school,More than 2
Bad,22.5303268975708,Medium,5 or more,High school,More than 2
Bad,46.5129396966587,Low,5 or more,College,More than 2
Bad,28.0491472148266,High,5 or more,College,More than 2
Bad,40.2926504052346,Medium,5 or more,High school,More than 2
Bad,20.7259057586504,Medium,Less than 5,College,None or 1
Bad,26.529736680905,Low,5 or more,College,More than 2
Bad,38.7627310437811,Medium,Less than 5,High school,None or 1
Bad,35.5641140165359,High,5 or more,College,More than 2
Bad,28.2478790490365,Medium,5 or more,College,More than 2
Bad,37.1208074136719,Medium,Less than 5,High school,None or 1
Bad,22.7833584007461,Medium,Less than 5,College,None or 1
Bad,37.0713255599501,Medium,Less than 5,College,None or 1
Bad,35.0025876391362,High,5 or more,High school,More than 2
Bad,39.0155336557788,Medium,5 or more,College,More than 2
Bad,29.2097752001871,Medium,5 or more,College,More than 2
Bad,21.6059850715002,Medium,5 or more,College,More than 2
Bad,25.4061830430372,Low,5 or more,College,More than 2
Bad,36.409149518146,Medium,5 or more,High school,More than 2
Bad,34.3064745419221,Low,5 or more,College,More than 2
Bad,20.1827917431326,Medium,5 or more,High school,More than 2
Bad,24.9655415143069,Low,Less than 5,High school,None or 1
Bad,22.9907752779681,Medium,Less than 5,High school,None or 1
Bad,22.9312294620269,Low,5 or more,High school,More than 2
Bad,31.7667285102515,Low,5 or more,High school,More than 2
Bad,40.7829040184075,Medium,5 or more,High school,More than 2
Bad,25.7122423209013,Medium,5 or more,College,More than 2
Bad,20.2326510503668,Low,5 or more,College,More than 2
Bad,20.8211335339491,Low,5 or more,High school,More than 2
Bad,22.2407443675485,Medium,5 or more,High school,More than 2
Bad,23.3170998798764,Medium,5 or more,College,More than 2
Bad,26.1670042854707,Medium,5 or more,College,More than 2
Bad,26.2228490114469,Medium,Less than 5,College,None or 1
Bad,28.9054918241619,Medium,5 or more,High school,More than 2
Bad,30.3187914956693,Medium,5 or more,College,More than 2
Bad,22.08393006935,Medium,5 or more,High school,More than 2
Bad,22.0680441923792,Medium,5 or more,College,More than 2
Bad,26.6664567272731,High,5 or more,High school,More than 2
Bad,28.7259533762815,Low,5 or more,High school,More than 2
Bad,31.0881372216149,High,5 or more,College,More than 2
Bad,23.3845721641312,Low,5 or more,College,None or 1
Bad,25.841249449139,Low,5 or more,College,None or 1
Bad,29.3973664227767,Medium,5 or more,College,More than 2
Bad,37.356881758152,Medium,Less than 5,High school,None or 1
Bad,27.5743885213908,Medium,5 or more,High school,More than 2
Bad,39.1518752481238,Low,5 or more,College,More than 2
Bad,22.7947184632546,High,5 or more,High school,More than 2
Bad,33.4070655874898,Low,5 or more,College,More than 2
Bad,28.0273002573732,Low,5 or more,College,None or 1
Bad,24.9680668319555,Medium,5 or more,High school,More than 2
Bad,20.0449495362429,Medium,5 or more,High school,More than 2
Bad,41.3198785461698,Low,5 or more,High school,More than 2
Bad,31.9034804833631,Low,Less than 5,College,More than 2
Bad,35.8496539774413,Medium,5 or more,High school,More than 2
Bad,20.6104632701473,Medium,5 or more,High school,More than 2
Bad,22.4860260426911,Low,5 or more,High school,More than 2
Bad,33.079738787333,Low,5 or more,High school,More than 2
Bad,33.5091229440931,Low,5 or more,High school,More than 2
Bad,24.5646537867207,Medium,5 or more,High school,None or 1
Bad,22.3809595561377,Medium,5 or more,College,More than 2
Bad,27.7848710421278,High,5 or more,High school,More than 2
Bad,26.6153843726979,Medium,5 or more,High school,More than 2
Bad,28.7488242057225,Low,5 or more,College,None or 1
Bad,20.4214788253749,Low,Less than 5,High school,None or 1
Bad,22.7343291848198,Medium,5 or more,College,More than 2
Bad,21.7309651014364,Low,5 or more,College,None or 1
Bad,25.6320193846134,Medium,5 or more,High school,More than 2
Bad,34.5564523044865,Medium,5 or more,College,More than 2
Bad,40.9434341433899,Medium,5 or more,High school,None or 1
Bad,35.1037996334298,Low,5 or more,High school,More than 2
Bad,27.0004407800905,Low,5 or more,College,More than 2
Bad,20.5955799252172,Medium,5 or more,High school,More than 2
Bad,44.556821806871,Medium,5 or more,College,More than 2
Bad,33.805746870807,Low,5 or more,High school,More than 2
Bad,30.9495880180269,Medium,5 or more,High school,More than 2
Bad,30.9041982048662,Low,5 or more,College,More than 2
Bad,35.0618973008537,Low,Less than 5,High school,None or 1
Bad,36.3643012372365,Medium,5 or more,High school,More than 2
Bad,27.8837980745648,Medium,5 or more,High school,More than 2
Bad,32.445170702787,Medium,5 or more,College,More than 2
Bad,30.5692673935873,Low,5 or more,College,More than 2
Bad,31.6374571064078,Medium,5 or more,High school,More than 2
Bad,22.5008876161851,Low,5 or more,High school,More than 2
Bad,31.816856599099,Low,5 or more,High school,More than 2
Bad,33.8349358942297,Low,5 or more,College,None or 1
Bad,22.1328119837886,Medium,5 or more,College,More than 2
Bad,26.8816100964241,Medium,5 or more,College,More than 2
Bad,36.3515386161759,Low,5 or more,High school,More than 2
Bad,27.8991855024662,Medium,Less than 5,High school,More than 2
Bad,26.6889440658755,Medium,5 or more,College,More than 2
Bad,34.1139388418567,Medium,5 or more,High school,More than 2
Bad,29.2432054718237,Low,5 or more,College,More than 2
Bad,33.9425804109213,Low,5 or more,College,More than 2
Bad,31.9348620477065,Low,5 or more,College,More than 2
Bad,25.3637709260211,Medium,5 or more,High school,More than 2
Bad,29.3345953593016,Low,5 or more,High school,More than 2
Bad,35.5420104237285,Medium,Less than 5,High school,More than 2
Bad,27.364803275333,Medium,Less than 5,College,None or 1
Bad,34.4312126485994,Low,5 or more,College,More than 2
Bad,26.507683643172,Medium,5 or more,College,More than 2
Bad,26.526056695946,Medium,5 or more,College,More than 2
Bad,22.4389509798534,High,5 or more,College,None or 1
Bad,29.60880259257,Medium,Less than 5,College,None or 1
Bad,21.973708359504,Medium,5 or more,College,More than 2
Bad,22.8388727167155,Medium,5 or more,High school,More than 2
Bad,39.0089774715266,Medium,5 or more,College,More than 2
Bad,31.8157285413757,Medium,5 or more,High school,More than 2
Bad,30.6450915355247,Low,5 or more,High school,More than 2
Bad,34.3757611200077,Medium,5 or more,College,More than 2
Bad,29.6650165756763,Low,5 or more,High school,More than 2
Bad,25.6576504174134,Medium,5 or more,High school,More than 2
Bad,21.3785279550243,Low,5 or more,College,None or 1
Bad,45.7361997660665,Low,Less than 5,College,None or 1
Bad,37.5458692366528,Low,5 or more,High school,More than 2
Bad,31.0466266794543,Low,5 or more,High school,More than 2
Bad,30.1645216955222,Medium,5 or more,High school,More than 2
Bad,56.6751207555434,Low,5 or more,High school,More than 2
Bad,40.4960818272111,Medium,5 or more,High school,More than 2
Bad,51.6277904933014,Medium,Less than 5,College,None or 1
Bad,25.4376340899065,Low,5 or more,College,More than 2
Bad,32.9297854438928,Low,5 or more,College,More than 2
Bad,37.31334151292,High,5 or more,College,More than 2
Bad,24.053252944723,Low,5 or more,High school,More than 2
Bad,23.6261733882756,Medium,5 or more,High school,More than 2
Bad,27.1829225084093,Medium,5 or more,High school,More than 2
Bad,32.0370614036673,High,Less than 5,College,None or 1
Bad,22.90101796882,Low,5 or more,High school,More than 2
Bad,25.0168985351816,Medium,5 or more,College,More than 2
Bad,31.9218892445606,Medium,5 or more,College,More than 2
Bad,33.0744701343475,Medium,5 or more,College,More than 2
Bad,33.0938661905114,Medium,Less than 5,College,None or 1
Bad,31.3489685300059,Low,5 or more,High school,None or 1
Bad,26.0695633305732,High,5 or more,High school,None or 1
Bad,29.9212231470803,Low,5 or more,High school,More than 2
Bad,30.1470382499605,Low,5 or more,College,More than 2
Bad,40.3930568465819,Medium,5 or more,College,More than 2
Bad,23.0722980881239,Medium,5 or more,High school,More than 2
Bad,26.2434099375341,Medium,Less than 5,College,None or 1
Bad,34.060620833667,Medium,5 or more,High school,More than 2
Bad,28.3773845921273,Medium,5 or more,College,More than 2
Bad,24.0230292159743,Medium,5 or more,College,More than 2
Bad,29.8721989328422,Medium,Less than 5,High school,None or 1
Bad,37.7863888102851,Low,5 or more,College,More than 2
Bad,44.4684716896663,Medium,5 or more,High school,More than 2
Bad,25.378074870295,Medium,5 or more,College,More than 2
Bad,32.6094220222297,Medium,5 or more,High school,More than 2
Bad,22.6457948248951,Medium,5 or more,High school,More than 2
Bad,21.9166391130355,Medium,5 or more,High school,More than 2
Bad,25.340922403976,Medium,Less than 5,High school,None or 1
Bad,37.6781398868051,Medium,5 or more,College,More than 2
Bad,27.4302508239886,Low,5 or more,High school,More than 2
Bad,41.7144527456048,Low,5 or more,High school,More than 2
Bad,34.8150275574138,Low,5 or more,College,More than 2
Bad,32.4288190511534,Low,5 or more,High school,More than 2
Bad,33.9125356361883,Low,5 or more,High school,More than 2
Bad,23.2445066431736,Low,5 or more,High school,More than 2
Bad,32.9113174382571,Medium,5 or more,High school,More than 2
Bad,29.0830266901654,Medium,5 or more,College,More than 2
Bad,40.2051656884227,Medium,5 or more,High school,More than 2
Bad,25.3189819589522,Low,5 or more,High school,More than 2
Bad,44.6855308660047,Medium,5 or more,College,More than 2
Bad,26.2979688664623,Low,5 or more,College,More than 2
Bad,28.4380109925234,Low,5 or more,High school,More than 2
Bad,31.7524943677635,Medium,Less than 5,College,None or 1
Bad,36.5628234226782,Medium,Less than 5,College,None or 1
Bad,30.0928597399367,Low,5 or more,High school,More than 2
Bad,27.6443485817554,Low,5 or more,High school,More than 2
Bad,23.9768165189351,Low,5 or more,High school,More than 2
Bad,23.410438551612,Low,5 or more,College,More than 2
Bad,23.7934515751539,Low,5 or more,High school,More than 2
Bad,21.5541138314534,Low,5 or more,High school,More than 2
Bad,35.29328292661,Low,Less than 5,College,None or 1
Bad,22.4647701892728,High,5 or more,High school,None or 1
Bad,43.6618877216919,Low,5 or more,High school,More than 2
Bad,20.3950820513905,Low,Less than 5,College,More than 2
Bad,25.1117141151278,Medium,5 or more,College,More than 2
Bad,23.0310215274254,Low,5 or more,High school,More than 2
Bad,25.4739534303235,Medium,5 or more,College,None or 1
Bad,27.1039219216155,Medium,5 or more,High school,More than 2
Bad,30.3191010110084,Low,5 or more,College,More than 2
Bad,36.6620640275191,Medium,5 or more,College,More than 2
Bad,36.4805225055616,Low,5 or more,College,More than 2
Bad,31.195771235829,Medium,5 or more,High school,More than 2
Bad,31.0782560007721,Medium,5 or more,College,More than 2
Bad,26.4059032831512,Medium,5 or more,College,More than 2
Bad,31.9969990973539,Low,5 or more,College,More than 2
Bad,37.4496673018119,Medium,5 or more,High school,None or 1
Bad,35.8294610701777,Low,5 or more,College,More than 2
Bad,25.0274350740944,Medium,Less than 5,College,None or 1
Bad,21.0071095824792,Low,Less than 5,High school,None or 1
Bad,31.9908848900785,High,Less than 5,High school,More than 2
Bad,29.621566251835,Low,5 or more,High school,More than 2
Bad,43.9815502477524,Medium,5 or more,High school,More than 2
Bad,21.8278024160265,Medium,5 or more,High school,More than 2
Bad,31.0514569976198,Low,5 or more,College,None or 1
Bad,27.4180810069657,Low,5 or more,College,More than 2
Bad,29.9941653644572,Low,5 or more,College,None or 1
Bad,23.0237454764104,Medium,Less than 5,College,None or 1
Bad,25.7368154756469,High,5 or more,High school,None or 1
Bad,28.5001961865269,Low,5 or more,College,More than 2
Bad,20.5440469821596,Low,5 or more,College,More than 2
Bad,30.5584082238247,High,5 or more,High school,More than 2
Bad,38.3923358697044,Medium,Less than 5,College,None or 1
Bad,24.1611598220951,Low,5 or more,College,More than 2
Bad,26.9496030680894,Low,5 or more,College,More than 2
Bad,38.8851037980816,Low,5 or more,College,More than 2
Bad,30.9569398530544,Medium,5 or more,High school,More than 2
Bad,22.0145217029956,Medium,Less than 5,High school,None or 1
Bad,35.0069748934811,Medium,5 or more,High school,More than 2
Bad,39.2890994450298,Medium,5 or more,High school,More than 2
Bad,28.395896510768,Low,5 or more,High school,More than 2
Bad,33.2893939831105,Medium,5 or more,High school,More than 2
Bad,41.3130423304524,Medium,5 or more,High school,More than 2
Bad,41.3088272214174,Medium,5 or more,High school,More than 2
Bad,40.8579557573959,Low,5 or more,High school,More than 2
Bad,32.9467125619944,Low,5 or more,High school,More than 2
Bad,34.8776594551574,Medium,5 or more,College,More than 2
Bad,23.7905302991607,Medium,5 or more,High school,More than 2
Bad,43.2912647995314,High,5 or more,College,More than 2
Bad,22.4734699699696,Low,Less than 5,High school,None or 1
Bad,27.4582108629271,Medium,5 or more,High school,More than 2
Bad,27.7661589444897,Low,5 or more,High school,More than 2
Bad,36.7002002881712,Low,5 or more,College,More than 2
Bad,28.4181458054535,Low,5 or more,College,More than 2
Bad,23.6263557639527,Low,5 or more,College,More than 2
Bad,23.33595471058,Medium,5 or more,College,More than 2
Bad,38.0685184483322,Low,5 or more,High school,More than 2
Bad,27.2350468066949,Medium,5 or more,High school,More than 2
Bad,36.7954796095626,Low,5 or more,High school,More than 2
Bad,28.4619842416248,High,Less than 5,High school,None or 1
Bad,33.2752005313388,Low,5 or more,High school,More than 2
Bad,25.6227932823156,High,5 or more,College,More than 2
Bad,26.1097542000893,Medium,5 or more,High school,None or 1
Bad,27.8080202337392,Medium,Less than 5,College,None or 1
Bad,30.0733099510529,High,5 or more,High school,More than 2
Bad,33.9458111152019,Medium,Less than 5,High school,None or 1
Bad,26.9856761177933,Low,5 or more,College,More than 2
Bad,39.1471467536756,Low,5 or more,College,More than 2
Bad,26.9239307254485,Medium,5 or more,High school,More than 2
Bad,37.6555709629592,High,5 or more,College,More than 2
Bad,29.856128179206,Medium,5 or more,High school,More than 2
Bad,30.32974850904,Low,5 or more,College,More than 2
Bad,24.5251500089326,Medium,Less than 5,College,None or 1
Bad,20.9522648872667,Low,Less than 5,High school,More than 2
Bad,20.5861077659475,Medium,5 or more,High school,More than 2
Bad,37.6080242572382,High,5 or more,High school,More than 2
Bad,36.6145094864836,Low,5 or more,College,More than 2
Bad,24.1961061118138,Low,5 or more,High school,More than 2
Bad,22.9190061654561,Medium,5 or more,College,None or 1
Bad,29.4974100128746,Low,5 or more,High school,None or 1
Bad,23.6503128421697,Low,5 or more,High school,More than 2
Bad,38.9655735581111,Medium,5 or more,College,More than 2
Bad,21.5235098141231,Medium,Less than 5,High school,None or 1
Bad,34.8261854735421,Low,5 or more,College,More than 2
Bad,33.718670981827,Low,5 or more,High school,More than 2
