Name,Author,User Rating,Reviews,Price,Year,Genre,sales
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21,2010,Non Fiction,2252436
Becoming,Michelle Obama,4.8,61133,11,2018,Non Fiction,2881885
Becoming,Michelle Obama,4.8,61133,11,2019,Non Fiction,3408910
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15,2015,Non Fiction,2403680
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2015,Non Fiction,2615495
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2016,Non Fiction,2013289
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction,2750213
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13,2009,Fiction,2837016
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8,2010,Non Fiction,2041696
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,Fiction,2714761
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Fiction,3140211
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,2011,Fiction,3489691
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,2016,Non Fiction,2484005
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18,2019,Non Fiction,3379146
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,2014,Non Fiction,3512991
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2010,Fiction,2241695
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2011,Fiction,2317929
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2012,Fiction,2474192
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,2016,Non Fiction,3104743
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2009,Non Fiction,3192175
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2010,Non Fiction,2093374
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2011,Non Fiction,3073719
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,2018,Fiction,2317530
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,2015,Non Fiction,2249664
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,2015,Non Fiction,2113617
Cutting for Stone,Abraham Verghese,4.6,4866,11,2010,Fiction,3218924
Cutting for Stone,Abraham Verghese,4.6,4866,11,2011,Fiction,3235648
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10,2013,Non Fiction,3013065
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13,2013,Non Fiction,2716241
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4,2009,Fiction,2829195
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,2010,Fiction,2144300
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011,Fiction,2633581
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2015,Fiction,3025697
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2016,Fiction,2442874
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2017,Fiction,2356758
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2018,Fiction,3557710
Decision Points,George W. Bush,4.6,2137,17,2010,Non Fiction,3041340
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2010,Non Fiction,2223488
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2013,Non Fiction,2309760
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2014,Non Fiction,3107943
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,2013,Fiction,2528390
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,2009,Fiction,3308321
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,Fiction,2614874
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5,2019,Non Fiction,3046733
Divergent,Veronica Roth,4.6,27098,15,2013,Fiction,2223863
Divergent,Veronica Roth,4.6,27098,15,2014,Fiction,2826413
Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,Fiction,2776548
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6,2009,Non Fiction,2361862
Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013,Fiction,3348362
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,2009,Fiction,2862097
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6,2018,Fiction,2287797
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,2017,Fiction,2571089
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2018,Fiction,2548900
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2019,Fiction,2126428
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2019,Fiction,3169440
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2019,Fiction,2211458
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6,2018,Fiction,2116815
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20,2016,Fiction,2062748
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5,2015,Non Fiction,3088288
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,2010,Non Fiction,2392239
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1,2009,Non Fiction,2113164
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,14,2009,Non Fiction,3208143
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2011,Non Fiction,3251980
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2012,Non Fiction,2479285
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,2009,Fiction,2923365
Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,2009,Fiction,2813805
Educated: A Memoir,Tara Westover,4.7,28729,15,2018,Non Fiction,2367439
Educated: A Memoir,Tara Westover,4.7,28729,15,2019,Non Fiction,2418993
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,9,2015,Non Fiction,2136268
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Fiction,2626828
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2018,Fiction,3637814
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,2016,Fiction,3135824
Fear: Trump in the White House,Bob Woodward,4.4,6042,2,2018,Non Fiction,3435086
Fifty Shades Darker,E L James,4.4,23631,7,2012,Fiction,2120712
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11,2012,Fiction,2712422
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2012,Fiction,2384157
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2013,Fiction,3520614
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,2012,Fiction,2953347
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6,2018,Non Fiction,3470597
First 100 Words,Roger Priddy,4.7,17323,4,2014,Non Fiction,3595351
First 100 Words,Roger Priddy,4.7,17323,4,2015,Non Fiction,3433988
First 100 Words,Roger Priddy,4.7,17323,4,2016,Non Fiction,3281423
First 100 Words,Roger Priddy,4.7,17323,4,2017,Non Fiction,2692822
First 100 Words,Roger Priddy,4.7,17323,4,2018,Non Fiction,2032240
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2010,Non Fiction,2918013
Frozen (Little Golden Book),RH Disney,4.7,3642,0,2014,Fiction,2957645
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9,2010,Non Fiction,3258614
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2011,Fiction,3371646
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2012,Fiction,2465902
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2013,Fiction,2041514
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,Non Fiction,3097811
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16,2013,Non Fiction,2497630
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2015,Fiction,2373423
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2016,Fiction,2500387
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2017,Fiction,3385576
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2018,Fiction,2153840
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2019,Fiction,2328306
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12,2019,Non Fiction,2897074
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2018,Non Fiction,2224337
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2019,Non Fiction,3422709
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,11,2009,Non Fiction,3112773
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19,2015,Fiction,3207794
Go the F**k to Sleep,Adam Mansbach,4.8,9568,9,2011,Fiction,2550059
Going Rogue: An American Life,Sarah Palin,4.6,1636,6,2009,Non Fiction,2421617
Gone Girl,Gillian Flynn,4,57271,10,2012,Fiction,2859200
Gone Girl,Gillian Flynn,4,57271,10,2013,Fiction,2792942
Gone Girl,Gillian Flynn,4,57271,9,2014,Fiction,2894873
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2019,Non Fiction,3458697
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2009,Non Fiction,2883757
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2010,Non Fiction,2439770
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2011,Non Fiction,3528328
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2012,Non Fiction,2844944
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2017,Fiction,3086730
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2018,Fiction,2054540
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2019,Fiction,2141640
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2012,Fiction,2750875
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2013,Fiction,2878046
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10,2014,Non Fiction,2861342
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14,2015,Fiction,2208632
Guts,Raina Telgemeier,4.8,5476,7,2019,Non Fiction,2916431
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,2016,Non Fiction,3013853
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11,2013,Non Fiction,2754349
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,2016,Fiction,2976111
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4,23973,12,2016,Fiction,2200443
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18,2019,Fiction,3469165
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,2017,Fiction,2147274
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,2016,Fiction,2780617
Harry Potter Coloring Book,Scholastic,4.7,3564,9,2015,Non Fiction,2960824
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52,2016,Fiction,3519375
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4,2009,Non Fiction,3108893
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2011,Non Fiction,3363445
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2012,Non Fiction,2617867
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2016,Non Fiction,3430387
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2017,Non Fiction,2823597
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,22,2018,Non Fiction,2796734
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2014,Non Fiction,3318289
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2015,Non Fiction,2761570
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2016,Non Fiction,2638759
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2017,Non Fiction,3197098
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2018,Non Fiction,3495012
Howard Stern Comes Again,Howard Stern,4.3,5272,16,2019,Non Fiction,2536504
Humans of New York,Brandon Stanton,4.8,3490,15,2013,Non Fiction,3536067
Humans of New York,Brandon Stanton,4.8,3490,15,2014,Non Fiction,2170224
Humans of New York : Stories,Brandon Stanton,4.9,2812,17,2015,Non Fiction,3001795
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,17,2013,Non Fiction,2446886
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7,2019,Non Fiction,3079679
"I, Alex Cross",James Patterson,4.6,1320,7,2009,Fiction,2232551
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2017,Fiction,2144425
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2019,Fiction,2547432
If I Stay,Gayle Forman,4.3,7153,9,2014,Fiction,3304319
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,21,2011,Non Fiction,3291848
Inferno,Dan Brown,4.1,29651,14,2013,Fiction,2079100
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,20,2011,Fiction,2306820
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2019,Non Fiction,2432867
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2018,Non Fiction,2735202
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12,2019,Non Fiction,2333705
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2011,Non Fiction,3419017
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2012,Non Fiction,2144235
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2013,Non Fiction,2483840
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2014,Non Fiction,2346518
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2015,Non Fiction,2677577
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2016,Non Fiction,2701700
JOURNEY TO THE ICE P,RH Disney,4.6,978,0,2014,Fiction,3210955
Joyland (Hard Case Crime),Stephen King,4.5,4748,12,2013,Fiction,2653170
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17,2017,Non Fiction,2121985
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,2013,Non Fiction,3346872
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25,2012,Non Fiction,2079942
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2011,Non Fiction,3472113
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2012,Non Fiction,2381796
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,6,2014,Non Fiction,3635341
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5,2015,Non Fiction,3012083
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,6,2016,Non Fiction,2922385
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8,2018,Non Fiction,2600935
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2013,Non Fiction,2172626
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2014,Non Fiction,2807479
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2015,Non Fiction,2226990
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881,13,2018,Fiction,3294946
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2013,Non Fiction,3639733
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2014,Non Fiction,2542702
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2015,Non Fiction,2338000
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2016,Non Fiction,2495744
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2017,Non Fiction,3465769
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,2013,Non Fiction,2759250
Leonardo da Vinci,Walter Isaacson,4.5,3014,21,2017,Non Fiction,2678210
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6,2018,Non Fiction,2097399
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15,2009,Non Fiction,2840420
Life,Keith Richards,4.5,2752,18,2010,Non Fiction,2582203
Little Bee: A Novel,Chris Cleave,4.1,1467,10,2010,Fiction,2242163
Little Blue Truck,Alice Schertle,4.9,1884,0,2014,Fiction,2226177
Little Fires Everywhere,Celeste Ng,4.5,25706,12,2018,Fiction,2317150
Looking for Alaska,John Green,4.5,8491,7,2014,Fiction,3122509
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011,Non Fiction,3510326
Love You Forever,Robert Munsch,4.8,18613,5,2014,Fiction,2349219
Love You Forever,Robert Munsch,4.8,18613,5,2015,Fiction,2563079
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,16,2018,Non Fiction,2252399
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,2014,Non Fiction,3648208
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11,2017,Non Fiction,2795827
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,27,2009,Non Fiction,2889493
Milk and Honey,Rupi Kaur,4.7,17739,8,2016,Non Fiction,2336931
Milk and Honey,Rupi Kaur,4.7,17739,8,2017,Non Fiction,2679088
Milk and Honey,Rupi Kaur,4.7,17739,8,2018,Non Fiction,2353508
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,2017,Non Fiction,3376667
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2014,Non Fiction,3414346
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2015,Non Fiction,2041558
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2016,Non Fiction,2371665
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2010,Fiction,2730412
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2011,Fiction,3399775
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2012,Fiction,3036876
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16,2019,Non Fiction,2332553
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11,2019,Non Fiction,3594474
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,2009,Fiction,2926406
Night (Night),Elie Wiesel,4.7,5178,9,2016,Non Fiction,2131184
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14,2012,Non Fiction,2137975
Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,2017,Non Fiction,3127973
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2012,Fiction,3489180
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2013,Fiction,2206234
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2014,Fiction,2598765
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2015,Fiction,3069863
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2016,Fiction,2257475
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2017,Fiction,2117463
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2018,Fiction,2276194
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2019,Fiction,2176896
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7,2015,Fiction,2904443
Olive Kitteridge,Elizabeth Strout,4.2,4519,12,2009,Fiction,2370372
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2011,Non Fiction,3373239
