Customer_id,Acquisition_Dte,Acquisition_channel,Amount
7791064,29-Sep-09,Sales,105
7791060,29-Sep-09,Sales,350
7791056,29-Sep-09,Sales,35
7791052,29-Sep-09,Sales,315
7791048,29-Sep-09,Sales,140
7791044,29-Sep-09,Sales,350
7791040,29-Sep-09,Sales,380
7791034,29-Sep-09,Sales,350
7791028,29-Sep-09,Sales,35
7791022,29-Sep-09,Sales,315
7791010,29-Sep-09,Web,350
7790976,29-Sep-09,Sales,315
7790972,29-Sep-09,Sales,70
7790968,29-Sep-09,Sales,345
7790964,29-Sep-09,Sales,315
7790928,29-Sep-09,Web,35
7790910,29-Sep-09,Web,350
7790902,29-Sep-09,TV Ad,400
7790876,29-Sep-09,Web,365
7790836,29-Sep-09,Sales,485
7790828,29-Sep-09,Sales,315
7790822,29-Sep-09,Sales,315
7790816,29-Sep-09,Sales,490
7790812,29-Sep-09,Sales,350
7790808,29-Sep-09,Sales,315
7790804,29-Sep-09,Sales,210
7790800,29-Sep-09,Sales,175
7790796,29-Sep-09,Sales,225
7790790,29-Sep-09,Sales,315
7790786,29-Sep-09,Sales,315
7790780,29-Sep-09,Sales,210
7790776,29-Sep-09,Sales,280
7790770,29-Sep-09,Sales,315
7790766,29-Sep-09,Sales,175
7790762,29-Sep-09,Sales,245
7790758,29-Sep-09,Sales,245
7790754,29-Sep-09,Sales,315
7790750,29-Sep-09,Sales,700
7790744,29-Sep-09,Sales,70
7790688,29-Sep-09,Sales,315
7790672,29-Sep-09,Sales,315
7790668,29-Sep-09,Sales,350
7790664,29-Sep-09,Sales,245
7790660,29-Sep-09,Sales,350
7790656,29-Sep-09,Sales,300
7790652,29-Sep-09,Sales,900
7790648,29-Sep-09,Sales,315
7790552,29-Sep-09,Sales,800
7790546,29-Sep-09,Sales,140
7790542,29-Sep-09,Sales,350
7790538,29-Sep-09,Sales,245
7790534,29-Sep-09,Sales,350
7790530,29-Sep-09,Sales,315
7790500,29-Sep-09,Sales,245
7790496,29-Sep-09,Sales,315
7790492,29-Sep-09,Sales,315
7790486,29-Sep-09,Sales,175
7790482,29-Sep-09,Sales,315
7790478,29-Sep-09,Sales,35
7790474,29-Sep-09,Sales,350
7790470,29-Sep-09,Sales,350
7790466,29-Sep-09,Sales,315
7790462,29-Sep-09,Sales,350
7790458,29-Sep-09,Sales,280
7790454,29-Sep-09,Sales,315
7790448,29-Sep-09,Sales,315
7790440,29-Sep-09,Sales,210
7790436,29-Sep-09,Sales,350
7790432,29-Sep-09,Sales,70
7790428,29-Sep-09,Sales,350
7790424,29-Sep-09,Sales,315
7790418,29-Sep-09,Sales,105
7790414,29-Sep-09,Sales,315
7790408,29-Sep-09,Sales,350
7790404,29-Sep-09,Sales,315
7790400,29-Sep-09,Sales,140
7790390,29-Sep-09,Sales,700
7790288,29-Sep-09,TV Ad,40
7790234,29-Sep-09,Sales,400
7790222,29-Sep-09,TV Ad,450
7790174,29-Sep-09,Sales,350
7790154,29-Sep-09,Web,540
7790142,29-Sep-09,Web,115
7790078,29-Sep-09,Web,642
7790070,29-Sep-09,Web,350
7790064,28-Sep-09,Web,285
7790060,28-Sep-09,Web,3325
7790020,28-Sep-09,Web,335
7790016,28-Sep-09,Web,285
7790012,28-Sep-09,Web,400
7790002,28-Sep-09,Web,715
7789964,28-Sep-09,TV Ad,360
7789890,28-Sep-09,TV Ad,70
7789844,28-Sep-09,Sales,350
7789782,28-Sep-09,Sales,350
7789778,28-Sep-09,Sales,380
7789774,28-Sep-09,Sales,350
7789768,28-Sep-09,TV Ad,105
7789734,28-Sep-09,TV Ad,315
7789726,28-Sep-09,Sales,315
7789722,28-Sep-09,Sales,280
7789718,28-Sep-09,Sales,350
7789714,28-Sep-09,Sales,570
7789710,28-Sep-09,Sales,335
7789706,28-Sep-09,Sales,350
7789690,28-Sep-09,Sales,35
7789672,28-Sep-09,Sales,315
7789666,28-Sep-09,Sales,175
7789662,28-Sep-09,Sales,105
7789658,28-Sep-09,Sales,350
7789654,28-Sep-09,Sales,140
7789650,28-Sep-09,Sales,620
7789646,28-Sep-09,Sales,210
7789642,28-Sep-09,Sales,105
7789638,28-Sep-09,Sales,315
7789634,28-Sep-09,Sales,70
7789630,28-Sep-09,Sales,315
7789618,28-Sep-09,Sales,350
7789614,28-Sep-09,Sales,450
7789610,28-Sep-09,Sales,350
7789604,28-Sep-09,Sales,105
7789600,28-Sep-09,Sales,140
7789596,28-Sep-09,Sales,315
7789590,28-Sep-09,Sales,315
7789586,28-Sep-09,Sales,280
7789582,28-Sep-09,Sales,35
7789578,28-Sep-09,Sales,330
7789572,28-Sep-09,Sales,350
7789568,28-Sep-09,Sales,70
7789562,28-Sep-09,Sales,140
7789558,28-Sep-09,Web,400
7789550,28-Sep-09,Web,305
7789488,28-Sep-09,Sales,210
7789478,28-Sep-09,TV Ad,350
7789470,28-Sep-09,Web,315
7789352,28-Sep-09,TV Ad,40
7789344,28-Sep-09,Web,350
7789340,27-Sep-09,Web,750
7789336,27-Sep-09,Web,360
7789332,27-Sep-09,Web,400
7789328,27-Sep-09,Web,350
7789320,27-Sep-09,Web,280
7789316,27-Sep-09,Web,800
7789310,27-Sep-09,Web,160
7789306,27-Sep-09,TV Ad,315
7789302,27-Sep-09,Web,400
7789286,26-Sep-09,Web,480
7789282,26-Sep-09,Web,460
7789274,26-Sep-09,TV Ad,40
7789268,26-Sep-09,Web,315
7789258,26-Sep-09,TV Ad,140
7787070,26-Sep-09,TV Ad,350
7787054,25-Sep-09,Web,350
7787050,25-Sep-09,Web,400
7787038,25-Sep-09,Web,280
7787032,25-Sep-09,Web,350
7787006,25-Sep-09,Sales,350
7786996,25-Sep-09,Sales,350
7786982,25-Sep-09,Sales,350
7786972,25-Sep-09,Sales,315
7786968,25-Sep-09,Web,520
7786902,25-Sep-09,Web,390
7786842,25-Sep-09,TV Ad,380
7786832,25-Sep-09,Web,430
7786802,25-Sep-09,Web,350
7786798,25-Sep-09,TV Ad,280
7786786,25-Sep-09,TV Ad,210
7786780,25-Sep-09,Sales,350
7786776,25-Sep-09,Sales,350
7786772,25-Sep-09,Sales,570
7786768,25-Sep-09,Sales,35
7786764,25-Sep-09,Web,350
7786638,25-Sep-09,Sales,315
7786634,25-Sep-09,Sales,280
7786630,25-Sep-09,Sales,315
7786626,25-Sep-09,Sales,350
7786622,25-Sep-09,Sales,395
7786612,25-Sep-09,Sales,70
7786608,25-Sep-09,Sales,475
7786604,25-Sep-09,Sales,35
7786598,25-Sep-09,Sales,470
7786594,25-Sep-09,Sales,315
7786586,25-Sep-09,Sales,210
7786582,25-Sep-09,Sales,360
7786576,25-Sep-09,Sales,315
7786570,25-Sep-09,Sales,315
7786562,25-Sep-09,Sales,245
7786558,25-Sep-09,Sales,570
7786554,25-Sep-09,Sales,315
7786550,25-Sep-09,Sales,280
7786544,25-Sep-09,Sales,350
7786540,25-Sep-09,Sales,70
7786534,25-Sep-09,Sales,560
7786530,25-Sep-09,Sales,350
7786526,25-Sep-09,Sales,350
7786436,25-Sep-09,Sales,35
7786426,25-Sep-09,TV Ad,295
7786338,24-Sep-09,Web,350
7786334,24-Sep-09,Web,245
7786326,24-Sep-09,Web,350
7786318,24-Sep-09,Web,340
7786314,24-Sep-09,Web,350
7786274,24-Sep-09,Web,500
7786216,24-Sep-09,Web,450
7786208,24-Sep-09,Web,980
7786184,24-Sep-09,Web,350
7786058,24-Sep-09,Web,350
7785796,24-Sep-09,TV Ad,315
7785684,24-Sep-09,Web,350
7785620,24-Sep-09,Sales,70
7785470,24-Sep-09,TV Ad,380
7785416,24-Sep-09,TV Ad,350
7785228,24-Sep-09,Web,315
7785142,24-Sep-09,Web,570
7785122,23-Sep-09,Web,350
7785104,23-Sep-09,Web,400
7785028,23-Sep-09,Sales,315
7785020,23-Sep-09,Sales,140
7785016,23-Sep-09,Sales,350
7784968,23-Sep-09,Sales,70
7784958,23-Sep-09,Sales,350
7784940,23-Sep-09,Sales,35
7784904,23-Sep-09,Sales,430
7784900,23-Sep-09,TV Ad,480
7784826,23-Sep-09,Sales,360
7784810,23-Sep-09,Sales,375
7784752,23-Sep-09,Sales,280
7784738,23-Sep-09,Sales,540
7784732,23-Sep-09,Sales,350
7784722,23-Sep-09,TV Ad,37
7784712,23-Sep-09,Sales,380
7784586,23-Sep-09,TV Ad,35
7784522,23-Sep-09,Web,350
7784436,23-Sep-09,Sales,175
7784424,23-Sep-09,Web,280
7784406,23-Sep-09,Web,455
7784364,23-Sep-09,TV Ad,350
7784356,23-Sep-09,TV Ad,400
7784338,23-Sep-09,Sales,105
7784332,23-Sep-09,Sales,315
7784328,23-Sep-09,Sales,350
7784320,23-Sep-09,Sales,365
7784312,23-Sep-09,Sales,315
7784308,23-Sep-09,Sales,315
7784302,23-Sep-09,Web,70
7784262,23-Sep-09,Sales,315
7784258,23-Sep-09,Sales,350
7784254,23-Sep-09,Sales,350
7784226,23-Sep-09,Sales,245
7784186,23-Sep-09,Sales,35
7784164,23-Sep-09,Sales,380
7784160,23-Sep-09,Sales,350
7784156,23-Sep-09,Sales,700
7784152,23-Sep-09,Sales,350
7784148,23-Sep-09,Sales,315
7784144,23-Sep-09,Sales,700
7784140,23-Sep-09,Sales,700
7784136,23-Sep-09,Sales,245
7784132,23-Sep-09,Sales,350
7784128,23-Sep-09,Sales,350
7784124,23-Sep-09,Sales,350
7784120,23-Sep-09,Sales,350
7784116,23-Sep-09,Sales,70
7784110,23-Sep-09,Sales,410
7784106,23-Sep-09,Sales,350
7784102,23-Sep-09,Sales,350
7784098,23-Sep-09,Sales,315
7784094,23-Sep-09,Sales,315
7784090,23-Sep-09,Sales,210
7784082,23-Sep-09,Sales,315
7784078,23-Sep-09,Sales,315
7784070,23-Sep-09,Sales,35
7784064,23-Sep-09,Sales,70
7784060,23-Sep-09,Sales,105
7784056,23-Sep-09,Sales,315
7784046,23-Sep-09,Sales,315
7784026,23-Sep-09,Sales,380
7784014,23-Sep-09,Sales,70
7784006,23-Sep-09,Sales,350
7783966,23-Sep-09,Sales,350
7783962,23-Sep-09,Sales,35
7783944,23-Sep-09,Web,510
7783936,23-Sep-09,Sales,245
7783922,23-Sep-09,Sales,350
7783870,23-Sep-09,Sales,105
7783820,23-Sep-09,Web,350
7783816,23-Sep-09,Web,450
7783812,22-Sep-09,Web,750
7783808,22-Sep-09,TV Ad,400
7783802,22-Sep-09,Web,440
7783798,22-Sep-09,Sales,345
7783794,22-Sep-09,TV Ad,400
7783786,22-Sep-09,TV Ad,430
7783780,22-Sep-09,Web,175
7783668,22-Sep-09,TV Ad,245
7783658,22-Sep-09,TV Ad,465
7783642,22-Sep-09,TV Ad,120
7783488,22-Sep-09,TV Ad,420
7783472,22-Sep-09,Sales,380
7783466,22-Sep-09,Sales,350
7783460,22-Sep-09,Sales,315
7783456,22-Sep-09,Sales,365
7783452,22-Sep-09,Sales,315
7783448,22-Sep-09,Sales,350
7783444,22-Sep-09,Sales,350
7783440,22-Sep-09,Sales,280
7783436,22-Sep-09,Sales,350
7783432,22-Sep-09,Sales,350
7783428,22-Sep-09,Sales,90
7783424,22-Sep-09,Sales,350
7783416,22-Sep-09,Sales,140
7783412,22-Sep-09,Sales,140
7783408,22-Sep-09,Sales,510
7783404,22-Sep-09,Sales,450
7783398,22-Sep-09,Sales,315
7783394,22-Sep-09,Sales,350
7783388,22-Sep-09,Sales,105
7783384,22-Sep-09,Sales,435
7783380,22-Sep-09,Sales,350
7783230,22-Sep-09,Sales,350
7783226,22-Sep-09,Sales,350
7783222,22-Sep-09,Sales,350
7783204,22-Sep-09,TV Ad,240
7783164,22-Sep-09,Web,400
7783110,22-Sep-09,Sales,315
7783086,22-Sep-09,TV Ad,390
7783074,22-Sep-09,Sales,315
7783038,22-Sep-09,Sales,385
7783026,22-Sep-09,Sales,380
7783000,22-Sep-09,Sales,390
7782986,22-Sep-09,Sales,700
7782950,22-Sep-09,Sales,350
7782940,22-Sep-09,Sales,380
7782714,22-Sep-09,Web,570
7782704,22-Sep-09,Sales,105
7782698,22-Sep-09,Sales,315
7782692,22-Sep-09,Web,460
7782668,22-Sep-09,Web,750
7782662,22-Sep-09,TV Ad,350
7782618,22-Sep-09,Sales,175
7782374,22-Sep-09,Web,35
7782370,22-Sep-09,Web,350
7782366,21-Sep-09,Web,400
7782348,21-Sep-09,TV Ad,365
7782344,21-Sep-09,Web,400
7782260,21-Sep-09,Sales,350
7782180,21-Sep-09,Sales,350
7782128,21-Sep-09,Sales,160
7782124,21-Sep-09,TV Ad,460
7782112,21-Sep-09,Sales,70
7781974,21-Sep-09,Sales,280
7781940,21-Sep-09,Sales,350
7781908,21-Sep-09,Sales,350
7781832,21-Sep-09,Sales,70
7781826,21-Sep-09,Sales,350
7781822,21-Sep-09,Sales,350
7781818,21-Sep-09,Sales,350
7781770,21-Sep-09,Web,420
7781668,21-Sep-09,Sales,350
7781662,21-Sep-09,Sales,280
7781658,21-Sep-09,Sales,700
7781652,21-Sep-09,Sales,245
7781648,21-Sep-09,Sales,350
7781644,21-Sep-09,Sales,700
7781640,21-Sep-09,Sales,350
7781636,21-Sep-09,Sales,210
7781632,21-Sep-09,Sales,315
7781628,21-Sep-09,Sales,315
7781622,21-Sep-09,Sales,315
7781618,21-Sep-09,Sales,350
7781614,21-Sep-09,Sales,350
7781610,21-Sep-09,Sales,35
7781606,21-Sep-09,Sales,350
7781602,21-Sep-09,Sales,700
7781594,21-Sep-09,Sales,140
7781590,21-Sep-09,Sales,280
7781586,21-Sep-09,Sales,105
7781582,21-Sep-09,Sales,350
7781576,21-Sep-09,Sales,800
7781572,21-Sep-09,Sales,245
7781568,21-Sep-09,Sales,350
7781282,21-Sep-09,Web,350
7781266,21-Sep-09,Web,320
7781258,21-Sep-09,Web,315
7781254,21-Sep-09,Web,70
7781250,21-Sep-09,Web,450
7781244,21-Sep-09,Web,440
7781240,20-Sep-09,Web,440
7781234,20-Sep-09,Web,430
7781210,20-Sep-09,TV Ad,465
7781204,19-Sep-09,Web,350
7781200,19-Sep-09,Web,315
7781192,19-Sep-09,TV Ad,1800
7781186,19-Sep-09,Web,350
7781180,19-Sep-09,Web,400
7779024,18-Sep-09,Web,210
7778984,18-Sep-09,Sales,350
7778940,18-Sep-09,Sales,380
7778930,18-Sep-09,Web,515
7778772,18-Sep-09,Sales,315
7778744,18-Sep-09,Sales,350
7778596,18-Sep-09,Web,400
7778514,18-Sep-09,Sales,350
7778470,18-Sep-09,TV Ad,800
7778466,18-Sep-09,Sales,35
7778460,18-Sep-09,Sales,315
7778454,18-Sep-09,Sales,315
7778450,18-Sep-09,Sales,105
7778446,18-Sep-09,Sales,70
7778408,18-Sep-09,Sales,385
7778404,18-Sep-09,Sales,350
7778400,18-Sep-09,Sales,315
7778396,18-Sep-09,Sales,700
7778392,18-Sep-09,Sales,560
7778388,18-Sep-09,Sales,315
7778382,18-Sep-09,Sales,350
7778378,18-Sep-09,Sales,350
7778374,18-Sep-09,Sales,350
7778370,18-Sep-09,Sales,350
7778366,18-Sep-09,Sales,350
7778362,18-Sep-09,Sales,350
7778358,18-Sep-09,Sales,70
7778354,18-Sep-09,Sales,315
7778350,18-Sep-09,Sales,350
7778346,18-Sep-09,Sales,315
7778342,18-Sep-09,Sales,350
7778338,18-Sep-09,Sales,315
7778314,18-Sep-09,TV Ad,175
7778288,18-Sep-09,TV Ad,450
7778264,18-Sep-09,Sales,350
7778200,18-Sep-09,Sales,380
7778196,18-Sep-09,Sales,40
7778188,18-Sep-09,Sales,210
7778182,18-Sep-09,Sales,350
7778178,18-Sep-09,Sales,350
7778112,18-Sep-09,Web,350
7778090,18-Sep-09,Sales,35
7778076,18-Sep-09,Sales,460
7778066,18-Sep-09,Sales,210
7778060,18-Sep-09,Sales,280
7778024,18-Sep-09,Sales,245
7778020,18-Sep-09,Sales,350
7778016,18-Sep-09,Sales,440
7778010,18-Sep-09,Sales,800
7778006,18-Sep-09,Sales,140
7778002,18-Sep-09,Sales,350
7777998,18-Sep-09,Sales,350
7777994,18-Sep-09,Sales,700
7777990,18-Sep-09,Sales,280
7777986,18-Sep-09,Sales,70
7777982,18-Sep-09,Sales,350
7777978,18-Sep-09,Sales,350
7777974,18-Sep-09,Sales,350
7777968,18-Sep-09,Sales,105
7777964,18-Sep-09,Sales,315
7777960,18-Sep-09,Sales,350
7777956,18-Sep-09,Sales,35
7777952,18-Sep-09,Sales,380
7777944,18-Sep-09,Sales,350
7777940,18-Sep-09,Sales,400
7777854,18-Sep-09,TV Ad,420
7777636,18-Sep-09,Web,350
7777632,17-Sep-09,Web,400
7777620,17-Sep-09,Web,395
7777562,17-Sep-09,Web,460
7777484,17-Sep-09,Web,400
7777468,17-Sep-09,Sales,350
7777180,17-Sep-09,Sales,350
7777176,17-Sep-09,Sales,350
7777172,17-Sep-09,Sales,350
7777134,17-Sep-09,Sales,40
7777074,17-Sep-09,TV Ad,440
7776808,17-Sep-09,TV Ad,440
7776780,17-Sep-09,TV Ad,370
7776646,17-Sep-09,Web,425
7776596,17-Sep-09,Sales,315
7776516,17-Sep-09,Sales,350
7776346,17-Sep-09,TV Ad,350
7776278,17-Sep-09,Sales,350
7776264,17-Sep-09,Sales,140
7776166,17-Sep-09,Web,400
7776162,17-Sep-09,Web,385
7776158,16-Sep-09,Web,385
7776116,16-Sep-09,Web,90
7776110,16-Sep-09,Web,500
7776022,16-Sep-09,Sales,350
7776000,16-Sep-09,Sales,350
7775878,16-Sep-09,Sales,350
7775864,16-Sep-09,Sales,350
7775852,16-Sep-09,Sales,245
7775834,16-Sep-09,Web,350
7775826,16-Sep-09,Sales,370
7775800,16-Sep-09,Sales,375
7775784,16-Sep-09,Sales,70
7775776,16-Sep-09,Sales,350
7775740,16-Sep-09,Sales,70
7775736,16-Sep-09,Sales,350
7775708,16-Sep-09,Sales,350
7775654,16-Sep-09,Sales,280
7775618,16-Sep-09,Sales,420
7775612,16-Sep-09,TV Ad,280
7775608,16-Sep-09,TV Ad,400
7775584,16-Sep-09,Sales,350
7775578,16-Sep-09,Sales,175
7775568,16-Sep-09,Sales,420
7775536,16-Sep-09,Sales,105
7775524,16-Sep-09,Web,315
7775496,16-Sep-09,TV Ad,180
7775388,16-Sep-09,TV Ad,350
7775302,16-Sep-09,Sales,350
7775298,16-Sep-09,Sales,350
7775290,16-Sep-09,Sales,350
7775286,16-Sep-09,Sales,350
7775282,16-Sep-09,Sales,245
7775278,16-Sep-09,Sales,350
7775274,16-Sep-09,Sales,245
7775270,16-Sep-09,Sales,350
7775050,15-Sep-09,Web,440
7775044,15-Sep-09,Web,385
7775036,15-Sep-09,Web,370
7775032,15-Sep-09,Web,385
7775028,15-Sep-09,Web,315
7774986,15-Sep-09,Sales,350
7774982,15-Sep-09,Sales,350
7774978,15-Sep-09,Sales,450
7774926,15-Sep-09,Sales,175
7774920,15-Sep-09,Sales,350
7774916,15-Sep-09,Sales,175
7774912,15-Sep-09,Sales,350
7774906,15-Sep-09,Sales,315
7774900,15-Sep-09,Sales,35
7774894,15-Sep-09,Sales,175
7774890,15-Sep-09,Sales,350
7774886,15-Sep-09,Sales,315
7774882,15-Sep-09,Sales,700
7774874,15-Sep-09,Sales,350
7774870,15-Sep-09,Sales,350
7774866,15-Sep-09,Sales,70
7774858,15-Sep-09,Sales,105
7774854,15-Sep-09,Sales,420
7774846,15-Sep-09,Sales,700
7774792,15-Sep-09,TV Ad,430
7774788,15-Sep-09,Sales,350
7774780,15-Sep-09,Sales,105
7774776,15-Sep-09,Sales,315
7774770,15-Sep-09,Sales,730
7774766,15-Sep-09,Sales,350
7774722,15-Sep-09,Sales,350
7774718,15-Sep-09,Sales,105
7774714,15-Sep-09,Sales,315
7774710,15-Sep-09,Sales,350
7774704,15-Sep-09,Sales,350
7774700,15-Sep-09,Sales,350
7774696,15-Sep-09,Sales,350
7774692,15-Sep-09,Sales,280
7774688,15-Sep-09,Sales,350
7774682,15-Sep-09,Sales,350
7774678,15-Sep-09,Sales,350
7774670,15-Sep-09,Sales,175
7774666,15-Sep-09,Sales,35
7774662,15-Sep-09,Sales,480
7774658,15-Sep-09,Sales,350
7774654,15-Sep-09,Sales,70
7774650,15-Sep-09,Sales,350
7774644,15-Sep-09,Sales,350
7774470,15-Sep-09,Sales,350
7774410,15-Sep-09,Sales,350
7774390,15-Sep-09,Web,350
7774230,15-Sep-09,Sales,350
7774198,15-Sep-09,Sales,175
7774194,15-Sep-09,Web,280
7774190,15-Sep-09,Sales,350
7774100,15-Sep-09,TV Ad,40
7773872,15-Sep-09,Web,70
7773838,15-Sep-09,Sales,350
7773830,15-Sep-09,Sales,280
7773640,14-Sep-09,Web,360
7773628,14-Sep-09,Web,400
7773624,14-Sep-09,Web,280
7773620,14-Sep-09,Web,1135
7773616,14-Sep-09,Web,245
7773612,14-Sep-09,TV Ad,360
7773578,14-Sep-09,Sales,350
7773572,14-Sep-09,Sales,175
7773564,14-Sep-09,Sales,385
7773552,14-Sep-09,Sales,350
7773480,14-Sep-09,Sales,385
7773432,14-Sep-09,Web,385
7773418,14-Sep-09,Web,400
7773390,14-Sep-09,Web,440
7773376,14-Sep-09,Web,505
7773364,14-Sep-09,Web,465
7773350,14-Sep-09,TV Ad,245
7773346,14-Sep-09,Web,400
7773342,14-Sep-09,Sales,210
7773326,14-Sep-09,Sales,210
7773316,14-Sep-09,Sales,175
7773312,14-Sep-09,Sales,140
7773274,14-Sep-09,Sales,140
7773210,14-Sep-09,Sales,315
7773206,14-Sep-09,Sales,350
7773202,14-Sep-09,Sales,385
7773196,14-Sep-09,Sales,350
7773172,14-Sep-09,Sales,140
7773168,14-Sep-09,Sales,105
7773164,14-Sep-09,Sales,400
7773160,14-Sep-09,Sales,350
7773156,14-Sep-09,Sales,380
7773064,14-Sep-09,Sales,400
7773060,14-Sep-09,Sales,420
7773056,14-Sep-09,Sales,350
7773052,14-Sep-09,Sales,350
7773044,14-Sep-09,Sales,350
7773038,14-Sep-09,Sales,350
7773032,14-Sep-09,Sales,350
7773028,14-Sep-09,Sales,315
7773024,14-Sep-09,Sales,350
7773020,14-Sep-09,Sales,700
7773016,14-Sep-09,Sales,140
7773010,14-Sep-09,Sales,35
7773006,14-Sep-09,Sales,350
7773002,14-Sep-09,Sales,350
7772998,14-Sep-09,Sales,380
7772990,14-Sep-09,Sales,700
7772912,14-Sep-09,Sales,35
7772852,13-Sep-09,Web,385
7772848,13-Sep-09,Web,385
7772844,13-Sep-09,Web,440
7772834,13-Sep-09,Web,400
7772830,13-Sep-09,Web,385
7772826,13-Sep-09,Web,350
7772806,13-Sep-09,TV Ad,350
7772786,13-Sep-09,TV Ad,350
7772782,13-Sep-09,TV Ad,380
7772748,12-Sep-09,Web,315
7772744,12-Sep-09,Web,70
7772732,12-Sep-09,Web,385
7772722,12-Sep-09,Web,350
7772710,12-Sep-09,Web,385
7770574,12-Sep-09,TV Ad,240
7770568,12-Sep-09,TV Ad,440
7770564,12-Sep-09,Web,160
7770560,11-Sep-09,Web,435
7770552,11-Sep-09,Web,665
7770548,11-Sep-09,Web,400
7770502,11-Sep-09,Sales,350
7770496,11-Sep-09,Sales,435
7770398,11-Sep-09,Sales,380
7770388,11-Sep-09,Sales,350
7770380,11-Sep-09,Sales,350
7770372,11-Sep-09,Sales,750
7770360,11-Sep-09,Sales,415
7770356,11-Sep-09,Sales,600
7770342,11-Sep-09,Sales,350
7770334,11-Sep-09,Sales,35
7770290,11-Sep-09,Sales,70
7770274,11-Sep-09,Web,385
7770136,11-Sep-09,Sales,35
7770120,11-Sep-09,Sales,605
7770040,11-Sep-09,TV Ad,440
7770036,11-Sep-09,Sales,350
7770032,11-Sep-09,Sales,350
7770012,11-Sep-09,Sales,350
7770008,11-Sep-09,Sales,245
7770004,11-Sep-09,Sales,440
7770000,11-Sep-09,Sales,450
7769996,11-Sep-09,Sales,140
7769992,11-Sep-09,Sales,315
7769986,11-Sep-09,Sales,350
7769982,11-Sep-09,Sales,385
7769976,11-Sep-09,Sales,315
7769970,11-Sep-09,Sales,350
7769966,11-Sep-09,Sales,315
7769958,11-Sep-09,Sales,70
7769954,11-Sep-09,Sales,350
7769948,11-Sep-09,Sales,315
7769944,11-Sep-09,Sales,210
7769940,11-Sep-09,Sales,315
7769936,11-Sep-09,Sales,350
7769932,11-Sep-09,Sales,350
7769928,11-Sep-09,Sales,350
7769924,11-Sep-09,Sales,35
7769920,11-Sep-09,Sales,175
7769916,11-Sep-09,Sales,350
7769884,11-Sep-09,TV Ad,425
7769878,11-Sep-09,TV Ad,105
7769792,11-Sep-09,TV Ad,365
7769754,11-Sep-09,Sales,245
7769750,11-Sep-09,Sales,420
7769746,11-Sep-09,Sales,350
7769740,11-Sep-09,Sales,350
7769718,11-Sep-09,Sales,350
7769702,11-Sep-09,Sales,550
7769698,11-Sep-09,Sales,315
