product,division,product_category,customer,country,sales_Org,year/month,year,month,costs,discount,net_sales,revenue,sales_quantity
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,APR 2009,2009,4,350.00,23.81,769.62,793.43,25 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUL 2009,2009,7,364.00,24.75,800.41,825.16,26 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,AUG 2010,2010,8,364.00,25.13,812.29,837.42,26 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,AUG 2011,2011,8,378.00,26.49,856.23,882.71,27 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUL 2008,2008,7,392.00,26.27,849.17,875.44,28 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,AUG 2008,2008,8,392.00,26.26,849.18,875.44,28 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,MAY 2008,2008,5,420.00,28.14,909.83,937.97,30 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUN 2008,2008,6,434.00,29.08,940.15,969.24,31 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,MAY 2010,2010,5,448.00,30.92,999.75,1030.66,32 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUN 2010,2010,6,448.00,30.92,999.75,1030.66,32 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUL 2010,2010,7,462.00,31.90,1030.97,1062.87,33 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,APR 2007,2007,4,476.00,31.41,1015.60,1047.01,34 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUN 2009,2009,6,616.00,41.89,1354.54,1396.43,44 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUN 2007,2007,6,700.00,46.20,1493.52,1539.72,50 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUN 2011,2011,6,700.00,49.04,1585.61,1634.65,50 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,MAY 2007,2007,5,728.00,48.04,1553.27,1601.31,52 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,APR 2007,2007,4,700.00,49.50,1600.50,1650.00,1 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,MAY 2007,2007,5,700.00,49.50,1600.50,1650.00,1 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,JUN 2007,2007,6,700.00,49.50,1600.50,1650.00,1 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,JUN 2008,2008,6,700.00,50.24,1624.51,1674.75,1 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,MAY 2009,2009,5,700.00,50.99,1648.88,1699.88,1 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,APR 2010,2010,4,700.00,51.76,1673.61,1725.36,1 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,MAY 2011,2011,5,700.00,52.54,1698.70,1751.24,1 
City Bike Max,BI,TRE,Airport Bikes,DE,Germany South,JUN 2011,2011,6,700.00,52.54,1698.70,1751.24,1 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,FEB 2007,2007,2,1000.00,56.10,1813.91,1870.01,1 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JAN 2008,2008,1,1000.00,56.94,1841.11,1898.05,1 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,NOV 2009,2009,11,1000.00,57.79,1868.73,1926.52,1 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,DEC 2009,2009,12,1000.00,57.79,1868.73,1926.52,1 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,DEC 2007,2007,12,2000.00,112.20,3627.81,3740.01,2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,FEB 2008,2008,2,2000.00,113.89,3682.22,3796.11,2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,DEC 2008,2008,12,2000.00,113.89,3682.22,3796.11,2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,OCT 2009,2009,10,2000.00,115.60,3737.44,3853.04,2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JAN 2010,2010,1,2000.00,117.32,3793.51,3910.83,2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAR 2010,2010,3,2000.00,117.32,3793.51,3910.83,2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,NOV 2011,2011,11,2000.00,119.08,3850.42,3969.51,2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,DEC 2011,2011,12,2000.00,119.08,3850.42,3969.51,2 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,OCT 2008,2008,10,3000.00,170.83,5523.33,5694.16,3 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JAN 2009,2009,1,3000.00,173.39,5606.17,5779.56,3 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,OCT 2010,2010,10,3000.00,175.99,5690.26,5866.24,3 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,DEC 2010,2010,12,3000.00,175.99,5690.26,5866.24,3 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JAN 2011,2011,1,3000.00,178.63,5775.64,5954.26,3 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,AUG 2011,2011,8,3000.00,178.63,5775.64,5954.26,3 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JAN 2007,2007,1,4000.00,224.39,7255.63,7480.02,4 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,NOV 2007,2007,11,4000.00,224.39,7255.63,7480.02,4 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,NOV 2008,2008,11,4000.00,227.77,7364.44,7592.21,4 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,FEB 2009,2009,2,4000.00,231.18,7474.89,7706.07,4 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAR 2009,2009,3,4000.00,231.18,7474.89,7706.07,4 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,AUG 2010,2010,8,4000.00,234.65,7587.00,7821.66,4 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,AUG 2009,2009,8,5000.00,288.97,9343.62,9632.59,5 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,SEP 2008,2008,9,6000.00,341.65,11046.67,11388.32,6 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,SEP 2009,2009,9,6000.00,346.76,11212.35,11559.11,6 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAR 2011,2011,3,6000.00,357.25,11551.27,11908.53,6 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,APR 2011,2011,4,6000.00,357.25,11551.27,11908.53,6 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAR 2007,2007,3,7000.00,392.69,12697.35,13090.04,7 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,OCT 2007,2007,10,7000.00,392.69,12697.35,13090.04,7 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,FEB 2010,2010,2,7000.00,410.64,13277.26,13687.90,7 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,FEB 2011,2011,2,7000.00,416.80,13476.49,13893.28,7 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,OCT 2011,2011,10,7000.00,416.80,13476.49,13893.28,7 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAR 2008,2008,3,8000.00,455.53,14728.89,15184.43,8 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAY 2007,2007,5,10000.00,560.99,18139.07,18700.06,10 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,SEP 2007,2007,9,10000.00,560.99,18139.07,18700.06,10 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUN 2009,2009,6,10000.00,577.96,18687.23,19265.18,10 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,AUG 2007,2007,8,11000.00,617.10,19952.96,20570.06,11 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUL 2010,2010,7,11000.00,645.28,20864.27,21509.56,11 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUL 2008,2008,7,12000.00,683.31,22093.33,22776.64,12 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,SEP 2010,2010,9,12000.00,703.95,22761.02,23464.97,12 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,SEP 2011,2011,9,13000.00,774.05,25027.76,25801.81,13 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUL 2007,2007,7,14000.00,785.40,25394.68,26180.08,14 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,APR 2010,2010,4,15000.00,879.94,28451.28,29331.21,15 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUL 2011,2011,7,15000.00,893.13,28878.18,29771.32,15 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAY 2008,2008,5,16000.00,911.07,29457.78,30368.85,16 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUL 2009,2009,7,16000.00,924.72,29899.57,30824.29,16 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,AUG 2008,2008,8,17000.00,968.01,31298.89,32266.91,17 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAY 2011,2011,5,17000.00,1012.22,32728.61,33740.83,17 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,APR 2007,2007,4,19000.00,1065.90,34464.21,35530.11,19 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,APR 2009,2009,4,21000.00,1213.71,39243.18,40456.89,21 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,APR 2008,2008,4,23000.00,1309.66,42345.57,43655.23,23 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUN 2007,2007,6,27000.00,1514.70,48975.45,50490.15,27 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAY 2010,2010,5,30000.00,1759.86,56902.56,58662.43,30 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAY 2009,2009,5,31000.00,1791.65,57930.42,59722.07,31 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUN 2008,2008,6,32000.00,1822.14,58915.57,60737.71,32 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUN 2010,2010,6,33000.00,1935.88,62592.79,64528.67,33 
Deluxe Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUN 2011,2011,6,35000.00,2083.99,67382.41,69466.41,35 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JAN 2007,2007,1,950.00,54.45,1760.55,1815.00,1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,NOV 2007,2007,11,950.00,54.45,1760.55,1815.00,1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,FEB 2008,2008,2,950.00,55.26,1786.97,1842.23,1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAR 2008,2008,3,950.00,55.26,1786.97,1842.23,1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,SEP 2008,2008,9,950.00,55.26,1786.97,1842.23,1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,OCT 2008,2008,10,950.00,55.26,1786.97,1842.23,1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,AUG 2009,2009,8,950.00,56.10,1813.76,1869.86,1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,DEC 2009,2009,12,950.00,56.10,1813.76,1869.86,1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JAN 2010,2010,1,950.00,56.94,1840.96,1897.91,1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,SEP 2010,2010,9,950.00,56.94,1840.96,1897.91,1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,NOV 2010,2010,11,950.00,56.94,1840.96,1897.91,1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JAN 2011,2011,1,950.00,57.79,1868.58,1926.37,1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,FEB 2011,2011,2,950.00,57.79,1868.58,1926.37,1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,SEP 2011,2011,9,950.00,57.79,1868.58,1926.37,1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,DEC 2011,2011,12,950.00,57.79,1868.58,1926.37,1 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,APR 2008,2008,4,1900.00,110.53,3573.92,3684.45,2 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAR 2010,2010,3,1900.00,113.89,3681.92,3795.81,2 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,OCT 2010,2010,10,1900.00,113.89,3681.92,3795.81,2 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUL 2011,2011,7,1900.00,115.58,3737.16,3852.74,2 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,OCT 2011,2011,10,1900.00,115.58,3737.16,3852.74,2 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAR 2007,2007,3,2850.00,163.36,5281.65,5445.00,3 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,OCT 2007,2007,10,2850.00,163.36,5281.65,5445.00,3 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,AUG 2008,2008,8,2850.00,165.79,5360.89,5526.68,3 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAR 2009,2009,3,2850.00,168.29,5441.29,5609.57,3 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,OCT 2009,2009,10,2850.00,168.29,5441.29,5609.57,3 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAR 2011,2011,3,2850.00,173.38,5605.74,5779.11,3 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,APR 2007,2007,4,3800.00,217.80,7042.21,7260.00,4 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,AUG 2007,2007,8,3800.00,217.80,7042.21,7260.00,4 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,SEP 2007,2007,9,3800.00,217.80,7042.21,7260.00,4 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,SEP 2009,2009,9,3800.00,224.38,7255.05,7479.43,4 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,APR 2010,2010,4,3800.00,227.75,7363.87,7591.62,4 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,AUG 2010,2010,8,3800.00,227.75,7363.87,7591.62,4 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,AUG 2011,2011,8,3800.00,231.17,7474.31,7705.48,4 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUL 2008,2008,7,4750.00,276.32,8934.82,9211.14,5 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUL 2009,2009,7,4750.00,280.48,9068.81,9349.29,5 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUN 2010,2010,6,4750.00,284.70,9204.82,9489.53,5 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUL 2010,2010,7,4750.00,284.70,9204.82,9489.53,5 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,APR 2011,2011,4,4750.00,288.96,9342.89,9631.85,5 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAY 2007,2007,5,5700.00,326.70,10563.31,10890.01,6 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUL 2007,2007,7,5700.00,326.70,10563.31,10890.01,6 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAY 2008,2008,5,5700.00,331.60,10721.76,11053.36,6 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUN 2008,2008,6,6650.00,386.86,12508.73,12895.59,7 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,APR 2009,2009,4,6650.00,392.67,12696.34,13089.00,7 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAY 2009,2009,5,7600.00,448.76,14510.10,14958.86,8 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAY 2010,2010,5,7600.00,455.51,14727.73,15183.24,8 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAY 2011,2011,5,7600.00,462.33,14948.63,15410.96,8 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUN 2009,2009,6,9500.00,560.95,18137.62,18698.58,10 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUN 2007,2007,6,10450.00,598.96,19366.05,19965.01,11 
Deluxe Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUN 2011,2011,6,10450.00,635.71,20554.36,21190.07,11 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,DEC 2007,2007,12,1400.00,98.99,3201.01,3300.00,1 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,MAR 2008,2008,3,1400.00,100.49,3249.01,3349.50,1 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,OCT 2008,2008,10,1400.00,100.49,3249.01,3349.50,1 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,JAN 2009,2009,1,1400.00,102.00,3297.74,3399.74,1 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,NOV 2009,2009,11,1400.00,102.00,3297.74,3399.74,1 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,MAR 2010,2010,3,1400.00,103.52,3347.22,3450.74,1 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,NOV 2010,2010,11,1400.00,103.52,3347.22,3450.74,1 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,MAR 2011,2011,3,1400.00,105.08,3397.42,3502.50,1 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,AUG 2011,2011,8,1400.00,105.08,3397.42,3502.50,1 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,OCT 2007,2007,10,2800.00,197.99,6402.02,6600.00,2 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,FEB 2008,2008,2,2800.00,200.98,6498.02,6699.00,2 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,FEB 2009,2009,2,2800.00,203.98,6595.49,6799.47,2 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,MAR 2009,2009,3,2800.00,203.99,6595.48,6799.47,2 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,MAY 2009,2009,5,2800.00,203.98,6595.49,6799.47,2 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,FEB 2010,2010,2,2800.00,207.04,6694.45,6901.49,2 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,FEB 2011,2011,2,2800.00,210.16,6794.84,7005.00,2 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,OCT 2011,2011,10,2800.00,210.15,6794.86,7005.00,2 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,MAR 2007,2007,3,4200.00,297.00,9603.01,9900.01,3 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,AUG 2007,2007,8,4200.00,297.00,9603.01,9900.01,3 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,SEP 2007,2007,9,4200.00,296.98,9603.02,9900.01,3 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,JUN 2008,2008,6,4200.00,301.45,9747.04,10048.50,3 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,JUL 2008,2008,7,4200.00,301.45,9747.04,10048.50,3 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,AUG 2008,2008,8,4200.00,301.45,9747.04,10048.50,3 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,SEP 2008,2008,9,4200.00,301.47,9747.03,10048.50,3 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,JUL 2009,2009,7,4200.00,305.98,9893.23,10199.21,3 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,AUG 2009,2009,8,4200.00,305.98,9893.23,10199.21,3 
Deluxe Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,SEP 2009,2009,9,4200.00,305.99,9893.22,10199.21,3 
