customer_id,age,gender,married,spending_time,game_genre,player_type,game
36,18-34,male,no,238,action & adventure,killers,Fortnite
37,65+,male,yes,97,action & adventure,socializers,Fortnite
38,55-64,female,yes,65,family & kids,socializers,Rec Room
39,18-34,male,yes,211,action & adventure,killers,Call of Duty
40,35-44,male,yes,257,action & adventure,killers,Call of Duty
41,18-34,male,no,220,action & adventure,achievers,Fortnite
42,18-34,male,yes,185,action & adventure,killers,Fortnite
43,under 18,male,no,256,family & kids,socializers,Minecraft
44,18-34,female,yes,92,action & adventure,socializers,Call of Duty
45,18-34,female,yes,197,action & adventure,socializers,Fortnite
46,18-34,female,yes,93,card & board,achievers,Scrabble
47,under 18,male,no,220,action & adventure,killers,Grand Theft Auto V
48,18-34,male,yes,82,action & adventure,killers,Fortnite
49,18-34,female,no,203,card & board,achievers,Prominence Poker
50,18-34,male,yes,178,action & adventure,explorers,Fortnite
51,under 18,male,no,184,family & kids,achievers,ROBLOX
52,55-64,female,yes,64,action & adventure,socializers,Call of Duty
53,under 18,male,no,249,action & adventure,achievers,Call of Duty
54,45-54,male,no,106,family & kids,socializers,ROBLOX
55,18-34,female,no,155,card & board,explorers,Scrabble
56,55-64,female,yes,121,family & kids,achievers,Minecraft
57,18-34,female,no,241,family & kids,achievers,Rec Room
58,18-34,male,yes,144,action & adventure,achievers,Grand Theft Auto V
59,under 18,male,no,155,family & kids,socializers,Minecraft
60,55-64,male,yes,131,card & board,socializers,Master Duel
61,under 18,female,no,114,card & board,socializers,Prominence Poker
62,18-34,male,no,196,family & kids,killers,Minecraft
63,45-54,male,yes,53,family & kids,socializers,Minecraft
64,45-54,male,no,93,action & adventure,explorers,Fortnite
65,18-34,male,no,197,card & board,socializers,Prominence Poker
66,18-34,male,no,195,action & adventure,socializers,Call of Duty
67,35-44,female,yes,15,family & kids,achievers,Minecraft
68,18-34,female,yes,122,card & board,achievers,Prominence Poker
69,55-64,female,yes,60,card & board,explorers,Master Duel
70,under 18,female,no,113,card & board,socializers,Scrabble
71,55-64,female,yes,127,family & kids,socializers,Minecraft
72,18-34,female,no,188,family & kids,achievers,Rec Room
73,18-34,male,yes,168,card & board,achievers,Master Duel
74,18-34,female,yes,124,card & board,explorers,Scrabble
75,18-34,male,yes,215,action & adventure,achievers,Grand Theft Auto V
76,18-34,female,no,202,family & kids,socializers,ROBLOX
77,under 18,female,no,151,family & kids,socializers,Rec Room
78,45-54,female,yes,150,card & board,explorers,Scrabble
79,18-34,male,no,251,action & adventure,socializers,Call of Duty
80,under 18,female,no,51,family & kids,achievers,ROBLOX
81,under 18,female,no,128,card & board,achievers,Prominence Poker
82,35-44,female,yes,187,action & adventure,explorers,Fortnite
83,18-34,male,yes,128,action & adventure,killers,Fortnite
84,35-44,male,yes,258,family & kids,killers,Minecraft
85,65+,male,yes,25,action & adventure,explorers,Grand Theft Auto V
86,under 18,female,no,192,card & board,explorers,Scrabble
87,45-54,female,yes,106,action & adventure,socializers,Fortnite
88,under 18,male,no,154,family & kids,achievers,Rec Room
89,55-64,female,yes,95,card & board,achievers,Scrabble
90,18-34,male,yes,192,action & adventure,killers,Grand Theft Auto V
91,under 18,female,no,76,card & board,socializers,Scrabble
92,45-54,male,yes,132,action & adventure,explorers,Call of Duty
93,35-44,female,no,111,action & adventure,socializers,Call of Duty
94,under 18,female,no,178,family & kids,socializers,ROBLOX
95,45-54,female,no,10,family & kids,socializers,Minecraft
96,18-34,female,yes,156,card & board,explorers,Prominence Poker
97,65+,male,yes,111,family & kids,socializers,ROBLOX
98,under 18,female,no,221,card & board,socializers,Prominence Poker
99,35-44,female,yes,102,family & kids,achievers,ROBLOX
100,under 18,male,no,260,card & board,killers,Master Duel
101,55-64,female,yes,149,family & kids,achievers,Minecraft
102,65+,female,yes,100,family & kids,socializers,Minecraft
103,under 18,male,no,221,family & kids,killers,ROBLOX
104,under 18,female,no,211,card & board,socializers,Master Duel
105,18-34,female,yes,47,card & board,explorers,Prominence Poker
106,under 18,female,no,138,card & board,socializers,Scrabble
107,55-64,male,yes,126,card & board,achievers,Master Duel
108,18-34,female,yes,143,family & kids,socializers,ROBLOX
109,18-34,female,yes,159,action & adventure,explorers,Call of Duty
110,18-34,male,no,160,action & adventure,killers,Grand Theft Auto V
111,45-54,male,no,103,action & adventure,explorers,Fortnite
112,35-44,male,yes,166,action & adventure,killers,Fortnite
113,under 18,female,no,136,family & kids,explorers,ROBLOX
114,55-64,female,yes,144,card & board,socializers,Prominence Poker
115,under 18,female,no,258,action & adventure,killers,Fortnite
116,55-64,female,yes,160,family & kids,socializers,Rec Room
117,55-64,female,yes,26,family & kids,socializers,Rec Room
118,18-34,male,no,237,action & adventure,achievers,Call of Duty
119,35-44,female,no,119,family & kids,socializers,Rec Room
120,35-44,male,yes,204,family & kids,socializers,Minecraft
121,35-44,male,yes,222,family & kids,killers,Minecraft
121,35-44,male,yes,222,family & kids,killers,Minecraft
122,65+,female,yes,101,family & kids,socializers,Minecraft
123,45-54,male,yes,79,family & kids,killers,Minecraft
124,45-54,male,yes,52,action & adventure,socializers,Call of Duty
125,under 18,male,no,167,family & kids,explorers,ROBLOX
126,55-64,female,yes,82,card & board,achievers,Scrabble
127,18-34,male,no,212,action & adventure,achievers,Call of Duty
128,45-54,female,yes,101,card & board,socializers,Prominence Poker
129,18-34,female,yes,76,card & board,achievers,Master Duel
130,35-44,male,yes,120,card & board,killers,Master Duel
131,under 18,female,no,109,family & kids,killers,Rec Room
132,55-64,female,yes,83,family & kids,killers,Rec Room
133,under 18,female,no,190,family & kids,socializers,Minecraft
134,under 18,female,no,127,card & board,explorers,Prominence Poker
135,under 18,male,no,213,card & board,explorers,Scrabble
136,18-34,female,yes,57,family & kids,socializers,Minecraft
137,under 18,male,no,210,card & board,achievers,Master Duel
138,35-44,male,no,157,action & adventure,explorers,Grand Theft Auto V
139,18-34,female,no,72,family & kids,explorers,Minecraft
140,18-34,male,yes,207,family & kids,achievers,Rec Room
141,55-64,female,yes,94,card & board,socializers,Scrabble
142,18-34,male,yes,227,action & adventure,killers,Grand Theft Auto V
143,35-44,male,yes,170,action & adventure,killers,Call of Duty
144,18-34,female,yes,130,family & kids,explorers,Minecraft
145,35-44,male,yes,160,action & adventure,killers,Call of Duty
146,55-64,female,yes,44,family & kids,explorers,Minecraft
147,18-34,female,yes,109,card & board,explorers,Master Duel
148,55-64,female,yes,41,family & kids,killers,Rec Room
149,under 18,male,no,287,card & board,killers,Scrabble
150,65+,female,yes,140,family & kids,explorers,ROBLOX
151,45-54,male,yes,99,family & kids,socializers,Minecraft
152,35-44,female,yes,223,action & adventure,socializers,Fortnite
153,35-44,male,yes,78,family & kids,achievers,Minecraft
154,18-34,female,yes,104,card & board,killers,Master Duel
155,under 18,female,no,103,family & kids,achievers,Rec Room
156,55-64,male,yes,10,card & board,explorers,Master Duel
157,18-34,female,no,221,card & board,socializers,Scrabble
158,55-64,male,yes,59,action & adventure,achievers,Call of Duty
159,under 18,,no,108,card & board,achievers,Prominence Poker
160,45-54,female,no,128,family & kids,explorers,ROBLOX
161,18-34,male,no,227,action & adventure,killers,Grand Theft Auto V
162,18-34,female,yes,230,family & kids,socializers,Minecraft
163,18-34,male,yes,262,action & adventure,socializers,Call of Duty
164,18-34,male,no,166,action & adventure,achievers,Fortnite
165,18-34,female,yes,72,family & kids,socializers,ROBLOX
166,35-44,female,no,143,action & adventure,socializers,Fortnite
167,18-34,female,no,206,family & kids,socializers,Minecraft
168,18-34,female,yes,213,action & adventure,killers,Fortnite
169,under 18,male,no,169,family & kids,socializers,Rec Room
170,18-34,male,no,182,family & kids,socializers,Rec Room
171,under 18,female,no,144,action & adventure,achievers,Fortnite
172,18-34,female,no,253,action & adventure,achievers,Fortnite
173,under 18,female,no,214,card & board,achievers,Prominence Poker
174,under 18,female,no,105,card & board,socializers,Master Duel
175,under 18,male,no,214,action & adventure,achievers,Fortnite
176,18-34,male,no,298,family & kids,achievers,Rec Room
177,18-34,male,yes,249,family & kids,explorers,Rec Room
178,under 18,male,no,253,action & adventure,killers,Fortnite
179,45-54,female,yes,44,card & board,socializers,Prominence Poker
180,18-34,female,no,123,family & kids,socializers,ROBLOX
181,45-54,male,no,26,action & adventure,socializers,Call of Duty
182,65+,female,yes,103,action & adventure,socializers,Grand Theft Auto V
183,65+,male,yes,,family & kids,socializers,Minecraft
184,65+,female,yes,81,action & adventure,socializers,Call of Duty
185,55-64,male,yes,40,family & kids,explorers,Rec Room
186,18-34,male,yes,218,card & board,explorers,Scrabble
187,18-34,female,yes,153,action & adventure,explorers,Call of Duty
188,under 18,female,no,107,family & kids,socializers,ROBLOX
189,18-34,male,no,220,card & board,killers,Prominence Poker
190,under 18,male,no,270,family & kids,achievers,Minecraft
191,18-34,female,yes,31,family & kids,socializers,ROBLOX
192,under 18,female,no,180,card & board,socializers,Prominence Poker
193,18-34,female,no,198,card & board,socializers,Scrabble
194,35-44,female,no,117,family & kids,socializers,ROBLOX
195,under 18,female,no,133,family & kids,killers,ROBLOX
196,18-34,female,no,156,card & board,socializers,Master Duel
197,45-54,male,no,121,action & adventure,explorers,Call of Duty
198,35-44,male,no,216,card & board,socializers,Master Duel
199,35-44,male,yes,174,family & kids,killers,Minecraft
200,35-44,male,yes,171,card & board,killers,Scrabble
201,45-54,male,no,133,family & kids,socializers,Minecraft
202,18-34,,no,125,card & board,socializers,Prominence Poker
203,under 18,female,no,208,family & kids,socializers,Rec Room
204,18-34,female,yes,46,action & adventure,achievers,Fortnite
205,35-44,male,yes,97,action & adventure,killers,Fortnite
206,18-34,male,yes,148,family & kids,socializers,ROBLOX
207,under 18,female,no,169,card & board,killers,Prominence Poker
208,18-34,female,no,167,action & adventure,explorers,Grand Theft Auto V
209,45-54,female,no,61,action & adventure,explorers,Fortnite
210,35-44,male,yes,161,family & kids,killers,Rec Room
211,18-34,male,no,141,card & board,explorers,Scrabble
212,under 18,female,no,228,card & board,socializers,Scrabble
213,35-44,male,yes,164,action & adventure,explorers,Fortnite
214,35-44,female,yes,109,card & board,achievers,Prominence Poker
215,18-34,female,yes,95,card & board,socializers,Master Duel
216,18-34,female,yes,76,action & adventure,socializers,Grand Theft Auto V
217,under 18,male,no,194,family & kids,explorers,Minecraft
218,65+,female,yes,121,family & kids,explorers,Rec Room
219,55-64,male,yes,137,action & adventure,achievers,Call of Duty
220,35-44,female,yes,126,family & kids,socializers,Rec Room
221,18-34,female,yes,84,card & board,socializers,Master Duel
222,45-54,female,yes,140,action & adventure,achievers,Fortnite
223,45-54,male,yes,72,card & board,socializers,Scrabble
224,18-34,male,yes,172,action & adventure,killers,Fortnite
225,65+,male,yes,118,card & board,killers,Master Duel
226,under 18,male,no,202,family & kids,killers,Minecraft
227,35-44,male,no,232,action & adventure,achievers,Call of Duty
228,65+,female,yes,139,family & kids,explorers,Minecraft
229,35-44,male,no,181,action & adventure,socializers,Call of Duty
230,18-34,male,yes,180,family & kids,achievers,Minecraft
231,65+,male,yes,188,action & adventure,socializers,Fortnite
232,under 18,female,no,164,action & adventure,killers,Fortnite
233,18-34,male,no,176,family & kids,achievers,Minecraft
234,45-54,male,no,48,action & adventure,explorers,Fortnite
235,45-54,female,no,92,action & adventure,killers,Fortnite
236,55-64,female,yes,154,family & kids,explorers,Rec Room
237,under 18,male,no,246,family & kids,explorers,ROBLOX
238,55-64,male,yes,121,family & kids,explorers,Minecraft
239,18-34,male,yes,159,family & kids,explorers,Minecraft
240,18-34,female,no,178,action & adventure,explorers,Fortnite
241,35-44,male,yes,110,family & kids,killers,Rec Room
242,18-34,female,yes,179,family & kids,socializers,Minecraft
243,under 18,male,no,275,action & adventure,achievers,Fortnite
244,18-34,female,no,206,family & kids,achievers,Rec Room
245,65+,female,yes,10,family & kids,achievers,ROBLOX
246,18-34,male,yes,226,action & adventure,achievers,Fortnite
247,45-54,male,yes,187,action & adventure,socializers,Call of Duty
248,55-64,male,yes,10,family & kids,socializers,ROBLOX
249,35-44,male,yes,207,family & kids,socializers,ROBLOX
250,under 18,female,no,93,family & kids,socializers,Minecraft
251,18-34,female,yes,137,card & board,achievers,Prominence Poker
252,45-54,male,yes,30,action & adventure,achievers,Grand Theft Auto V
253,under 18,female,no,192,family & kids,socializers,Minecraft
254,45-54,male,no,126,action & adventure,achievers,Call of Duty
255,45-54,female,yes,20,card & board,socializers,Scrabble
256,under 18,female,no,187,card & board,explorers,Prominence Poker
257,45-54,male,yes,44,family & kids,killers,ROBLOX
258,18-34,male,no,293,action & adventure,killers,Call of Duty
259,45-54,male,no,86,action & adventure,explorers,Grand Theft Auto V
260,65+,female,yes,142,action & adventure,socializers,Fortnite
261,18-34,male,no,159,family & kids,achievers,Minecraft
262,35-44,male,yes,217,card & board,socializers,Master Duel
263,35-44,female,no,245,action & adventure,socializers,Call of Duty
264,18-34,female,yes,202,action & adventure,socializers,Fortnite
265,18-34,female,no,144,card & board,socializers,Scrabble
266,35-44,male,yes,131,action & adventure,achievers,Fortnite
267,under 18,female,no,200,family & kids,achievers,ROBLOX
268,35-44,male,no,258,family & kids,achievers,Minecraft
269,35-44,male,yes,182,action & adventure,explorers,Call of Duty
270,under 18,male,no,208,action & adventure,socializers,Call of Duty
271,under 18,male,no,167,card & board,achievers,Master Duel
272,under 18,female,no,170,action & adventure,socializers,Call of Duty
273,18-34,male,no,206,family & kids,achievers,Rec Room
274,18-34,male,no,232,action & adventure,socializers,Fortnite
275,18-34,female,no,225,family & kids,killers,ROBLOX
276,45-54,male,yes,120,family & kids,socializers,Minecraft
277,65+,female,yes,138,card & board,killers,Master Duel
278,18-34,male,no,213,action & adventure,killers,Grand Theft Auto V
279,35-44,female,no,185,action & adventure,socializers,Grand Theft Auto V
280,under 18,male,no,208,action & adventure,achievers,Fortnite
281,55-64,male,yes,100,family & kids,socializers,Minecraft
282,18-34,female,no,135,family & kids,explorers,Rec Room
283,18-34,female,yes,142,family & kids,socializers,ROBLOX
284,under 18,female,no,219,family & kids,explorers,ROBLOX
285,18-34,male,yes,268,action & adventure,killers,Call of Duty
286,18-34,male,no,234,card & board,socializers,Prominence Poker
287,under 18,female,no,118,action & adventure,achievers,Call of Duty
288,under 18,male,no,212,family & kids,socializers,Minecraft
289,55-64,female,yes,164,family & kids,socializers,Rec Room
290,18-34,male,yes,225,family & kids,achievers,Rec Room
291,18-34,male,yes,159,action & adventure,achievers,Call of Duty
292,18-34,male,yes,166,action & adventure,achievers,Call of Duty
293,35-44,female,yes,89,card & board,achievers,Master Duel
294,18-34,female,no,187,card & board,socializers,Prominence Poker
295,under 18,female,no,181,card & board,socializers,Master Duel
296,18-34,male,no,286,action & adventure,killers,Call of Duty
297,18-34,male,no,230,family & kids,killers,Minecraft
298,18-34,male,yes,168,action & adventure,achievers,Call of Duty
299,18-34,male,yes,107,action & adventure,achievers,Call of Duty
300,35-44,male,yes,191,action & adventure,killers,Fortnite
301,55-64,female,yes,47,card & board,explorers,Prominence Poker
302,55-64,male,yes,10,card & board,socializers,Master Duel
303,under 18,male,no,164,family & kids,socializers,Rec Room
304,18-34,female,no,120,card & board,achievers,Scrabble
305,55-64,female,yes,91,card & board,explorers,Master Duel
306,under 18,female,no,199,card & board,socializers,Master Duel
307,under 18,female,no,181,action & adventure,socializers,Fortnite
308,18-34,male,yes,186,card & board,killers,Scrabble
309,18-34,male,no,267,action & adventure,killers,Call of Duty
310,18-34,female,yes,290,card & board,socializers,Scrabble
311,45-54,male,no,50,action & adventure,socializers,Fortnite
312,18-34,male,no,217,action & adventure,explorers,Fortnite
313,45-54,male,no,194,action & adventure,socializers,Fortnite
314,45-54,female,yes,84,card & board,killers,Scrabble
315,18-34,male,no,262,action & adventure,achievers,Fortnite
316,55-64,female,yes,113,family & kids,socializers,Minecraft
317,under 18,male,no,266,card & board,killers,Master Duel
318,18-34,male,yes,175,action & adventure,killers,Grand Theft Auto V
319,under 18,male,no,242,action & adventure,killers,Call of Duty
320,under 18,female,no,135,card & board,explorers,Master Duel
321,18-34,male,no,188,action & adventure,explorers,Fortnite
322,under 18,male,no,136,family & kids,killers,Minecraft
323,18-34,male,no,170,card & board,killers,Prominence Poker
324,65+,female,yes,51,card & board,socializers,Master Duel
325,65+,male,yes,97,card & board,socializers,Scrabble
326,under 18,male,no,222,card & board,explorers,Master Duel
327,18-34,male,yes,192,family & kids,achievers,ROBLOX
328,45-54,female,no,177,action & adventure,achievers,Fortnite
329,18-34,male,yes,211,action & adventure,socializers,Fortnite
330,45-54,female,no,53,card & board,explorers,Prominence Poker
331,under 18,male,no,136,action & adventure,achievers,Fortnite
332,18-34,male,no,219,action & adventure,killers,Fortnite
333,55-64,male,yes,110,card & board,socializers,Master Duel
334,35-44,female,yes,147,family & kids,socializers,Rec Room
335,35-44,male,yes,193,action & adventure,explorers,Call of Duty
336,18-34,male,yes,195,action & adventure,explorers,Call of Duty
337,under 18,female,no,218,card & board,explorers,Master Duel
338,55-64,male,yes,56,card & board,achievers,Scrabble
339,35-44,male,yes,146,card & board,achievers,Master Duel
340,under 18,male,no,135,action & adventure,killers,Call of Duty
341,18-34,male,yes,179,family & kids,killers,Minecraft
342,under 18,female,no,222,card & board,socializers,Prominence Poker
343,18-34,male,yes,201,family & kids,killers,Minecraft
344,18-34,female,no,158,family & kids,explorers,Rec Room
345,under 18,female,no,130,card & board,socializers,Master Duel
346,18-34,male,yes,216,family & kids,explorers,Rec Room
347,18-34,male,yes,217,action & adventure,killers,Fortnite
348,45-54,male,yes,71,family & kids,socializers,Minecraft
349,65+,female,yes,67,family & kids,socializers,Rec Room
350,18-34,female,no,150,card & board,socializers,Master Duel
351,45-54,female,no,73,action & adventure,socializers,Fortnite
352,18-34,female,yes,142,action & adventure,socializers,Fortnite
353,45-54,female,yes,43,card & board,socializers,Prominence Poker
354,65+,male,yes,131,family & kids,socializers,ROBLOX
355,under 18,female,no,110,family & kids,socializers,Minecraft
356,18-34,female,no,159,card & board,socializers,Scrabble
357,18-34,female,yes,105,card & board,explorers,Prominence Poker
358,35-44,female,no,124,family & kids,socializers,ROBLOX
359,under 18,male,no,212,action & adventure,killers,Call of Duty
360,18-34,male,yes,153,family & kids,achievers,Rec Room
361,65+,female,yes,59,action & adventure,socializers,Call of Duty
362,under 18,female,no,89,card & board,socializers,Master Duel
363,18-34,male,no,144,card & board,achievers,Master Duel
364,45-54,male,no,140,action & adventure,socializers,Call of Duty
365,45-54,male,no,159,family & kids,explorers,Rec Room
366,under 18,female,no,205,family & kids,achievers,Rec Room
367,45-54,female,no,28,card & board,socializers,Scrabble
368,18-34,female,yes,42,family & kids,socializers,Rec Room
369,under 18,male,no,212,card & board,socializers,Scrabble
370,65+,male,yes,181,family & kids,socializers,Rec Room
371,18-34,female,no,170,family & kids,achievers,Minecraft
372,65+,male,yes,71,family & kids,socializers,Minecraft
373,35-44,female,no,231,family & kids,achievers,Rec Room
374,55-64,female,yes,122,card & board,achievers,Master Duel
375,18-34,female,no,141,action & adventure,socializers,Call of Duty
376,18-34,male,no,292,action & adventure,achievers,Call of Duty
377,65+,female,yes,87,family & kids,socializers,Minecraft
378,65+,male,yes,43,action & adventure,socializers,Call of Duty
379,18-34,female,yes,144,family & kids,socializers,Minecraft
380,under 18,male,no,114,family & kids,explorers,Minecraft
381,under 18,female,no,183,family & kids,socializers,Rec Room
382,55-64,female,yes,170,card & board,killers,Scrabble
383,45-54,male,yes,101,action & adventure,killers,Call of Duty
384,under 18,male,no,143,card & board,achievers,Master Duel
385,65+,male,yes,135,action & adventure,explorers,Grand Theft Auto V
386,18-34,male,no,177,card & board,achievers,Master Duel
387,45-54,male,yes,105,family & kids,killers,Rec Room
388,under 18,male,no,143,family & kids,killers,Minecraft
389,45-54,male,yes,87,action & adventure,socializers,Fortnite
390,18-34,male,yes,224,family & kids,socializers,Minecraft
391,18-34,female,yes,179,card & board,explorers,Prominence Poker
392,under 18,female,no,203,card & board,explorers,Prominence Poker
393,45-54,male,yes,12,card & board,socializers,Scrabble
394,18-34,female,no,168,card & board,killers,Master Duel
395,18-34,male,yes,279,family & kids,explorers,Rec Room
396,45-54,male,yes,112,action & adventure,achievers,Call of Duty
397,under 18,male,no,239,family & kids,achievers,Minecraft
398,65+,female,yes,58,family & kids,socializers,Minecraft
399,18-34,female,yes,168,card & board,killers,Prominence Poker
400,55-64,female,yes,96,card & board,socializers,Prominence Poker
401,45-54,male,yes,108,action & adventure,socializers,Call of Duty
402,18-34,male,no,245,action & adventure,killers,Call of Duty
403,18-34,female,yes,101,family & kids,socializers,Minecraft
404,under 18,female,no,60,family & kids,achievers,Minecraft
405,under 18,male,no,158,family & kids,killers,Rec Room
406,under 18,female,no,199,family & kids,explorers,ROBLOX
407,65+,male,yes,175,family & kids,socializers,Rec Room
408,under 18,male,no,127,family & kids,socializers,ROBLOX
409,18-34,female,yes,51,card & board,explorers,Scrabble
410,55-64,female,yes,51,family & kids,socializers,Minecraft
411,under 18,male,no,246,action & adventure,achievers,Fortnite
412,45-54,male,no,157,card & board,achievers,Master Duel
413,45-54,male,yes,220,card & board,socializers,Scrabble
414,35-44,female,no,131,family & kids,socializers,Rec Room
415,65+,male,yes,150,action & adventure,achievers,Grand Theft Auto V
416,under 18,male,no,271,family & kids,explorers,Minecraft
417,18-34,female,no,157,card & board,socializers,Prominence Poker
418,65+,male,yes,186,family & kids,socializers,Rec Room
419,55-64,female,yes,117,card & board,socializers,Scrabble
420,18-34,female,yes,106,card & board,socializers,Master Duel
421,under 18,female,no,172,family & kids,socializers,ROBLOX
422,18-34,male,yes,223,family & kids,achievers,Rec Room
423,45-54,male,yes,122,action & adventure,achievers,Call of Duty
424,45-54,male,no,54,family & kids,socializers,Minecraft
425,65+,female,yes,157,family & kids,socializers,Rec Room
426,under 18,female,no,155,family & kids,socializers,Rec Room
427,18-34,male,no,147,card & board,achievers,Scrabble
428,65+,male,yes,147,card & board,socializers,Prominence Poker
429,18-34,male,no,242,action & adventure,explorers,Call of Duty
430,65+,male,yes,170,card & board,explorers,Prominence Poker
431,under 18,male,no,121,family & kids,achievers,Rec Room
432,35-44,male,yes,148,action & adventure,achievers,Call of Duty
433,18-34,female,yes,157,card & board,socializers,Scrabble
434,under 18,male,no,164,action & adventure,killers,Call of Duty
435,18-34,male,no,116,card & board,killers,Master Duel
436,under 18,female,no,258,family & kids,socializers,Minecraft
437,65+,male,yes,28,action & adventure,killers,Call of Duty
438,under 18,male,no,203,action & adventure,killers,Fortnite
439,18-34,female,no,257,action & adventure,socializers,Call of Duty
440,under 18,female,no,212,family & kids,socializers,Rec Room
441,18-34,male,yes,207,action & adventure,socializers,Call of Duty
442,18-34,male,no,237,card & board,achievers,Scrabble
443,45-54,male,no,92,family & kids,achievers,Minecraft
444,under 18,female,no,84,family & kids,socializers,Minecraft
445,18-34,female,yes,117,family & kids,explorers,ROBLOX
446,18-34,female,yes,128,card & board,socializers,Prominence Poker
447,18-34,female,yes,101,card & board,socializers,Scrabble
448,55-64,male,yes,45,family & kids,explorers,Minecraft
449,18-34,male,no,279,action & adventure,killers,Grand Theft Auto V
450,18-34,female,no,232,card & board,socializers,Prominence Poker
451,55-64,male,yes,44,action & adventure,killers,Fortnite
452,under 18,female,no,166,family & kids,socializers,ROBLOX
453,55-64,female,yes,131,family & kids,socializers,Minecraft
454,18-34,male,no,260,family & kids,achievers,ROBLOX
455,18-34,female,yes,107,family & kids,socializers,ROBLOX
456,18-34,male,no,316,action & adventure,killers,Call of Duty
457,35-44,female,yes,105,action & adventure,explorers,Grand Theft Auto V
458,35-44,male,yes,224,action & adventure,socializers,Fortnite
459,18-34,female,no,167,family & kids,socializers,Minecraft
460,55-64,female,yes,10,family & kids,killers,Minecraft
461,35-44,male,no,184,action & adventure,achievers,Call of Duty
462,35-44,female,yes,153,action & adventure,socializers,Fortnite
463,18-34,female,no,95,action & adventure,killers,Grand Theft Auto V
464,18-34,male,no,180,action & adventure,killers,Call of Duty
465,35-44,female,no,148,card & board,socializers,Prominence Poker
466,18-34,female,no,151,action & adventure,socializers,Call of Duty
467,35-44,male,no,203,action & adventure,socializers,Call of Duty
468,under 18,male,no,331,action & adventure,killers,Call of Duty
469,55-64,female,yes,202,card & board,achievers,Master Duel
470,18-34,male,no,234,action & adventure,explorers,Call of Duty
471,55-64,male,yes,114,card & board,achievers,Master Duel
472,18-34,male,yes,220,action & adventure,achievers,Grand Theft Auto V
473,55-64,male,yes,71,family & kids,achievers,Minecraft
474,18-34,female,no,130,action & adventure,explorers,Call of Duty
475,65+,male,yes,120,family & kids,achievers,ROBLOX
476,65+,female,yes,88,action & adventure,killers,Call of Duty
477,18-34,male,no,248,action & adventure,achievers,Grand Theft Auto V
478,under 18,male,no,181,card & board,explorers,Prominence Poker
479,55-64,male,yes,162,family & kids,explorers,Rec Room
480,18-34,female,no,118,action & adventure,socializers,Call of Duty
481,under 18,male,no,292,family & kids,achievers,ROBLOX
482,18-34,female,yes,175,action & adventure,socializers,Call of Duty
483,45-54,female,no,112,action & adventure,achievers,Call of Duty
484,55-64,male,yes,134,action & adventure,achievers,Call of Duty
485,under 18,female,no,163,card & board,killers,Scrabble
486,35-44,female,yes,193,family & kids,socializers,ROBLOX
487,18-34,male,no,245,action & adventure,achievers,Call of Duty
488,under 18,female,no,286,family & kids,achievers,ROBLOX
489,under 18,male,no,188,card & board,socializers,Scrabble
490,18-34,female,no,97,action & adventure,achievers,Fortnite
491,35-44,female,yes,83,action & adventure,achievers,Grand Theft Auto V
492,18-34,female,yes,25,card & board,explorers,Prominence Poker
493,65+,female,yes,86,card & board,achievers,Scrabble
